panel,kind,condition,channel,A,D,total,gate,weights,interaction,contribution,leave_out_MAG_gain_pct
electricity,standard,REFERENCE,0,0.2569170794655684,0.2570248553911061,-0.0001077759255376,-6.570081475401612e-05,-4.207511078366255e-05,1.9554049665582163e-06,-2.694398138441967e-05,-0.0226081678138754
electricity,standard,REFERENCE,1,0.1795650108138773,0.1796573465610424,-9.233574716516202e-05,-5.982849949598412e-06,-8.63528972155636e-05,1.075006332673656e-06,-2.3083936791290505e-05,-0.0221906239185675
electricity,standard,REFERENCE,2,0.0081558102874957,0.0081619208223544,-6.11053485867312e-06,0.0,-6.11053485867312e-06,0.0,-1.52763371466828e-06,-0.0294717539243168
electricity,standard,REFERENCE,3,0.2253443187781887,0.2253392589561695,5.059822019259919e-06,8.596136004448973e-05,-8.090153802522981e-05,-9.221159752270667e-06,1.2649555048149796e-06,-0.0463798086709556
electricity,standard,POINT4,0,0.2571972304315459,0.2572820257816021,-8.479535005623262e-05,-5.4232649750157735e-05,-3.0562700306074886e-05,2.8741140206123283e-06,-2.1198837514058155e-05,-0.0173928782993413
electricity,standard,POINT4,1,0.1804286164919026,0.180506794657812,-7.817816590938165e-05,1.5457017040060306e-06,-7.972386761338768e-05,4.222954114035948e-06,-1.954454147734541e-05,-0.0160266255325277
electricity,standard,POINT4,2,0.0088365743989315,0.0088442321235679,-7.657724636452728e-06,-1.939479096586469e-07,-7.463776726794082e-06,-3.1635791828202315e-08,-1.914431159113182e-06,-0.0225001577046341
electricity,standard,POINT4,3,0.2269267666926507,0.226913318562779,1.3448129871640456e-05,9.048505355725712e-05,-7.703692368561665e-05,-1.1617891728848972e-05,3.3620324679101143e-06,-0.0382185000244089
electricity,standard,POINT8,0,0.2584628848428313,0.258550629334252,-8.774449142073815e-05,-4.9335311933212944e-05,-3.84091794875252e-05,-1.5661355606266802e-06,-2.1936122855184537e-05,-0.0159430805926026
electricity,standard,POINT8,1,0.1826934641352457,0.1827554087320243,-6.194459677863473e-05,-1.6470375385768676e-07,-6.177989302477704e-05,2.6697487578997148e-06,-1.5486149194658683e-05,-0.018706464036212
electricity,standard,POINT8,2,0.0094696539371227,0.009474800497163,-5.146560040279052e-06,3.6701920337525045e-07,-5.513579243654303e-06,-1.4519282763927888e-08,-1.286640010069763e-06,-0.0223489149847635
electricity,standard,POINT8,3,0.2285571852890506,0.2285571699092661,1.5379784529256924e-08,0.0001012453744684,-0.0001012299946839,-8.731275730533561e-06,3.844946132314231e-09,-0.0343601228597511
electricity,standard,POINT16,0,0.25668242656707,0.2567168990102302,-3.447244316023834e-05,-5.361648925550355e-05,1.914404609526521e-05,8.414274276558054e-06,-8.618110790059585e-06,-0.0132165416843797
electricity,standard,POINT16,1,0.1851200028359375,0.1851715716048942,-5.15687689567057e-05,-1.6977797906478354e-05,-3.459097105022735e-05,-1.7505710575571598e-08,-1.2892192239176424e-05,-0.0078802088593309
electricity,standard,POINT16,2,0.0104845493957568,0.0104895909152221,-5.041519465296199e-06,2.2567688332782512e-06,-7.29828829857445e-06,-7.204158701361318e-08,-1.2603798663240497e-06,-0.0127542258289722
electricity,standard,POINT16,3,0.2304482258979253,0.2304479250525222,3.0084540308950025e-07,0.0001085291982864,-0.0001082283528833,-5.494937188155191e-06,7.521135077237506e-08,-0.0201382608502363
electricity,standard,BURST4,0,0.2570931614220993,0.2571474230131366,-5.426159103733008e-05,-2.016578601893304e-05,-3.409580501839704e-05,-4.813503551304166e-07,-1.356539775933252e-05,-0.0440478415231797
electricity,standard,BURST4,1,0.1822235644152669,0.1823078736661902,-8.43092509233423e-05,-1.260998115604206e-05,-7.169926976730023e-05,-1.2317258638594453e-06,-2.1077312730835573e-05,-0.0313925142813117
electricity,standard,BURST4,2,0.0098781072189874,0.0098845250543817,-6.417835394336921e-06,3.200988200092146e-06,-9.618823594429069e-06,-6.07259619724715e-08,-1.6044588485842302e-06,-0.0349410013979491
electricity,standard,BURST4,3,0.2310490521307823,0.2311447138046728,-9.566167389046808e-05,2.951651110755238e-05,-0.000125178184998,-2.286790830330343e-05,-2.3915418472617023e-05,-0.0322774588408625
electricity,standard,BURST8,0,0.2618606037569934,0.2618783697774614,-1.7766020468046317e-05,-3.8932624589926856e-05,2.116660412188054e-05,1.3880634311180806e-05,-4.441505117011579e-06,-0.0625508610112957
electricity,standard,BURST8,1,0.1882703859368834,0.1884090018707187,-0.0001386159338353,-4.970145707917928e-05,-8.89144767561717e-05,-4.281299924718818e-06,-3.4653983458837745e-05,-0.0311429248985905
electricity,standard,BURST8,2,0.010948454930181,0.0109561063749684,-7.651444787473358e-06,1.2049523502215624e-05,-1.970096828968898e-05,1.1071889799846302e-06,-1.9128611968683394e-06,-0.0418309311633517
electricity,standard,BURST8,3,0.2585255302368249,0.2586655859035583,-0.0001400556667334,-0.0001632042681474,2.31486014140303e-05,6.478605592691311e-05,-3.501391668335463e-05,-0.0355759513904767
electricity,standard,BURST16,0,0.2634108362658197,0.2633026024327595,0.0001082338330601,1.0189980048397327e-05,9.80438530117922e-05,2.202612064788889e-05,2.705845826504738e-05,-0.0356798134824551
electricity,standard,BURST16,1,0.1884294376451004,0.1885348471033242,-0.0001054094582237,-0.0001199604936071,1.4551035383392197e-05,-6.80521928297928e-06,-2.635236455593437e-05,0.010035747993863
electricity,standard,BURST16,2,0.0129582351344732,0.0129952285327388,-3.6993398265620925e-05,2.4914081905239548e-05,-6.190748017086047e-05,5.686996164804697e-07,-9.248349566405231e-06,-0.0022304684155852
electricity,standard,BURST16,3,0.2494836288514114,0.2495020960343899,-1.8467182978487703e-05,0.0001242847732807,-0.0001427519562592,-5.069612340258267e-06,-4.616795744621927e-06,-0.0073513625289703
electricity,standard,SHIFT4,0,0.2792076434114414,0.279357574305445,-0.0001499308940036,-5.292995671940526e-05,-9.700093728420844e-05,1.3149602557938067e-06,-3.748272350090343e-05,-0.024798293278471
electricity,standard,SHIFT4,1,0.2058743717108651,0.2060212552401233,-0.0001468835292582,5.312058078264792e-05,-0.0002000041100408,-0.0002125128714856,-3.672088231455178e-05,-0.0220564283354189
electricity,standard,SHIFT4,2,0.0148640324298574,0.0147875302785975,7.650215125987007e-05,-5.180943972628045e-05,0.0001283115909861,-8.819582093268045e-05,1.912553781496752e-05,-0.0464476721135588
electricity,standard,SHIFT4,3,0.2580355707211064,0.2580839171175353,-4.834639642892213e-05,-0.0001660121135526,0.0001176657171237,-0.00023854842309,-1.2086599107230532e-05,-0.04406720946803
electricity,standard,SHIFT8,0,0.283008466915999,0.2832060135843641,-0.000197546668365,-7.331449036335202e-06,-0.0001902152193286,-1.7099727570746293e-05,-4.938666709125572e-05,0.1574808635120378
electricity,standard,SHIFT8,1,0.2337958485343037,0.2333628894601134,0.0004329590741902,-0.0004565880217344,0.0008895470959247,-0.0007175484650868,0.0001082397685475,0.033218904025281
electricity,standard,SHIFT8,2,0.0196614636804883,0.0195412562103238,0.0001202074701644,-0.0001237357071937,0.0002439431773581,-0.0001062457621484,3.0051867541105483e-05,0.0640413872934218
electricity,standard,SHIFT8,3,0.2670991297530977,0.2668325195175738,0.0002666102355238,-0.0002922391673666,0.0005588494028905,-0.0004090227741156,6.665255888096966e-05,0.0662893869140902
electricity,standard,SHIFT_POINT,0,0.2860141386900668,0.286166767454127,-0.0001526287640601,-8.712906106786433e-05,-6.549970299232766e-05,-2.261539736342355e-05,-3.8157191015048e-05,-0.0451339479896663
electricity,standard,SHIFT_POINT,1,0.2104570906154335,0.2106458993680175,-0.0001888087525839,-2.9244953548154817e-05,-0.0001595637990357,-0.0001702181567896,-4.720218814598109e-05,-0.0326740130361561
electricity,standard,SHIFT_POINT,2,0.0166794663099529,0.0166322847249119,4.718158504100206e-05,-6.224982639838235e-05,0.0001094314114393,-7.1056518949935e-05,1.1795396260250515e-05,-0.0554592048527541
electricity,standard,SHIFT_POINT,3,0.2613692698588918,0.2614481246571361,-7.885479824432107e-05,-0.0001847408935072,0.0001058860952629,-0.0002700673368717,-1.9713699561080267e-05,-0.0573429860111953
electricity,standard,FAULT,0,0.259117857214394,0.2591463248915736,-2.8467677179566664e-05,-3.4348813582135707e-05,5.881136402569043e-06,7.524609557829631e-06,-7.116919294891666e-06,-0.0319630314871605
electricity,standard,FAULT,1,0.1845275785767227,0.1846142496058271,-8.667102910447921e-05,-3.2978121966092955e-05,-5.369290713838626e-05,-9.071746515654232e-07,-2.1667757276119803e-05,-0.0157821042773242
electricity,standard,FAULT,2,0.0104292625025754,0.0104407472496737,-1.1484747098246956e-05,7.099072289087037e-06,-1.8583819387333996e-05,2.49494328826913e-07,-2.871186774561739e-06,-0.0227864845327843
