panel,kind,condition,new,baseline,seed,gain_pct
electricity,shape,PAIRED_SHIFT8_D32,C0,F0,81551,34.729078535036514
electricity,shape,PAIRED_SHIFT8_D32,C0,F0,81552,33.813316174338006
electricity,shape,PAIRED_SHIFT8_D32,C0,F0,81553,35.6907241263988
electricity,shape,PAIRED_SHIFT8_D32,C0,PERSISTENCE,81551,58.50245568606811
electricity,shape,PAIRED_SHIFT8_D32,C0,PERSISTENCE,81552,57.92023793440795
electricity,shape,PAIRED_SHIFT8_D32,C0,PERSISTENCE,81553,59.11384479543245
electricity,shape,PAIRED_SHIFT8_D32,C0,SEASONAL,81551,10.435494122155298
electricity,shape,PAIRED_SHIFT8_D32,C0,SEASONAL,81552,9.178888554214629
electricity,shape,PAIRED_SHIFT8_D32,C0,SEASONAL,81553,11.755060481674262
electricity,shape,PAIRED_SHIFT8_D32,C3,C0,81551,3.139457772129928
electricity,shape,PAIRED_SHIFT8_D32,C3,C0,81552,4.398928664037127
electricity,shape,PAIRED_SHIFT8_D32,C3,C0,81553,1.5568194238978483
electricity,shape,PAIRED_SHIFT8_D32,C3,C2,81551,0.1339627942141708
electricity,shape,PAIRED_SHIFT8_D32,C3,C2,81552,2.4760856522012986
electricity,shape,PAIRED_SHIFT8_D32,C3,C2,81553,-0.1692312060498135
electricity,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81551,0.2426117088316526
electricity,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81552,0.0377818175932409
electricity,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81553,-0.0175599792180847
electricity,shape,PAIRED_SHIFT8_D32,C3,F0,81551,36.77823155190914
electricity,shape,PAIRED_SHIFT8_D32,C3,F0,81552,36.72482118092068
electricity,shape,PAIRED_SHIFT8_D32,C3,F0,81553,36.69190342456709
electricity,shape,PAIRED_SHIFT8_D32,C3,PERSISTENCE,81551,59.80525356627491
electricity,shape,PAIRED_SHIFT8_D32,C3,PERSISTENCE,81552,59.7712966496699
electricity,shape,PAIRED_SHIFT8_D32,C3,PERSISTENCE,81553,59.75036840134218
