panel,baseline,q,w,absolute_nmae_benefit
electricity,C0,0.0,0.0,-0.00038519032481398874
electricity,C0,0.0,0.01,-0.00031481106339897896
electricity,C0,0.0,0.02,-0.0002444318019839692
electricity,C0,0.0,0.03,-0.00017405254056895942
electricity,C0,0.0,0.04,-0.00010367327915394967
electricity,C0,0.0,0.05,-3.3294017738939776e-05
electricity,C0,0.0,0.06,3.708524367606995e-05
electricity,C0,0.0,0.07,0.00010746450509107979
electricity,C0,0.0,0.08,0.0001778437665060894
electricity,C0,0.0,0.09,0.0002482230279210992
electricity,C0,0.0,0.1,0.0003186022893361091
electricity,C0,0.0,0.11,0.00038898155075111875
electricity,C0,0.0,0.12,0.00045936081216612853
electricity,C0,0.0,0.13,0.0005297400735811384
electricity,C0,0.0,0.14,0.0006001193349961483
electricity,C0,0.0,0.15,0.0006704985964111578
electricity,C0,0.0,0.16,0.0007408778578261676
electricity,C0,0.0,0.17,0.0008112571192411776
electricity,C0,0.0,0.18,0.0008816363806561871
electricity,C0,0.0,0.19,0.0009520156420711968
electricity,C0,0.0,0.2,0.001022394903486207
electricity,C0,0.0,0.21,0.0010927741649012165
electricity,C0,0.0,0.22,0.0011631534263162263
electricity,C0,0.0,0.23,0.001233532687731236
electricity,C0,0.0,0.24,0.0013039119491462458
electricity,C0,0.0,0.25,0.0013742912105612556
electricity,C0,0.0,0.26,0.0014446704719762655
electricity,C0,0.0,0.27,0.0015150497333912753
electricity,C0,0.0,0.28,0.0015854289948062851
electricity,C0,0.0,0.29,0.0016558082562212945
electricity,C0,0.0,0.3,0.0017261875176363044
electricity,C0,0.0,0.31,0.0017965667790513144
electricity,C0,0.0,0.32,0.0018669460404663238
electricity,C0,0.0,0.33,0.0019373253018813339
electricity,C0,0.0,0.34,0.002007704563296344
electricity,C0,0.0,0.35000000000000003,0.0020780838247113536
electricity,C0,0.0,0.36,0.002148463086126363
electricity,C0,0.0,0.37,0.0022188423475413732
electricity,C0,0.0,0.38,0.0022892216089563824
electricity,C0,0.0,0.39,0.0023596008703713925
electricity,C0,0.0,0.4,0.0024299801317864025
electricity,C0,0.0,0.41000000000000003,0.002500359393201412
electricity,C0,0.0,0.42,0.0025707386546164218
electricity,C0,0.0,0.43,0.002641117916031432
electricity,C0,0.0,0.44,0.0027114971774464414
electricity,C0,0.0,0.45,0.0027818764388614515
electricity,C0,0.0,0.46,0.0028522557002764607
electricity,C0,0.0,0.47000000000000003,0.0029226349616914707
electricity,C0,0.0,0.48,0.0029930142231064803
electricity,C0,0.0,0.49,0.00306339348452149
electricity,C0,0.0,0.5,0.0031337727459365
electricity,C0,0.0,0.51,0.00320415200735151
electricity,C0,0.0,0.52,0.0032745312687665197
electricity,C0,0.0,0.53,0.0033449105301815297
electricity,C0,0.0,0.54,0.0034152897915965394
electricity,C0,0.0,0.55,0.003485669053011549
electricity,C0,0.0,0.56,0.003556048314426559
