panel,kind,condition,factor,excluded,removed_cells,gain_pct,change_pp
electricity,shape,PAIRED_SHIFT8_D32,seed,81551,256,0.050586710967495126,-0.009211421596278357
electricity,shape,PAIRED_SHIFT8_D32,seed,81552,256,0.02784834304047466,-0.03194978952329883
electricity,shape,PAIRED_SHIFT8_D32,seed,81553,256,0.10097394419509056,0.04117581163131708
electricity,shape,PAIRED_SHIFT8_D32,channel,0,192,0.12312932450529429,0.06333119194152081
electricity,shape,PAIRED_SHIFT8_D32,channel,1,192,0.015263630976847038,-0.04453450158692644
electricity,shape,PAIRED_SHIFT8_D32,channel,2,192,0.04967319656521834,-0.010124935998555143
electricity,shape,PAIRED_SHIFT8_D32,channel,3,192,0.06256318553409786,0.0027650529703243734
electricity,shape,PAIRED_SHIFT8_D32,index_week,125,24,0.06608388932604321,0.00628575676226973
electricity,shape,PAIRED_SHIFT8_D32,index_week,126,24,0.06924780811741903,0.009449675553645544
electricity,shape,PAIRED_SHIFT8_D32,index_week,127,24,0.06381521473031385,0.004017082166540363
electricity,shape,PAIRED_SHIFT8_D32,index_week,128,24,0.057245055393696835,-0.002553077170076648
electricity,shape,PAIRED_SHIFT8_D32,index_week,129,24,0.051381105140407134,-0.00841702742336635
electricity,shape,PAIRED_SHIFT8_D32,index_week,130,24,0.055701164697147865,-0.0040969678666256185
electricity,shape,PAIRED_SHIFT8_D32,index_week,131,24,0.05172128441945978,-0.008076848144313704
electricity,shape,PAIRED_SHIFT8_D32,index_week,132,24,0.05730226081024473,-0.00249587175352875
electricity,shape,PAIRED_SHIFT8_D32,index_week,133,24,0.05759738433858928,-0.0022007482251842
electricity,shape,PAIRED_SHIFT8_D32,index_week,134,24,0.04294756756856861,-0.016850564995204875
electricity,shape,PAIRED_SHIFT8_D32,index_week,135,24,0.06578310935662067,0.005984976792847187
electricity,shape,PAIRED_SHIFT8_D32,index_week,136,36,0.06672833437986155,0.006930201816088062
electricity,shape,PAIRED_SHIFT8_D32,index_week,137,24,0.062404111507057616,0.002605978943284133
electricity,shape,PAIRED_SHIFT8_D32,index_week,138,24,0.060926340713147675,0.0011282081493741922
electricity,shape,PAIRED_SHIFT8_D32,index_week,139,24,0.07404343941808898,0.0142453068543155
electricity,shape,PAIRED_SHIFT8_D32,index_week,140,24,0.06489520014090633,0.005097067577132845
electricity,shape,PAIRED_SHIFT8_D32,index_week,141,24,0.053665855588585415,-0.006132276975188068
electricity,shape,PAIRED_SHIFT8_D32,index_week,142,24,0.05206245888097491,-0.007735673682798573
electricity,shape,PAIRED_SHIFT8_D32,index_week,143,24,0.06719239027242274,0.007394257708649259
electricity,shape,PAIRED_SHIFT8_D32,index_week,144,24,0.0601276411490187,0.00032950858524521953
electricity,shape,PAIRED_SHIFT8_D32,index_week,145,24,0.059537076473987406,-0.00026105608978607697
electricity,shape,PAIRED_SHIFT8_D32,index_week,146,24,0.05975694418761603,-4.118837615744997e-05
electricity,shape,PAIRED_SHIFT8_D32,index_week,147,24,0.06659275405675597,0.006794621492982482
electricity,shape,PAIRED_SHIFT8_D32,index_week,148,24,0.06047776690042667,0.0006796343366531898
