source,arm,seed,parameter,initial_norm,final_norm,change_norm
electricity,TRP,81551,adapter.down.weight,1.6255425423169203,1.610081810016172,0.38183608704464067
electricity,TRP,81551,adapter.down.bias,0.07125662609865246,0.05709228906421124,0.018748717514707948
electricity,TRP,81551,adapter.up.weight,0.0,0.24084646643444726,0.24084646643444726
electricity,TRP,81551,adapter.up.bias,0.0,0.021677387308697296,0.021677387308697296
ettm1,ANCHOR,81552,adapter.down.weight,1.6499806306443252,1.6539536205265895,0.4144797508132316
ettm1,ANCHOR,81552,adapter.down.bias,0.07798584471918742,0.07966622811701068,0.007536791270906158
ettm1,ANCHOR,81552,adapter.up.weight,0.0,0.3491304937800852,0.3491304937800852
ettm1,ANCHOR,81552,adapter.up.bias,0.0,0.04486708889868313,0.04486708889868313
electricity,SHUFFLE,81552,adapter.down.weight,1.6499806306443252,1.643891810900736,0.55942761136575
electricity,SHUFFLE,81552,adapter.down.bias,0.07798584471918742,0.08950157124205498,0.014817069287492135
electricity,SHUFFLE,81552,adapter.up.weight,0.0,0.4294433215297472,0.4294433215297472
electricity,SHUFFLE,81552,adapter.up.bias,0.0,0.030688738972651716,0.030688738972651716
ettm1,TRP,81551,adapter.down.weight,1.6255425423169203,1.6290326142718403,0.4175693951337125
ettm1,TRP,81551,adapter.down.bias,0.07125662609865246,0.061115364442334286,0.014588340099814643
ettm1,TRP,81551,adapter.up.weight,0.0,0.25734809155802696,0.25734809155802696
ettm1,TRP,81551,adapter.up.bias,0.0,0.028052786127146734,0.028052786127146734
electricity,ANCHOR,81551,adapter.down.weight,1.6255425423169203,1.618544310649601,0.4583453304292172
electricity,ANCHOR,81551,adapter.down.bias,0.07125662609865246,0.05871662362525399,0.024271638152721677
electricity,ANCHOR,81551,adapter.up.weight,0.0,0.30977329370811324,0.30977329370811324
electricity,ANCHOR,81551,adapter.up.bias,0.0,0.03563070049389175,0.03563070049389175
ettm1,SHUFFLE,81552,adapter.down.weight,1.6499806306443252,1.6071005247136294,0.43011887869208654
ettm1,SHUFFLE,81552,adapter.down.bias,0.07798584471918742,0.07453579603416816,0.005949680147302314
ettm1,SHUFFLE,81552,adapter.up.weight,0.0,0.33994524659501896,0.33994524659501896
ettm1,SHUFFLE,81552,adapter.up.bias,0.0,0.0347335405816195,0.0347335405816195
ettm1,IDEAL,81552,adapter.down.weight,1.6499806306443252,5.104613118537783,4.7817256218747985
ettm1,IDEAL,81552,adapter.down.bias,0.07798584471918742,0.201154400570213,0.24389170001567317
ettm1,IDEAL,81552,adapter.up.weight,0.0,2.295016030068362,2.295016030068362
ettm1,IDEAL,81552,adapter.up.bias,0.0,0.5401283511809655,0.5401283511809655
electricity,PLAIN,81552,adapter.down.weight,1.6499806306443252,2.4244567711324754,1.6677672063893865
electricity,PLAIN,81552,adapter.down.bias,0.07798584471918742,0.08850129973322647,0.06526787204335506
electricity,PLAIN,81552,adapter.up.weight,0.0,1.3021935730333973,1.3021935730333973
electricity,PLAIN,81552,adapter.up.bias,0.0,0.40142555972313504,0.40142555972313504
electricity,IDEAL,81552,adapter.down.weight,1.6499806306443252,4.636194520303204,4.264996912229245
electricity,IDEAL,81552,adapter.down.bias,0.07798584471918742,0.23512213428634132,0.27141341012555315
electricity,IDEAL,81552,adapter.up.weight,0.0,2.1093820230799594,2.1093820230799594
electricity,IDEAL,81552,adapter.up.bias,0.0,0.6968549989662157,0.6968549989662157
ettm1,IDEAL,81551,adapter.down.weight,1.6255425423169203,5.124617918040251,4.783681506505076
ettm1,IDEAL,81551,adapter.down.bias,0.07125662609865246,0.287630829582247,0.24361421256382576
ettm1,IDEAL,81551,adapter.up.weight,0.0,2.2307966740070446,2.2307966740070446
ettm1,IDEAL,81551,adapter.up.bias,0.0,0.5126861612942176,0.5126861612942176
ettm1,PLAIN,81551,adapter.down.weight,1.6255425423169203,2.4878926846158147,1.8092481864395558
ettm1,PLAIN,81551,adapter.down.bias,0.07125662609865246,0.13512065252549346,0.0799606312239887
ettm1,PLAIN,81551,adapter.up.weight,0.0,1.2736620230883497,1.2736620230883497
ettm1,PLAIN,81551,adapter.up.bias,0.0,0.3543592543785481,0.3543592543785481
ettm1,PLAIN,81552,adapter.down.weight,1.6499806306443252,2.117819400543385,1.2674921645455293
ettm1,PLAIN,81552,adapter.down.bias,0.07798584471918742,0.07450041244047292,0.04346583758901271
ettm1,PLAIN,81552,adapter.up.weight,0.0,1.1951641921218041,1.1951641921218041
ettm1,PLAIN,81552,adapter.up.bias,0.0,0.45210236832623835,0.45210236832623835
electricity,IDEAL,81551,adapter.down.weight,1.6255425423169203,5.03824185599612,4.688228959586534
electricity,IDEAL,81551,adapter.down.bias,0.07125662609865246,0.32694360672974304,0.2781526264849775
electricity,IDEAL,81551,adapter.up.weight,0.0,2.0762017936556343,2.0762017936556343
electricity,IDEAL,81551,adapter.up.bias,0.0,0.5270114005572978,0.5270114005572978
electricity,TRP,81552,adapter.down.weight,1.6499806306443252,1.6306204519966871,0.37351889828957935
electricity,TRP,81552,adapter.down.bias,0.07798584471918742,0.07609577925558865,0.005344325126873625
electricity,TRP,81552,adapter.up.weight,0.0,0.14471414561272553,0.14471414561272553
electricity,TRP,81552,adapter.up.bias,0.0,0.010693780079782274,0.010693780079782274
ettm1,ANCHOR,81551,adapter.down.weight,1.6255425423169203,1.6413760611581862,0.4914043562407309
ettm1,ANCHOR,81551,adapter.down.bias,0.07125662609865246,0.06078283324586182,0.017852972939689314
ettm1,ANCHOR,81551,adapter.up.weight,0.0,0.3513995419013503,0.3513995419013503
ettm1,ANCHOR,81551,adapter.up.bias,0.0,0.03684406843251501,0.03684406843251501
ettm1,TRP,81552,adapter.down.weight,1.6499806306443252,1.6520080831568396,0.4394843158638179
ettm1,TRP,81552,adapter.down.bias,0.07798584471918742,0.07956207716289455,0.006736768952648149
ettm1,TRP,81552,adapter.up.weight,0.0,0.38056440803736624,0.38056440803736624
ettm1,TRP,81552,adapter.up.bias,0.0,0.03419883410871981,0.03419883410871981
electricity,ANCHOR,81552,adapter.down.weight,1.6499806306443252,1.6204037834225837,0.3892516396500668
electricity,ANCHOR,81552,adapter.down.bias,0.07798584471918742,0.07705118909311649,0.00504061727724382
electricity,ANCHOR,81552,adapter.up.weight,0.0,0.11435977190518677,0.11435977190518677
electricity,ANCHOR,81552,adapter.up.bias,0.0,0.008244551497080546,0.008244551497080546
electricity,SHUFFLE,81551,adapter.down.weight,1.6255425423169203,1.6002582361100897,0.4542585362959743
electricity,SHUFFLE,81551,adapter.down.bias,0.07125662609865246,0.06088118080028767,0.016202050060972806
electricity,SHUFFLE,81551,adapter.up.weight,0.0,0.2489293123293334,0.2489293123293334
electricity,SHUFFLE,81551,adapter.up.bias,0.0,0.014405927077674073,0.014405927077674073
ettm1,SHUFFLE,81551,adapter.down.weight,1.6255425423169203,1.6160606416366325,0.44220661496462055
ettm1,SHUFFLE,81551,adapter.down.bias,0.07125662609865246,0.0639227561139468,0.013829875599495492
ettm1,SHUFFLE,81551,adapter.up.weight,0.0,0.350588845215648,0.350588845215648
ettm1,SHUFFLE,81551,adapter.up.bias,0.0,0.027999089255123455,0.027999089255123455
electricity,PLAIN,81551,adapter.down.weight,1.6255425423169203,2.2768935986869914,1.4763039061245102
electricity,PLAIN,81551,adapter.down.bias,0.07125662609865246,0.12031360432010577,0.06730866291324554
electricity,PLAIN,81551,adapter.up.weight,0.0,1.1422616483228283,1.1422616483228283
electricity,PLAIN,81551,adapter.up.bias,0.0,0.3276141600536578,0.3276141600536578
