panel,stage,arm,seed,condition,checkpoint_step,absolute_correction_nmae,response_distortion_from_B0,ideal_response_error,B0_ideal_response_error,mean_response_to_true_shift_ratio
electricity,fixed1024,ANCHOR,81551,REFERENCE,1024,2.1110404356006374e-05,0.0,,,
electricity,fixed1024,ANCHOR,81551,SHIFT4,1024,3.051733634205761e-05,3.316484003527826e-05,0.08721392252624117,0.08721174576660029,0.986809754607747
electricity,fixed1024,ANCHOR,81551,SHIFT8,1024,3.6400377731956964e-05,4.0592755235005726e-05,0.1118520353678654,0.11185574677691051,0.9901032271248277
electricity,fixed1024,ANCHOR,81551,SHIFT_POINT,1024,3.2839689274457655e-05,3.5795415682831464e-05,,,
electricity,selected,ANCHOR,81551,REFERENCE,1024,2.1110404356006374e-05,0.0,,,
electricity,selected,ANCHOR,81551,SHIFT4,1024,3.051733634205761e-05,3.316484003527826e-05,0.08721392252624117,0.08721174576660029,0.986809754607747
electricity,selected,ANCHOR,81551,SHIFT8,1024,3.6400377731956964e-05,4.0592755235005726e-05,0.1118520353678654,0.11185574677691051,0.9901032271248277
electricity,selected,ANCHOR,81551,SHIFT_POINT,1024,3.2839689274457655e-05,3.5795415682831464e-05,,,
electricity,fixed1024,ANCHOR,81552,REFERENCE,1024,1.895122956962273e-05,0.0,,,
electricity,fixed1024,ANCHOR,81552,SHIFT4,1024,3.230671053325614e-05,2.8913767349348775e-05,0.08514404849050113,0.08514232178604397,0.9778374627446685
electricity,fixed1024,ANCHOR,81552,SHIFT8,1024,4.137777023182401e-05,3.942793848763099e-05,0.12193095283113019,0.12192197573638969,0.9814466167766519
electricity,fixed1024,ANCHOR,81552,SHIFT_POINT,1024,3.5103725589137465e-05,3.130647006963246e-05,,,
electricity,selected,ANCHOR,81552,REFERENCE,0,0.0,0.0,,,
electricity,selected,ANCHOR,81552,SHIFT4,0,0.0,0.0,0.08514232178604397,0.08514232178604397,0.9778530806682093
electricity,selected,ANCHOR,81552,SHIFT8,0,0.0,0.0,0.12192197573638969,0.12192197573638969,0.9814581109224544
electricity,selected,ANCHOR,81552,SHIFT_POINT,0,0.0,0.0,,,
electricity,fixed1024,B0,81551,REFERENCE,768,0.0,0.0,,,
electricity,fixed1024,B0,81551,SHIFT4,768,0.0,0.0,0.08721174576660029,0.08721174576660029,0.986814183627402
electricity,fixed1024,B0,81551,SHIFT8,768,0.0,0.0,0.11185574677691051,0.11185574677691051,0.9901013117469302
electricity,fixed1024,B0,81551,SHIFT_POINT,768,0.0,0.0,,,
electricity,selected,B0,81551,REFERENCE,768,0.0,0.0,,,
electricity,selected,B0,81551,SHIFT4,768,0.0,0.0,0.08721174576660029,0.08721174576660029,0.986814183627402
electricity,selected,B0,81551,SHIFT8,768,0.0,0.0,0.11185574677691051,0.11185574677691051,0.9901013117469302
electricity,selected,B0,81551,SHIFT_POINT,768,0.0,0.0,,,
electricity,fixed1024,B0,81552,REFERENCE,512,0.0,0.0,,,
electricity,fixed1024,B0,81552,SHIFT4,512,0.0,0.0,0.08514232178604397,0.08514232178604397,0.9778530806682093
electricity,fixed1024,B0,81552,SHIFT8,512,0.0,0.0,0.12192197573638969,0.12192197573638969,0.9814581109224544
electricity,fixed1024,B0,81552,SHIFT_POINT,512,0.0,0.0,,,
electricity,selected,B0,81552,REFERENCE,512,0.0,0.0,,,
electricity,selected,B0,81552,SHIFT4,512,0.0,0.0,0.08514232178604397,0.08514232178604397,0.9778530806682093
electricity,selected,B0,81552,SHIFT8,512,0.0,0.0,0.12192197573638969,0.12192197573638969,0.9814581109224544
electricity,selected,B0,81552,SHIFT_POINT,512,0.0,0.0,,,
electricity,fixed1024,C3,81551,REFERENCE,1024,0.011694253207583171,0.0,,,
electricity,fixed1024,C3,81551,SHIFT4,1024,0.02851706121402434,0.025545499035103475,0.08228905022025294,0.08721174576660029,0.9814597532201979
electricity,fixed1024,C3,81551,SHIFT8,1024,0.04178689022881717,0.03807120685553202,0.10582234106502289,0.11185574677691051,0.9889356053512536
electricity,fixed1024,C3,81551,SHIFT_POINT,1024,0.02875676426992337,0.02604055395536662,,,
electricity,selected,C3,81551,REFERENCE,768,0.009609802176225105,0.0,,,
electricity,selected,C3,81551,SHIFT4,768,0.022956737697431708,0.019608643402339324,0.0830011586161476,0.08721174576660029,0.9850545178935332
electricity,selected,C3,81551,SHIFT8,768,0.03922612606406666,0.03549642638190762,0.10567307294283639,0.11185574677691051,0.992778704063721
electricity,selected,C3,81551,SHIFT_POINT,768,0.023449000148243797,0.020501707621363423,,,
electricity,fixed1024,C3,81552,REFERENCE,1024,0.009787064003651851,0.0,,,
electricity,fixed1024,C3,81552,SHIFT4,1024,0.020401389513898454,0.018833046637963057,0.0830214446049358,0.08514232178604397,0.9852888357297862
electricity,fixed1024,C3,81552,SHIFT8,1024,0.03274332197799303,0.033434901625031814,0.10928053906123725,0.12192197573638969,0.9893754059084741
electricity,fixed1024,C3,81552,SHIFT_POINT,1024,0.021827725935603857,0.02068370229346287,,,
electricity,selected,C3,81552,REFERENCE,768,0.009401970703939482,0.0,,,
electricity,selected,C3,81552,SHIFT4,768,0.02624472554530842,0.022844731101151528,0.08377526899280571,0.08514232178604397,0.9899878884823856
electricity,selected,C3,81552,SHIFT8,768,0.041141917916025755,0.04090597089510773,0.10802915631868718,0.12192197573638969,0.9935186202627977
electricity,selected,C3,81552,SHIFT_POINT,768,0.028008379689870896,0.025022730959600545,,,
electricity,fixed1024,IDEAL,81551,REFERENCE,1024,0.032471383007634164,0.0,,,
