candidate,arm,seed,batch,round,repeat,seconds,peak_allocated,peak_reserved
A,FULL9,92301,1,0,0,0.03671550002763979,237998592,285212672
A,FULL9,92301,1,0,1,0.03694359998917207,237998592,285212672
A,FULL9,92301,1,0,2,0.037324000004446134,237998592,285212672
A,FULL9,92301,1,0,3,0.0360872000164818,237998592,285212672
A,FULL9,92301,1,0,4,0.037276399991242215,237998592,285212672
A,FULL9,92301,1,0,5,0.04026949999388307,237998592,285212672
A,FULL9,92301,1,0,6,0.03778880002209917,237998592,285212672
A,FULL9,92301,1,0,7,0.03694479999830946,237998592,285212672
A,FULL9,92301,1,0,8,0.03592189998016693,237998592,285212672
A,FULL9,92301,1,0,9,0.03683250001631677,237998592,285212672
A,FULL9,92301,1,0,10,0.03680570001597516,237998592,285212672
A,FULL9,92301,1,0,11,0.03683719999389723,237998592,285212672
A,FULL9,92301,1,0,12,0.037357699999120086,237998592,285212672
A,FULL9,92301,1,0,13,0.036671999987447634,237998592,285212672
A,FULL9,92301,1,0,14,0.03714649999164976,237998592,285212672
A,FULL9,92301,8,0,0,0.06440319999819621,317359104,352321536
A,FULL9,92301,8,0,1,0.056557799980510026,317359104,352321536
A,FULL9,92301,8,0,2,0.05750799999805167,317359104,352321536
A,FULL9,92301,8,0,3,0.0590121999848634,317359104,352321536
A,FULL9,92301,8,0,4,0.0579915999842342,317359104,352321536
A,FULL9,92301,8,0,5,0.05694660000153817,317359104,352321536
A,FULL9,92301,8,0,6,0.05640220001805574,317359104,352321536
A,FULL9,92301,8,0,7,0.05651259998558089,317359104,352321536
A,FULL9,92301,8,0,8,0.05625110000255518,317359104,352321536
A,FULL9,92301,8,0,9,0.055966899992199615,317359104,352321536
A,FULL9,92301,8,0,10,0.056987699994351715,317359104,352321536
A,FULL9,92301,8,0,11,0.06242579998797737,317359104,352321536
A,FULL9,92301,8,0,12,0.0563325000111945,317359104,352321536
A,FULL9,92301,8,0,13,0.05673510002088733,317359104,352321536
A,FULL9,92301,8,0,14,0.059121400001458824,317359104,352321536
A,MEDIAN1,92301,1,0,0,0.033851100015453994,227927552,272629760
A,MEDIAN1,92301,1,0,1,0.034292299998924136,227927552,272629760
A,MEDIAN1,92301,1,0,2,0.033843599987449124,227927552,272629760
A,MEDIAN1,92301,1,0,3,0.034243600006448105,227927552,272629760
A,MEDIAN1,92301,1,0,4,0.034803499991539866,227927552,272629760
A,MEDIAN1,92301,1,0,5,0.03383080000639893,227927552,272629760
A,MEDIAN1,92301,1,0,6,0.033871899999212474,227927552,272629760
A,MEDIAN1,92301,1,0,7,0.033566600002814084,227927552,272629760
A,MEDIAN1,92301,1,0,8,0.03648449998581782,227927552,272629760
A,MEDIAN1,92301,1,0,9,0.034845199988922104,227927552,272629760
A,MEDIAN1,92301,1,0,10,0.034788999997545034,227927552,272629760
A,MEDIAN1,92301,1,0,11,0.034305799985304475,227927552,272629760
A,MEDIAN1,92301,1,0,12,0.034685100021306425,227927552,272629760
A,MEDIAN1,92301,1,0,13,0.035618299996713176,227927552,272629760
A,MEDIAN1,92301,1,0,14,0.03545940000913106,227927552,272629760
A,MEDIAN1,92301,8,0,0,0.037592000007862225,236789248,285212672
A,MEDIAN1,92301,8,0,1,0.03658500002347864,236789248,285212672
A,MEDIAN1,92301,8,0,2,0.03648559999419376,236789248,285212672
A,MEDIAN1,92301,8,0,3,0.036854300007689744,236789248,285212672
A,MEDIAN1,92301,8,0,4,0.035871899977792054,236789248,285212672
A,MEDIAN1,92301,8,0,5,0.038521000009495765,236789248,285212672
A,MEDIAN1,92301,8,0,6,0.036956199997803196,236789248,285212672
A,MEDIAN1,92301,8,0,7,0.0380977000168059,236789248,285212672
A,MEDIAN1,92301,8,0,8,0.036759099981281906,236789248,285212672
A,MEDIAN1,92301,8,0,9,0.03726420001476072,236789248,285212672
A,MEDIAN1,92301,8,0,10,0.0369471000158228,236789248,285212672
A,MEDIAN1,92301,8,0,11,0.03622330000507645,236789248,285212672
A,MEDIAN1,92301,8,0,12,0.03711549998843111,236789248,285212672
A,MEDIAN1,92301,8,0,13,0.03568689999519847,236789248,285212672
A,MEDIAN1,92301,8,0,14,0.03662500000791624,236789248,285212672
A,FIXED3,92301,1,0,0,0.03660939997644164,230446080,276824064
A,FIXED3,92301,1,0,1,0.03459689998999238,230446080,276824064
A,FIXED3,92301,1,0,2,0.03507829998852685,230446080,276824064
A,FIXED3,92301,1,0,3,0.034341499995207414,230446080,276824064
A,FIXED3,92301,1,0,4,0.0354388999985531,230446080,276824064
A,FIXED3,92301,1,0,5,0.03712210000958294,230446080,276824064
