arm,batch,repetitions,median_seconds,q25,q75,peak_allocated,peak_reserved
FULL9,1,30,0.03575139999156818,0.03523664999374887,0.036572849996446166,271946240,318767104
FULL9,8,30,0.06010664999485016,0.05912007498409366,0.06175907498982269,351306752,385875968
MEDIAN1,1,30,0.03290375000506174,0.03265912499045953,0.033145925001008436,261875200,306184192
MEDIAN1,8,30,0.035043850002693944,0.03490167501149699,0.03524744998867391,270736896,318767104
FIXED3,1,30,0.03411535000486765,0.03366917499806732,0.03469460001360858,264393728,310378496
FIXED3,8,30,0.03873845000634901,0.038577550010813866,0.03913167500286363,290885120,316669952
MEDOID3,1,30,0.03450254999916069,0.03412025000579888,0.03490425000200048,264395776,310378496
MEDOID3,8,30,0.03919320000568405,0.038865624999743886,0.041848149987345096,290892288,316669952
GLOBAL3,1,30,0.034145750003517605,0.03385399998660432,0.03460517499479465,264398336,310378496
GLOBAL3,8,30,0.03905619999568444,0.03873839999869233,0.039260099998500664,290911232,318767104
CONTEXT3,1,30,0.03593949999776669,0.03488270001253113,0.03664452499651816,264418304,310378496
CONTEXT3,8,30,0.039160150015959516,0.0387886000025901,0.03940199999487959,290931200,316669952
F0_NATIVE,1,30,0.028118200003518723,0.027257899993855972,0.028617575007956475,270766592,316669952
F0_NATIVE,8,30,0.048505400016438216,0.04800360000808723,0.04912782500468893,350127104,383778816
F0_MEDIAN,1,30,0.02536425000289455,0.024569100001826882,0.025931399999535643,260695552,306184192
F0_MEDIAN,8,30,0.026314199989428744,0.02617879999888828,0.026728600001661107,269557248,316669952
CHRONOS2,1,30,0.01913209998747334,0.018815274983353447,0.019332049989316147,548298240,570425344
CHRONOS2,8,30,0.02222854997671675,0.021988525011693127,0.022609524989093188,560123392,580911104
