candidate,arm,seed,batch,round,repeat,seconds,peak_allocated,peak_reserved
B,TARGET,92301,1,0,0,0.016345699987141415,226993152,272629760
B,TARGET,92301,1,0,1,0.017575200006831437,226993152,272629760
B,TARGET,92301,1,0,2,0.016182899998966604,226993152,272629760
B,TARGET,92301,1,0,3,0.017200300004333258,226993152,272629760
B,TARGET,92301,1,0,4,0.016285899997456,226993152,272629760
B,TARGET,92301,1,0,5,0.01617930000065826,226993152,272629760
B,TARGET,92301,1,0,6,0.016571999993175268,226993152,272629760
B,TARGET,92301,1,0,7,0.016449699993245304,226993152,272629760
B,TARGET,92301,1,0,8,0.016102699999464676,226993152,272629760
B,TARGET,92301,1,0,9,0.01575980000779964,226993152,272629760
B,TARGET,92301,1,0,10,0.01546500000404194,226993152,272629760
B,TARGET,92301,1,0,11,0.016070400015451014,226993152,272629760
B,TARGET,92301,1,0,12,0.01609010001993738,226993152,272629760
B,TARGET,92301,1,0,13,0.016818500007502735,226993152,272629760
B,TARGET,92301,1,0,14,0.0164812000002712,226993152,272629760
B,TARGET,92301,8,0,0,0.016462600004160777,229322752,274726912
B,TARGET,92301,8,0,1,0.017010600015055388,229322752,274726912
B,TARGET,92301,8,0,2,0.016841999982716516,229322752,274726912
B,TARGET,92301,8,0,3,0.017279399995459244,229322752,274726912
B,TARGET,92301,8,0,4,0.01682189997518435,229322752,274726912
B,TARGET,92301,8,0,5,0.016742799984058365,229322752,274726912
B,TARGET,92301,8,0,6,0.017162600008305162,229322752,274726912
B,TARGET,92301,8,0,7,0.01699569998891093,229322752,274726912
B,TARGET,92301,8,0,8,0.017325200024060905,229322752,274726912
B,TARGET,92301,8,0,9,0.017466299992520362,229322752,274726912
B,TARGET,92301,8,0,10,0.016418400016846135,229322752,274726912
B,TARGET,92301,8,0,11,0.016531099972780794,229322752,274726912
B,TARGET,92301,8,0,12,0.016107500006910414,229322752,274726912
B,TARGET,92301,8,0,13,0.0162459000130184,229322752,274726912
B,TARGET,92301,8,0,14,0.016473700001370162,229322752,274726912
B,CONTROL,92301,1,0,0,0.016922400012845173,227014656,272629760
B,CONTROL,92301,1,0,1,0.016851099993800744,227014656,272629760
B,CONTROL,92301,1,0,2,0.01610229999641888,227014656,272629760
B,CONTROL,92301,1,0,3,0.015668799984268844,227014656,272629760
B,CONTROL,92301,1,0,4,0.016113099991343915,227014656,272629760
B,CONTROL,92301,1,0,5,0.01807709998684004,227014656,272629760
B,CONTROL,92301,1,0,6,0.01650339999468997,227014656,272629760
B,CONTROL,92301,1,0,7,0.016437300015240908,227014656,272629760
B,CONTROL,92301,1,0,8,0.017017299978761002,227014656,272629760
B,CONTROL,92301,1,0,9,0.017768599995179102,227014656,272629760
B,CONTROL,92301,1,0,10,0.01699410000583157,227014656,272629760
B,CONTROL,92301,1,0,11,0.016674900020007044,227014656,272629760
B,CONTROL,92301,1,0,12,0.01639710000017658,227014656,272629760
B,CONTROL,92301,1,0,13,0.016162199986865744,227014656,272629760
B,CONTROL,92301,1,0,14,0.01673040000605397,227014656,272629760
B,CONTROL,92301,8,0,0,0.017760399990947917,229347328,274726912
B,CONTROL,92301,8,0,1,0.01709310000296682,229347328,274726912
B,CONTROL,92301,8,0,2,0.0172383000026457,229347328,274726912
B,CONTROL,92301,8,0,3,0.017517299973405898,229347328,274726912
B,CONTROL,92301,8,0,4,0.017280400003073737,229347328,274726912
B,CONTROL,92301,8,0,5,0.017065599997295067,229347328,274726912
B,CONTROL,92301,8,0,6,0.017262700013816357,229347328,274726912
B,CONTROL,92301,8,0,7,0.01675559999421239,229347328,274726912
B,CONTROL,92301,8,0,8,0.01676119997864589,229347328,274726912
B,CONTROL,92301,8,0,9,0.016335699998307973,229347328,274726912
B,CONTROL,92301,8,0,10,0.016591899999184534,229347328,274726912
B,CONTROL,92301,8,0,11,0.01714039998478256,229347328,274726912
B,CONTROL,92301,8,0,12,0.017161999974632636,229347328,274726912
B,CONTROL,92301,8,0,13,0.017335299984551966,229347328,274726912
B,CONTROL,92301,8,0,14,0.016564899997320026,229347328,274726912
B,MOMENTS,92301,1,0,0,0.01629589998628944,227027456,272629760
B,MOMENTS,92301,1,0,1,0.016061300004366785,227027456,272629760
B,MOMENTS,92301,1,0,2,0.01617029999033548,227027456,272629760
B,MOMENTS,92301,1,0,3,0.01627560000633821,227027456,272629760
B,MOMENTS,92301,1,0,4,0.01709919999120757,227027456,272629760
B,MOMENTS,92301,1,0,5,0.01639269999577664,227027456,272629760
B,MOMENTS,92301,1,0,6,0.01753159999498166,227027456,272629760
B,MOMENTS,92301,1,0,7,0.01721770002041012,227027456,272629760
B,MOMENTS,92301,1,0,8,0.016932500002440065,227027456,272629760
B,MOMENTS,92301,1,0,9,0.016768200002843514,227027456,272629760
B,MOMENTS,92301,1,0,10,0.01607390001299791,227027456,272629760
B,MOMENTS,92301,1,0,11,0.01672590000089258,227027456,272629760
B,MOMENTS,92301,1,0,12,0.016160600003786385,227027456,272629760
B,MOMENTS,92301,1,0,13,0.01752299998770468,227027456,272629760
B,MOMENTS,92301,1,0,14,0.01689189998432994,227027456,272629760
B,MOMENTS,92301,8,0,0,0.018463299988070503,229414912,274726912
B,MOMENTS,92301,8,0,1,0.017664499988313764,229414912,274726912
B,MOMENTS,92301,8,0,2,0.01749190001282841,229414912,274726912
B,MOMENTS,92301,8,0,3,0.01730049998150207,229414912,274726912
B,MOMENTS,92301,8,0,4,0.01816770000732504,229414912,274726912
B,MOMENTS,92301,8,0,5,0.01781349998782389,229414912,274726912
B,MOMENTS,92301,8,0,6,0.017159000009996817,229414912,274726912
B,MOMENTS,92301,8,0,7,0.01724859999376349,229414912,274726912
B,MOMENTS,92301,8,0,8,0.017838200001278892,229414912,274726912
B,MOMENTS,92301,8,0,9,0.01795730000594631,229414912,274726912
B,MOMENTS,92301,8,0,10,0.017750700004398823,229414912,274726912
B,MOMENTS,92301,8,0,11,0.01803110001492314,229414912,274726912
B,MOMENTS,92301,8,0,12,0.017420299991499633,229414912,274726912
B,MOMENTS,92301,8,0,13,0.016976699989754707,229414912,274726912
B,MOMENTS,92301,8,0,14,0.017900200007716194,229414912,274726912
B,SET,92301,1,0,0,0.016152800002600998,227040256,272629760
B,SET,92301,1,0,1,0.018510699999751523,227040256,272629760
B,SET,92301,1,0,2,0.016347599972505122,227040256,272629760
B,SET,92301,1,0,3,0.015940000012051314,227040256,272629760
B,SET,92301,1,0,4,0.0168666000245139,227040256,272629760
B,SET,92301,1,0,5,0.016842500015627593,227040256,272629760
B,SET,92301,1,0,6,0.01805620000232011,227040256,272629760
B,SET,92301,1,0,7,0.017132299981312826,227040256,272629760
B,SET,92301,1,0,8,0.017095399991376325,227040256,272629760
B,SET,92301,1,0,9,0.017381300014676526,227040256,272629760
B,SET,92301,1,0,10,0.016352999984519556,227040256,272629760
B,SET,92301,1,0,11,0.017049700021743774,227040256,272629760
B,SET,92301,1,0,12,0.018046299985144287,227040256,272629760
B,SET,92301,1,0,13,0.017036200006259605,227040256,272629760
B,SET,92301,1,0,14,0.01730209999368526,227040256,272629760
B,SET,92301,8,0,0,0.018131100019672886,229435904,274726912
B,SET,92301,8,0,1,0.018337399989832193,229435904,274726912
B,SET,92301,8,0,2,0.017586000001756474,229435904,274726912
B,SET,92301,8,0,3,0.018783500010613352,229435904,274726912
B,SET,92301,8,0,4,0.01767269999254495,229435904,274726912
B,SET,92301,8,0,5,0.01749329999438487,229435904,274726912
B,SET,92301,8,0,6,0.018101800000295043,229435904,274726912
B,SET,92301,8,0,7,0.01812019999488257,229435904,274726912
B,SET,92301,8,0,8,0.01780020000296645,229435904,274726912
B,SET,92301,8,0,9,0.01892480000969954,229435904,274726912
B,SET,92301,8,0,10,0.017127800005255267,229435904,274726912
B,SET,92301,8,0,11,0.01718789999722503,229435904,274726912
B,SET,92301,8,0,12,0.018420199980027974,229435904,274726912
B,SET,92301,8,0,13,0.018076000007567927,229435904,274726912
