arm,seed,mode,lead,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
TARGET,92301,raw,3,0.28250489760191994,0.30844858078154525,0.3844485182639876,176.29084613894628,0.8801652892561983,1.524319346615542,0.0009182736455463728
TARGET,92301,raw,6,0.367031742684188,0.39824976521012984,0.5004935276823727,229.503882289918,0.8223140495867769,1.822033859379997,0.001377410468319559
TARGET,92301,raw,9,0.45378320055626764,0.48943064869062997,0.6319018144900195,289.76182833584875,0.7975206611570248,2.0693250840371378,0.002295684113865932
TARGET,92301,raw,12,0.5262215690102997,0.5657528537260699,0.7343271640358614,336.7294993755246,0.8057851239669421,2.271750490371844,0.002754820936639119
TARGET,92301,raw,15,0.5616578335591822,0.60467654185937,0.7929730898857144,363.62189042272644,0.7892561983471075,2.4646371646563585,0.004132231404958678
TARGET,92301,raw,18,0.5551395641815754,0.6008893041134206,0.7922374355235665,363.28455232982793,0.8388429752066116,2.617168695628289,0.004591368227731863
TARGET,92301,raw,21,0.5582368413567849,0.6061118067754638,0.8013826057556402,367.4781171940575,0.859504132231405,2.7375994881434025,0.004591368227731864
TARGET,92301,raw,24,0.585045951616383,0.634576508267099,0.8432204735917934,386.663086757187,0.8388429752066116,2.8209142750311433,0.004132231404958678
TARGET,92301,cal,3,0.28250489760191994,0.30844858078154525,0.3844485182639876,176.29084613894628,0.8801652892561983,1.524319346615542,0.0009182736455463728
TARGET,92301,cal,6,0.367031742684188,0.39824976521012984,0.5004935276823727,229.503882289918,0.8223140495867769,1.822033859379997,0.001377410468319559
TARGET,92301,cal,9,0.45378320055626764,0.48943064869062997,0.6319018144900195,289.76182833584875,0.7975206611570248,2.0693250840371378,0.002295684113865932
TARGET,92301,cal,12,0.5262215690102997,0.5657528537260699,0.7343271640358614,336.7294993755246,0.8057851239669421,2.271750490371844,0.002754820936639119
TARGET,92301,cal,15,0.5616578335591822,0.60467654185937,0.7929730898857144,363.62189042272644,0.7892561983471075,2.4646371646563585,0.004132231404958678
TARGET,92301,cal,18,0.5551395641815754,0.6008893041134206,0.7922374355235665,363.28455232982793,0.8388429752066116,2.617168695628289,0.004591368227731863
TARGET,92301,cal,21,0.5582368413567849,0.6061118067754638,0.8013826057556402,367.4781171940575,0.859504132231405,2.7375994881434025,0.004591368227731864
TARGET,92301,cal,24,0.5883338300899903,0.6502470259033853,0.8432204735917934,386.663086757187,0.9586776859504132,3.5261428437889295,0.0371900826446281
TARGET,92302,raw,3,0.2634022334119808,0.2895710209670681,0.35532082783687935,162.9341938239484,0.8842975206611571,1.5378647526415807,0.001377410468319559
TARGET,92302,raw,6,0.3686388878410371,0.4003517154163378,0.5106489964251258,234.16072473447184,0.8099173553719008,1.851213474629638,0.0018365472910927456
TARGET,92302,raw,9,0.4663644285724535,0.5026827821430752,0.6509076184687145,298.477037540152,0.7892561983471075,2.1083504188750766,0.002754820936639119
TARGET,92302,raw,12,0.5364907851660125,0.576706752305032,0.7562597256946045,346.78678837295405,0.7892561983471075,2.3121573312140007,0.002754820936639119
TARGET,92302,raw,15,0.5692955692602761,0.6129278556622615,0.8119169869895502,372.30871191103597,0.7975206611570248,2.501474641254362,0.002754820936639119
TARGET,92302,raw,18,0.5580101289552197,0.6042635480621621,0.7978827612567513,365.8732454914692,0.8305785123966942,2.6480106268163173,0.004132231404958678
TARGET,92302,raw,21,0.5531373378426353,0.6013979435952544,0.7926604318488705,363.4785194712237,0.8553719008264463,2.7627952672033906,0.004591368227731864
TARGET,92302,raw,24,0.5794192437507225,0.6291722358079,0.8329775255222839,381.9661302172448,0.8429752066115702,2.8381415539419397,0.003213957759412305
TARGET,92302,cal,3,0.2634022334119808,0.2895710209670681,0.35532082783687935,162.9341938239484,0.8842975206611571,1.5378647526415807,0.001377410468319559
TARGET,92302,cal,6,0.3686388878410371,0.4003517154163378,0.5106489964251258,234.16072473447184,0.8099173553719008,1.851213474629638,0.0018365472910927456
TARGET,92302,cal,9,0.45897461786004223,0.4952929714306639,0.6346872277116612,291.039093900318,0.871900826446281,2.1083504188750766,0.06152433425160698
TARGET,92302,cal,12,0.5418279436133027,0.5820439107523221,0.747967573706934,342.98437941369934,0.8553719008264463,2.3121573312140007,0.06014692378328742
TARGET,92302,cal,15,0.5822165029940108,0.6258487893959962,0.8108119335773131,371.8019839830635,0.8347107438016529,2.501474641254362,0.05831037649219467
TARGET,92302,cal,18,0.5588195418621186,0.6166363157457964,0.7978827612567513,365.8732454914692,0.9380165289256198,3.310013283520397,0.03397612488521579
