arm,seed,mode,group,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
TARGET,92301,raw,2019-01,0.5566695616870623,0.6042603875295075,0.8204758158627604,376.23340692827776,0.8669354838709677,2.717702651524117,0.002240143369175627
TARGET,92301,raw,2019-02,0.6370966240500391,0.6823426180723475,0.913015321806216,418.66787351880754,0.8169642857142857,2.6162071801664446,0.000992063492063492
TARGET,92301,raw,2019-03,0.6386440208280915,0.6867833239685811,0.893895422019629,409.9003450947423,0.7782258064516129,2.706275566749391,0.002240143369175627
TARGET,92301,raw,2019-04,0.33725596908822547,0.375892127727209,0.4789513450688204,219.625603612264,0.8958333333333334,2.2353310660590058,0.01944444444444444
TARGET,92301,raw,2019-05,0.48543073659586544,0.520554302775376,0.6570711178544338,301.30334189630327,0.7943548387096774,2.0447761597080367,0.0
TARGET,92301,raw,2019-06,0.5134882727818469,0.5545596836033461,0.7501898376041158,344.00340995788576,0.8291666666666667,2.3647316190306964,0.0
TARGET,92301,raw,2019-07,0.3347287305680576,0.36448746696710493,0.46827460039333935,214.7297274066556,0.8185483870967742,1.7419052941335398,0.0
TARGET,92301,raw,2019-08,0.39401187158616724,0.4272772240222581,0.5109964967792908,234.32007280985513,0.8333333333333334,1.9209419261319398,0.0
TARGET,92301,cal,2019-01,0.5561654746812134,0.6056625638014407,0.8204758158627604,376.23340692827776,0.8870967741935484,2.825382019662735,0.0076164874551971325
TARGET,92301,cal,2019-02,0.633331895494731,0.6803031269863639,0.913015321806216,418.66787351880754,0.8392857142857143,2.7149364815941572,0.0029761904761904765
TARGET,92301,cal,2019-03,0.6369881452542228,0.6869625368469697,0.893895422019629,409.9003450947423,0.8104838709677419,2.8081848501414166,0.0035842293906810036
TARGET,92301,cal,2019-04,0.3403503172763947,0.3804822900187058,0.4789513450688204,219.625603612264,0.9,2.321080115535794,0.025462962962962958
TARGET,92301,cal,2019-05,0.4863806141550168,0.5228773971771148,0.6570711178544338,301.30334189630327,0.8104838709677419,2.12405405717493,0.002688172043010753
TARGET,92301,cal,2019-06,0.5140802418522009,0.556736055461958,0.7501898376041158,344.00340995788576,0.8375,2.455087723326369,0.005092592592592593
TARGET,92301,cal,2019-07,0.33669107468887866,0.3676302701989073,0.46827460039333935,214.7297274066556,0.8306451612903226,1.8103891101116816,0.004480286738351254
TARGET,92301,cal,2019-08,0.39637724403655583,0.4309331238256647,0.5109964967792908,234.32007280985513,0.8375,1.9945328540495149,0.006018518518518519
TARGET,92302,raw,2019-01,0.5596943082012819,0.608422365334876,0.8166041854493795,374.4580508816627,0.8669354838709677,2.7730975168127854,0.0035842293906810036
TARGET,92302,raw,2019-02,0.6050729845453177,0.6485996953067089,0.855073525196364,392.09836455753873,0.8035714285714286,2.528509706717086,0.0
TARGET,92302,raw,2019-03,0.6266120081816742,0.6755599485872439,0.8941627281269395,410.0229196856099,0.7862903225806451,2.764415304969965,0.0026881720430107525
TARGET,92302,raw,2019-04,0.3660633852666132,0.40440576436551084,0.5197238890624776,238.32206344604492,0.8583333333333333,2.228458040215135,0.01574074074074074
TARGET,92302,raw,2019-05,0.4812629845895026,0.5171815614285576,0.6530834890774925,299.47479420323526,0.7903225806451613,2.0892924224070346,0.0
TARGET,92302,raw,2019-06,0.5191025119899654,0.5614579875407766,0.7606543053726773,348.8019454956055,0.8541666666666666,2.4350094090096004,0.0
TARGET,92302,raw,2019-07,0.33906706655414065,0.3704953505252024,0.47705275267235003,218.75499430010396,0.8185483870967742,1.8318518827989418,0.00044802867383512545
TARGET,92302,raw,2019-08,0.4037900073139795,0.4369448018111253,0.5404329195376749,247.81829592386882,0.8208333333333333,1.9173192604154083,0.0009259259259259259
TARGET,92302,cal,2019-01,0.5585125398548975,0.6128555578867698,0.8128568441052517,372.73968822725357,0.907258064516129,3.090391256461128,0.02553763440860215
TARGET,92302,cal,2019-02,0.6063975160875783,0.6547855958172659,0.8669978617387203,397.56633043289185,0.8526785714285714,2.808839171685251,0.004960317460317459
TARGET,92302,cal,2019-03,0.6258441220276827,0.6801555164242292,0.8910953773425747,408.61637020111084,0.8790322580645161,3.0646958420316,0.014336917562724016
TARGET,92302,cal,2019-04,0.355076781429151,0.3977038347572048,0.4957716172626417,227.33862597147623,0.9375,2.4759559259886874,0.04583333333333333
TARGET,92302,cal,2019-05,0.4940266978600589,0.5339595659348416,0.6557460979938804,300.6957472216698,0.8508064516129032,2.3214748962149283,0.0318100358422939
TARGET,92302,cal,2019-06,0.5195480306585235,0.566593555161336,0.7602094614522602,348.59796002705895,0.8958333333333334,2.7028697679628584,0.03657407407407408
TARGET,92302,cal,2019-07,0.35272976343586976,0.3876996269499915,0.4854901979987355,222.62402826739896,0.907258064516129,2.037135054277445,0.07571684587813621
TARGET,92302,cal,2019-08,0.40704695780284283,0.4439049667392055,0.5234413708420365,240.02673384348552,0.8583333333333333,2.129534431495722,0.05555555555555555
CONTROL,92301,raw,2019-01,0.4264535330844933,0.4692515274856201,0.5985614375433047,274.4734269419024,0.907258064516129,2.5131433934195515,0.004480286738351254
CONTROL,92301,raw,2019-02,0.4665976915004931,0.5043522681987869,0.6453310104804985,295.91985525403703,0.8348214285714286,2.278774381683355,0.0
CONTROL,92301,raw,2019-03,0.45629199716239394,0.49917597062492575,0.6355409138728171,291.4305560819564,0.842741935483871,2.5017866948100496,0.004032258064516129
CONTROL,92301,raw,2019-04,0.2693241646082126,0.30126602181679724,0.3637730638725643,166.81001014709472,0.9458333333333333,1.9287227164787637,0.03657407407407407
CONTROL,92301,raw,2019-05,0.36253471835085416,0.39395827663327926,0.4920229301897234,225.61964622620613,0.8709677419354839,1.8887735748372247,0.011648745519713262
CONTROL,92301,raw,2019-06,0.36083123629638714,0.39775493621528374,0.513899638081313,235.65132319132488,0.9166666666666666,2.190919487012511,0.008333333333333333
CONTROL,92301,raw,2019-07,0.3085423066175392,0.33510361274499156,0.40447680771773564,185.47492131879252,0.8830645161290323,1.615393294335492,0.10125448028673834
CONTROL,92301,raw,2019-08,0.2779934888009015,0.30681521386251565,0.37513611743074005,172.02059682210287,0.8875,1.726327022799801,0.05138888888888889
CONTROL,92301,cal,2019-01,0.4246985005007848,0.4627261236707633,0.5960849683504746,273.33782925144317,0.782258064516129,2.236437722363517,0.0
CONTROL,92301,cal,2019-02,0.46007526082411937,0.4936644731380144,0.6360409494840564,291.65984998430525,0.78125,2.0303918930790688,0.0
CONTROL,92301,cal,2019-03,0.458354097980094,0.4965724030422903,0.6353363623676384,291.3367579367853,0.7943548387096774,2.2330137554064184,0.00044802867383512545
CONTROL,92301,cal,2019-04,0.25879366731920667,0.287209878153851,0.34933460241686565,160.1891793568929,0.8708333333333333,1.7183472393765902,0.02407407407407407
CONTROL,92301,cal,2019-05,0.3498970194697503,0.377890351531761,0.4679170448166088,214.56576845722813,0.8346774193548387,1.6847312718000769,0.007168458781362007
CONTROL,92301,cal,2019-06,0.3553269155763685,0.3881884237454367,0.502987535246004,230.6475222905477,0.825,1.952654445359806,0.0004629629629629629
CONTROL,92301,cal,2019-07,0.28724032028905017,0.31090945907024514,0.3802844045951003,174.38137039061516,0.8225806451612904,1.4412291149191088,0.06003584229390681
CONTROL,92301,cal,2019-08,0.26566355926734775,0.29133963970835314,0.35146448318634854,161.16584714253744,0.8833333333333333,1.5398334196753674,0.027314814814814813
CONTROL,92302,raw,2019-01,0.434906439587538,0.47991512857364005,0.6146431725460658,281.8477892721853,0.9354838709677419,2.7165755166038354,0.012096774193548387
CONTROL,92302,raw,2019-02,0.45410820702542615,0.4938472954336027,0.6281654691657171,288.04850796290805,0.875,2.5002350165730123,0.0
CONTROL,92302,raw,2019-03,0.456732004457781,0.5024647051302659,0.6502460984205621,298.1736941183767,0.8870967741935484,2.7701170358573686,0.004032258064516129
CONTROL,92302,raw,2019-04,0.28540505335701855,0.31927868149149136,0.39437069750845233,180.84071248372396,0.9666666666666667,2.098125984201094,0.03611111111111111
CONTROL,92302,raw,2019-05,0.3672487203101874,0.40066261129847,0.49458457563431973,226.79430192516696,0.8830645161290323,2.052113765527897,0.009856630824372761
CONTROL,92302,raw,2019-06,0.38742783288137184,0.42722673794694155,0.5650246697071873,259.09496949513755,0.9333333333333333,2.4208344893207427,0.013425925925925924
CONTROL,92302,raw,2019-07,0.2957573168893379,0.3249005813266365,0.3936797520366856,180.52387588254868,0.9274193548387096,1.7959245354902342,0.08736559139784945
CONTROL,92302,raw,2019-08,0.27079028926287535,0.30147272768931904,0.3681168640670281,168.80188207626344,0.9458333333333333,1.888699670561266,0.04953703703703704
CONTROL,92302,cal,2019-01,0.43424341484645307,0.4724405081884032,0.612156488689121,280.7075075949392,0.8508064516129032,2.3118668156762334,0.0017921146953405018
