arm,batch,repetitions,median_seconds,q25,q75,peak_allocated,peak_reserved
TARGET,1,30,0.017009400005917996,0.016300849994877353,0.0183452249984839,226993152,272629760
TARGET,8,30,0.01749425000161864,0.016826924977067392,0.019139400006679352,229322752,274726912
CONTROL,1,30,0.016835449991049245,0.016419974992459174,0.017212149999977555,227014656,272629760
CONTROL,8,30,0.0171511999797076,0.01693527497991454,0.017378824988554697,229347328,274726912
MOMENTS,1,30,0.017047800007276237,0.016360074987460393,0.017536174986162223,227027456,272629760
MOMENTS,8,30,0.017721199998049997,0.01732927498233039,0.018081950009218417,229414912,274726912
SET,1,30,0.016951400015386753,0.01649865000945283,0.018053724998026155,227040256,272629760
SET,8,30,0.018110999997588806,0.017682974990748335,0.01840182498563081,229435904,274726912
MEMBER,1,30,0.018693449994316325,0.018072300001222175,0.020649599995522294,227051008,272629760
MEMBER,8,30,0.02558449999196455,0.025386000001162756,0.02609634998225374,229635072,274726912
SCENARIO3,1,30,0.01782310001726728,0.01725750000332482,0.018276699993293732,227040768,272629760
SCENARIO3,8,30,0.018154550009057857,0.017708275001496077,0.018431524993502535,229436416,274726912
F0,1,30,0.013429450002149679,0.01286747501580976,0.014710675000969786,225813504,270532608
F0,8,30,0.014228149986593053,0.013817850005580112,0.015210949997708667,228143104,274726912
NAIVE,1,30,0.0002769000129774213,0.0002584249887149781,0.0002945749874925241,34621440,197132288
NAIVE,8,30,0.00029414999880827963,0.00028647501312661916,0.0003274750051787123,34621440,197132288
GBQR,1,30,0.002069649999612011,0.0020249499939382076,0.0021776750218123198,34621440,197132288
GBQR,8,30,0.0025560000067343935,0.0025080750056076795,0.0028136499895481393,34621440,197132288
