source,arm,holdout_direction_inner,holdout_direction_cosine,update_norm,calibration_projection_energy
electricity,RANDOM_ORTHO,6.205375840239213e-06,0.016028691652868517,0.006489134154609731,4.2108862076522544e-05
electricity,MEAN_SVD,0.0002973214752226311,0.11552104598827019,0.043140175051716856,0.0018610747034927743
electricity,SECOND_MOMENT,0.00026400022391172187,0.10874592283913721,0.040691907510350234,0.0016558313368308967
electricity,CROSS_BLOCK,0.0002501102546836968,0.10402539371065796,0.04030035454633681,0.0016241185765604508
electricity,FULL_GRADIENT,0.00034328779791623835,0.11472383748939406,0.050155831859157514,0.0025156074694840797
ettm1,RANDOM_ORTHO,3.913308474909878e-05,0.01721984539225622,0.014380495360836418,0.0002067986468230378
ettm1,MEAN_SVD,0.0014228045202849373,0.09321554720878986,0.09658638096599846,0.009328928988108985
ettm1,SECOND_MOMENT,0.0013707372366802977,0.09244620676084513,0.09382619955224225,0.008803355722417186
ettm1,CROSS_BLOCK,0.0012384510924644174,0.08275709862005264,0.09469621376439856,0.008967372901312665
ettm1,FULL_GRADIENT,0.0015863572964728494,0.09653029531129949,0.1039911513051109,0.010814159549762468
