panel,kind,condition,stratum,contexts,fraction
electricity,standard,REFERENCE,ALL,1024,1.0
electricity,standard,REFERENCE,EQUAL,408,0.3984375
electricity,standard,REFERENCE,DIFFERENT,616,0.6015625
electricity,standard,POINT4,ALL,1024,1.0
electricity,standard,POINT4,EQUAL,10,0.009765625
electricity,standard,POINT4,DIFFERENT,1014,0.990234375
electricity,standard,POINT8,ALL,1024,1.0
electricity,standard,POINT8,EQUAL,0,0.0
electricity,standard,POINT8,DIFFERENT,1024,1.0
electricity,standard,POINT16,ALL,1024,1.0
electricity,standard,POINT16,EQUAL,0,0.0
electricity,standard,POINT16,DIFFERENT,1024,1.0
electricity,standard,BURST4,ALL,1024,1.0
electricity,standard,BURST4,EQUAL,11,0.0107421875
electricity,standard,BURST4,DIFFERENT,1013,0.9892578125
electricity,standard,BURST8,ALL,1024,1.0
electricity,standard,BURST8,EQUAL,11,0.0107421875
electricity,standard,BURST8,DIFFERENT,1013,0.9892578125
electricity,standard,BURST16,ALL,1024,1.0
electricity,standard,BURST16,EQUAL,7,0.0068359375
electricity,standard,BURST16,DIFFERENT,1017,0.9931640625
electricity,standard,SHIFT4,ALL,1024,1.0
electricity,standard,SHIFT4,EQUAL,384,0.375
electricity,standard,SHIFT4,DIFFERENT,640,0.625
electricity,standard,SHIFT8,ALL,1024,1.0
electricity,standard,SHIFT8,EQUAL,456,0.4453125
electricity,standard,SHIFT8,DIFFERENT,568,0.5546875
electricity,standard,SHIFT_POINT,ALL,1024,1.0
electricity,standard,SHIFT_POINT,EQUAL,1,0.0009765625
electricity,standard,SHIFT_POINT,DIFFERENT,1023,0.9990234375
electricity,standard,FAULT,ALL,6144,1.0
electricity,standard,FAULT,EQUAL,39,0.00634765625
electricity,standard,FAULT,DIFFERENT,6105,0.99365234375
electricity,shape,STEP6_D17,ALL,512,1.0
electricity,shape,STEP6_D17,EQUAL,215,0.419921875
electricity,shape,STEP6_D17,DIFFERENT,297,0.580078125
electricity,shape,STEP6_D63,ALL,512,1.0
electricity,shape,STEP6_D63,EQUAL,225,0.439453125
electricity,shape,STEP6_D63,DIFFERENT,287,0.560546875
electricity,shape,STEP12_D17,ALL,512,1.0
electricity,shape,STEP12_D17,EQUAL,215,0.419921875
electricity,shape,STEP12_D17,DIFFERENT,297,0.580078125
electricity,shape,STEP12_D63,ALL,512,1.0
electricity,shape,STEP12_D63,EQUAL,261,0.509765625
electricity,shape,STEP12_D63,DIFFERENT,251,0.490234375
electricity,shape,STEP8_D31,ALL,512,1.0
electricity,shape,STEP8_D31,EQUAL,228,0.4453125
electricity,shape,STEP8_D31,DIFFERENT,284,0.5546875
electricity,shape,STEP8_D33,ALL,512,1.0
electricity,shape,STEP8_D33,EQUAL,232,0.453125
electricity,shape,STEP8_D33,DIFFERENT,280,0.546875
electricity,shape,RAMP8_D32,ALL,512,1.0
electricity,shape,RAMP8_D32,EQUAL,224,0.4375
electricity,shape,RAMP8_D32,DIFFERENT,288,0.5625
electricity,shape,PULSE8_D32,ALL,512,1.0
electricity,shape,PULSE8_D32,EQUAL,227,0.443359375
