source,b,i,arm,weights_cosine,weights_relative_difference,exp_avg_cosine,exp_avg_relative_difference,exp_avg_sq_cosine,exp_avg_sq_relative_difference
electricity,81551,81551,C3,0.9947486740030209,0.10280164305306148,0.4603241081772073,1.1765195293971893,0.9963663813324876,0.0859352055564911
electricity,81551,81551,MAG_ONLY,0.9964139851195714,0.0846543442575707,0.5046217095801716,1.1175688454010027,0.9964889335881024,0.08404286369944491
electricity,81551,81552,C3,0.9849475562277323,0.17925412372534458,0.5187263803998773,1.1167437274178906,0.9964177813076303,0.131090053654208
electricity,81551,81552,MAG_ONLY,0.9861681330773812,0.17084810023275798,0.5181009643402638,1.1002633913956164,0.9905120773539646,0.13912393436891995
electricity,81552,81551,C3,0.9900586280801158,0.1496396897026637,0.6004569430856196,1.048963182662756,0.9860817694345991,0.16660411066970732
electricity,81552,81551,MAG_ONLY,0.9892130048717954,0.1517011872619668,0.6187406349307872,1.026155128420043,0.9849480436563715,0.18650135170767704
electricity,81552,81552,C3,0.9569343244093175,0.2997295748182274,0.6773632297182934,0.8891851449624574,0.9519775385397385,0.3080491966535613
electricity,81552,81552,MAG_ONLY,0.8936982614527484,0.4642466913379191,0.6702318530475563,0.9115177334961686,0.9391287974164414,0.3444189554574009
ettm1,81551,81551,C3,0.9906086613387971,0.13807079814634463,0.6354110109974006,0.7744208499509155,0.991133356032828,0.13331790205979807
ettm1,81551,81551,MAG_ONLY,0.994148034734256,0.1086797475543441,0.6463298168370902,0.7656352663489141,0.9924194168436434,0.12322184600168287
ettm1,81551,81552,C3,0.9585665065880601,0.2981272138227062,0.5294203139965378,0.8483616444801783,0.9195340552114903,0.4020884217800031
ettm1,81551,81552,MAG_ONLY,0.9455742734789536,0.3464752580742068,0.5461883004417777,0.8376656429022761,0.8972609515812499,0.45408192887222165
ettm1,81552,81551,C3,0.9665467474479966,0.257402356188137,0.4651146511790441,0.8914369920545179,0.9866330862978299,0.16309002175502232
ettm1,81552,81551,MAG_ONLY,0.9786416984922602,0.2065523567759026,0.4932994554512091,0.8732813037135183,0.9911274825594599,0.13313024561281372
ettm1,81552,81552,C3,0.9146980058063188,0.410315680516293,0.3913816752734718,0.931875485501399,0.9820207089820167,0.18910782302985712
ettm1,81552,81552,MAG_ONLY,0.9379789548730686,0.35396363528294805,0.45342335477658136,0.8970305681516261,0.9645553674258298,0.26731492768853804
