panel,kind,arm,trained_b,received_b,i,o,condition,nmae,pinball
electricity,shape,C3,81551,81551,81551,81551,PAIRED_SHIFT8_D32,0.20549214519604125,0.1691515535918283
electricity,shape,C3,81551,81551,81551,81551,PULSE8_D32,2.9864796282574626,2.884320678580109
electricity,shape,C3,81551,81551,81551,81551,RAMP8_D32,0.5391172877823662,0.41878138355209876
electricity,shape,C3,81551,81551,81551,81551,STEP12_D17,0.29943224991193484,0.24542427613640505
electricity,shape,C3,81551,81551,81551,81551,STEP12_D63,0.21850421552823887,0.17759164843874975
electricity,shape,C3,81551,81551,81551,81551,STEP6_D17,0.23887303821924483,0.1954491532588574
electricity,shape,C3,81551,81551,81551,81551,STEP6_D63,0.19671155873702054,0.1603060757314189
electricity,shape,C3,81551,81551,81551,81551,STEP8_D31,0.20803865911221822,0.17118215329230121
electricity,shape,C3,81551,81551,81551,81551,STEP8_D33,0.20904097034571312,0.1713797565663159
electricity,shape,C3,81551,81551,81551,81552,PAIRED_SHIFT8_D32,0.20444119002139366,0.16818448869476443
electricity,shape,C3,81551,81551,81551,81552,PULSE8_D32,2.995082800734866,2.8924676325820418
electricity,shape,C3,81551,81551,81551,81552,RAMP8_D32,0.532100945543627,0.412781966114221
electricity,shape,C3,81551,81551,81551,81552,STEP12_D17,0.29223216273243197,0.2404207944641855
electricity,shape,C3,81551,81551,81551,81552,STEP12_D63,0.2193715332942193,0.1782905778997432
electricity,shape,C3,81551,81551,81551,81552,STEP6_D17,0.23778840211371105,0.1947317004766088
electricity,shape,C3,81551,81551,81551,81552,STEP6_D63,0.1967061537929793,0.16030752767836387
electricity,shape,C3,81551,81551,81551,81552,STEP8_D31,0.20754923110932944,0.1705134373200775
electricity,shape,C3,81551,81551,81551,81552,STEP8_D33,0.2074704164720348,0.17000769465825263
electricity,shape,C3,81551,81551,81552,81551,PAIRED_SHIFT8_D32,0.20523137890772702,0.1688837660952892
electricity,shape,C3,81551,81551,81552,81551,PULSE8_D32,2.9898912244351847,2.888285928359568
electricity,shape,C3,81551,81551,81552,81551,RAMP8_D32,0.5379825068213276,0.418008446888813
electricity,shape,C3,81551,81551,81552,81551,STEP12_D17,0.30003308119314065,0.2459626487479696
