panel,kind,stage,arm,b,i,o,step,condition,nmae,mae,pinball
electricity,shape,fixed1024,C3,81551,81551,81551,1024,PAIRED_SHIFT8_D32,0.20549214519604125,13.397298962514139,0.1691515535918283
electricity,shape,fixed1024,C3,81551,81551,81551,1024,PULSE8_D32,2.9864796282574626,226.48744640991208,2.884320678580109
electricity,shape,fixed1024,C3,81551,81551,81551,1024,RAMP8_D32,0.5391172877823662,39.06582774891709,0.41878138355209876
electricity,shape,fixed1024,C3,81551,81551,81551,1024,STEP12_D17,0.29943224991193484,19.724470857428468,0.24542427613640505
electricity,shape,fixed1024,C3,81551,81551,81551,1024,STEP12_D63,0.21850421552823887,14.816822806554171,0.17759164843874975
electricity,shape,fixed1024,C3,81551,81551,81551,1024,STEP6_D17,0.23887303821924483,15.569201813179376,0.1954491532588574
electricity,shape,fixed1024,C3,81551,81551,81551,1024,STEP6_D63,0.19671155873702054,13.165184152198988,0.1603060757314189
electricity,shape,fixed1024,C3,81551,81551,81551,1024,STEP8_D31,0.20803865911221822,13.523597349189599,0.17118215329230121
electricity,shape,fixed1024,C3,81551,81551,81551,1024,STEP8_D33,0.20904097034571312,13.602872780682974,0.1713797565663159
electricity,shape,fixed1024,C3,81551,81551,81552,1024,PAIRED_SHIFT8_D32,0.20444119002139366,13.335340929017672,0.16818448869476443
electricity,shape,fixed1024,C3,81551,81551,81552,1024,PULSE8_D32,2.995082800734866,227.17658008173748,2.8924676325820418
electricity,shape,fixed1024,C3,81551,81551,81552,1024,RAMP8_D32,0.532100945543627,38.515259354617214,0.412781966114221
electricity,shape,fixed1024,C3,81551,81551,81552,1024,STEP12_D17,0.29223216273243197,19.259302400611528,0.2404207944641855
electricity,shape,fixed1024,C3,81551,81551,81552,1024,STEP12_D63,0.2193715332942193,14.861307555979863,0.1782905778997432
electricity,shape,fixed1024,C3,81551,81551,81552,1024,STEP6_D17,0.23778840211371105,15.528867352139574,0.1947317004766088
electricity,shape,fixed1024,C3,81551,81551,81552,1024,STEP6_D63,0.1967061537929793,13.157389185836028,0.16030752767836387
electricity,shape,fixed1024,C3,81551,81551,81552,1024,STEP8_D31,0.20754923110932944,13.49991105578221,0.1705134373200775
electricity,shape,fixed1024,C3,81551,81551,81552,1024,STEP8_D33,0.2074704164720348,13.505405393409774,0.17000769465825263
electricity,shape,fixed1024,C3,81551,81552,81551,1024,PAIRED_SHIFT8_D32,0.20523137890772702,13.394565324039823,0.1688837660952892
electricity,shape,fixed1024,C3,81551,81552,81551,1024,PULSE8_D32,2.9898912244351847,226.74282963009318,2.888285928359568
electricity,shape,fixed1024,C3,81551,81552,81551,1024,RAMP8_D32,0.5379825068213276,38.942084456077076,0.418008446888813
electricity,shape,fixed1024,C3,81551,81552,81551,1024,STEP12_D17,0.30003308119314065,19.76172432796274,0.2459626487479696
electricity,shape,fixed1024,C3,81551,81552,81551,1024,STEP12_D63,0.21932423096511403,14.873861860524132,0.1782553264604372
electricity,shape,fixed1024,C3,81551,81552,81551,1024,STEP6_D17,0.23962450688521517,15.64048434849252,0.19601894659742317
electricity,shape,fixed1024,C3,81551,81552,81551,1024,STEP6_D63,0.19642946597083125,13.14298686760446,0.16013203833214074
electricity,shape,fixed1024,C3,81551,81552,81551,1024,STEP8_D31,0.20814466498130432,13.545798137825248,0.17117018016775085
electricity,shape,fixed1024,C3,81551,81552,81551,1024,STEP8_D33,0.20846194255205866,13.573929311800491,0.17087949945826375
electricity,shape,fixed1024,C3,81551,81552,81552,1024,PAIRED_SHIFT8_D32,0.20430832306149585,13.342541247451857,0.1680101790887619
electricity,shape,fixed1024,C3,81551,81552,81552,1024,PULSE8_D32,2.9985291816007305,227.41637800647004,2.896597348970258
electricity,shape,fixed1024,C3,81551,81552,81552,1024,RAMP8_D32,0.5306825484249857,38.36123769266149,0.4120297115948527
electricity,shape,fixed1024,C3,81551,81552,81552,1024,STEP12_D17,0.2919954828721791,19.259215535317853,0.24032541670232907
electricity,shape,fixed1024,C3,81551,81552,81552,1024,STEP12_D63,0.22051095018463615,14.948115294538432,0.17919560820781322
electricity,shape,fixed1024,C3,81551,81552,81552,1024,STEP6_D17,0.23827550960825045,15.592282355859483,0.19508669835747794
electricity,shape,fixed1024,C3,81551,81552,81552,1024,STEP6_D63,0.19650609242077297,13.143639687808577,0.16019179366477498
electricity,shape,fixed1024,C3,81551,81552,81552,1024,STEP8_D31,0.20776383785333116,13.52910727944268,0.17060979892996295
electricity,shape,fixed1024,C3,81551,81552,81552,1024,STEP8_D33,0.20705447382892214,13.488722030529393,0.16963570430967462
electricity,shape,fixed1024,C3,81552,81551,81551,1024,PAIRED_SHIFT8_D32,0.20722396576333263,13.333008632063773,0.17072848693225418
electricity,shape,fixed1024,C3,81552,81551,81551,1024,PULSE8_D32,2.972899548711024,225.45133593131322,2.8663034114978156
electricity,shape,fixed1024,C3,81552,81551,81551,1024,RAMP8_D32,0.43717363736538134,31.563631910217172,0.34330167306882164
electricity,shape,fixed1024,C3,81552,81551,81551,1024,STEP12_D17,0.30912060083618975,20.505335617158863,0.2541213733906592
electricity,shape,fixed1024,C3,81552,81551,81551,1024,STEP12_D63,0.2099112456110969,14.305659878033316,0.17180512135407094
electricity,shape,fixed1024,C3,81552,81551,81551,1024,STEP6_D17,0.23458141555544024,15.302866455084871,0.19326235856279197
electricity,shape,fixed1024,C3,81552,81551,81551,1024,STEP6_D63,0.19186218376300343,12.94985614917975,0.15684675851146598
electricity,shape,fixed1024,C3,81552,81551,81551,1024,STEP8_D31,0.2091985763364161,13.439887483705306,0.1730304159433323
electricity,shape,fixed1024,C3,81552,81551,81551,1024,STEP8_D33,0.21316578582604057,13.705197790991502,0.17507300508585336
electricity,shape,fixed1024,C3,81552,81551,81552,1024,PAIRED_SHIFT8_D32,0.2064876249084933,13.28878642223629,0.17006798127847075
electricity,shape,fixed1024,C3,81552,81551,81552,1024,PULSE8_D32,2.975655179187004,225.69177708987263,2.868928644670397
