fit,source,arm,seed,lr,updates,optimizer_seconds,validation_seconds,checkpoint_io_seconds,invocation_wall_seconds,peak_allocated,peak_reserved
electricity_MAG_ONLY_s81550_lr0.0001,electricity,MAG_ONLY,81550,0.0001,1024,34.7075282682199,5.705876049003564,0.07299849996343255,44.59721845999593,379698688,400556032
electricity_MAG_ONLY_s81550_lr0.0003,electricity,MAG_ONLY,81550,0.0003,1024,33.873216710053384,5.5253144460730255,0.06805805611656979,43.46480038302252,379698688,400556032
electricity_MAG_ONLY_s81551_lr0.0003,electricity,MAG_ONLY,81551,0.0003,1024,34.7462443561526,5.822871865064371,0.07378443609923124,44.75964214798296,379698688,400556032
electricity_MAG_ONLY_s81552_lr0.0003,electricity,MAG_ONLY,81552,0.0003,1024,35.934418925025966,5.856940537050832,0.07372979092178866,46.08990153501509,379698688,400556032
electricity_MAG_ONLY_s81553_lr0.0003,electricity,MAG_ONLY,81553,0.0003,1024,36.060634303605184,5.834252364060376,0.08033156202873215,46.19159869902069,379698688,400556032
electricity_OUTPUT_CONTEXT_s81550_lr0.0001,electricity,OUTPUT_CONTEXT,81550,0.0001,1024,17.761736260261387,5.617352225934155,0.05660653399536386,27.485198231006507,246001664,270532608
electricity_OUTPUT_CONTEXT_s81550_lr0.0003,electricity,OUTPUT_CONTEXT,81550,0.0003,1024,18.149124865070917,5.702561212005094,0.06170537800062448,28.063495921029244,246001664,270532608
electricity_OUTPUT_CONTEXT_s81551_lr0.0003,electricity,OUTPUT_CONTEXT,81551,0.0003,1024,17.832067437004298,5.594111748971045,0.05972826585639268,27.578553972009104,246001664,270532608
electricity_OUTPUT_CONTEXT_s81552_lr0.0003,electricity,OUTPUT_CONTEXT,81552,0.0003,1024,19.039344031829387,6.06798642600188,0.07636570418253541,29.486950934049673,246001664,270532608
electricity_OUTPUT_CONTEXT_s81553_lr0.0003,electricity,OUTPUT_CONTEXT,81553,0.0003,1024,18.856121514108963,5.967666334065143,0.07042526407167315,29.185244058026,246001664,270532608
electricity_POS_ONLY_s81550_lr0.0001,electricity,POS_ONLY,81550,0.0001,1024,34.05794969893759,5.484899471048266,0.07568958710180596,43.768536941031925,381335040,400556032
electricity_POS_ONLY_s81550_lr0.0003,electricity,POS_ONLY,81550,0.0003,1024,34.12394384475192,5.539073501015082,0.07644655712647364,43.886738425993826,381335040,400556032
electricity_POS_ONLY_s81551_lr0.0003,electricity,POS_ONLY,81551,0.0003,1024,34.40999384626048,5.489636958925985,0.07744573382660747,44.1403716619825,381335040,400556032
electricity_POS_ONLY_s81552_lr0.0003,electricity,POS_ONLY,81552,0.0003,1024,34.366046286188066,5.515728306898382,0.07980696589220315,44.16244916699361,381335040,400556032
electricity_POS_ONLY_s81553_lr0.0003,electricity,POS_ONLY,81553,0.0003,1024,34.404719601618126,5.531721322913654,0.07961656973930076,44.15434601396555,381335040,400556032
ettm1_MAG_ONLY_s81550_lr0.0001,ettm1,MAG_ONLY,81550,0.0001,1024,34.40725170716178,5.704287644999567,0.07041383086470887,44.29106133902678,379698688,400556032
ettm1_MAG_ONLY_s81550_lr0.0003,ettm1,MAG_ONLY,81550,0.0003,1024,34.64133594773011,5.641417375940364,0.07512312685139477,44.44948150002165,379698688,400556032
ettm1_MAG_ONLY_s81551_lr0.0001,ettm1,MAG_ONLY,81551,0.0001,1024,34.53590242599603,5.750082039041445,0.07467562891542912,44.4245890469756,379698688,400556032
ettm1_MAG_ONLY_s81552_lr0.0001,ettm1,MAG_ONLY,81552,0.0001,1024,34.23901891260175,5.573919176997151,0.07121366617502645,43.9471761379973,379698688,400556032
ettm1_MAG_ONLY_s81553_lr0.0001,ettm1,MAG_ONLY,81553,0.0001,1024,34.87893412163248,5.705387244059239,0.07541814708383754,44.79500980197918,379698688,400556032
