panel,arm,seed,median_seconds,range_seconds,profile_series,inference_peak_allocated_mib,source
electricity,MAG_ONLY,81551,0.056293174042366445,0.00690559804206714,128.0,234.556640625,new matched-size profile
electricity,MAG_ONLY,81552,0.05669370398391038,0.004625906003639102,128.0,234.556640625,new matched-size profile
electricity,MAG_ONLY,81553,0.0559423670056276,0.003890149004291743,128.0,234.556640625,new matched-size profile
electricity,OUTPUT_CONTEXT,81551,0.05405912798596546,0.0008754819282330573,128.0,234.54150390625,new matched-size profile
electricity,OUTPUT_CONTEXT,81552,0.054758339014369994,0.0036949689965695143,128.0,234.54150390625,new matched-size profile
electricity,OUTPUT_CONTEXT,81553,0.05448400997556746,0.004827484022825956,128.0,234.54150390625,new matched-size profile
electricity,POS_ONLY,81551,0.053288345981854945,0.004248396027833223,128.0,234.494140625,new matched-size profile
electricity,POS_ONLY,81552,0.05276284698629752,0.003168017021380365,128.0,234.55712890625,new matched-size profile
electricity,POS_ONLY,81553,0.05414598103379831,0.006304411042947322,128.0,234.55712890625,new matched-size profile
electricity_transfer,MAG_ONLY,81551,0.0610717479721643,0.01112586201634258,128.0,234.556640625,new matched-size profile
electricity_transfer,MAG_ONLY,81552,0.05795897904317826,0.005315532034728676,128.0,234.556640625,new matched-size profile
electricity_transfer,MAG_ONLY,81553,0.05621666996739805,0.007034642971120775,128.0,234.556640625,new matched-size profile
electricity_transfer,OUTPUT_CONTEXT,81551,0.05847306101350114,0.003607696038670838,128.0,234.54150390625,new matched-size profile
electricity_transfer,OUTPUT_CONTEXT,81552,0.06778912100708112,0.012564058066345751,128.0,234.54150390625,new matched-size profile
electricity_transfer,OUTPUT_CONTEXT,81553,0.05495684000197798,0.00094941898714751,128.0,234.54150390625,new matched-size profile
electricity_transfer,POS_ONLY,81551,0.05663953901967034,0.0080930549884215,128.0,234.55712890625,new matched-size profile
electricity_transfer,POS_ONLY,81552,0.05423814395908266,0.000676837982609868,128.0,234.55712890625,new matched-size profile
electricity_transfer,POS_ONLY,81553,0.05199556198203936,0.002734134905040264,128.0,234.55712890625,new matched-size profile
ettm1,MAG_ONLY,81551,0.055051306961104274,0.007107936020474881,128.0,234.556640625,new matched-size profile
ettm1,MAG_ONLY,81552,0.05840890697436407,0.00985880004009232,128.0,234.556640625,new matched-size profile
ettm1,MAG_ONLY,81553,0.05554363603005186,0.005173840967472643,128.0,234.556640625,new matched-size profile
ettm1,OUTPUT_CONTEXT,81551,0.054733589000534266,0.0011500910040922463,128.0,234.54150390625,new matched-size profile
ettm1,OUTPUT_CONTEXT,81552,0.0536217910121195,0.00315830297768116,128.0,234.54150390625,new matched-size profile
ettm1,OUTPUT_CONTEXT,81553,0.05285912996623665,0.0017683480400592089,128.0,234.54150390625,new matched-size profile
ettm1,POS_ONLY,81551,0.052401875029318035,0.004421171965077519,128.0,234.55712890625,new matched-size profile
ettm1,POS_ONLY,81552,0.05322852003155276,0.002994492999278009,128.0,234.55712890625,new matched-size profile
ettm1,POS_ONLY,81553,0.05510182597208768,0.006481382006313652,128.0,234.55712890625,new matched-size profile
electricity,C0,81551,0.0513913600007072,0.0031791010405868,128.0,234.4599609375,reused parent profile; earlier measurement
electricity,C0,81552,0.0483532520011067,0.0024450449855066,128.0,234.4599609375,reused parent profile; earlier measurement
electricity,C0,81553,0.0486018490046262,0.003605980949942,128.0,234.4599609375,reused parent profile; earlier measurement
electricity,C2,81551,0.0523865570430643,0.0047205509617924,128.0,234.49755859375,reused parent profile; earlier measurement
electricity,C2,81552,0.0502849349868483,0.001771446026396,128.0,234.49755859375,reused parent profile; earlier measurement
electricity,C2,81553,0.0496110449894331,0.0023834079620428,128.0,234.49755859375,reused parent profile; earlier measurement
electricity,C3,81551,0.0558398209977895,0.0040047569782473,128.0,234.49755859375,reused parent profile; earlier measurement
electricity,C3,81552,0.0526187549694441,0.0031616470078006,128.0,234.49755859375,reused parent profile; earlier measurement
electricity,C3,81553,0.0541182339657098,0.0082556660054251,128.0,234.49755859375,reused parent profile; earlier measurement
electricity,M_RECENCY,81551,0.0528477559564635,0.0022648550220765,128.0,234.49755859375,reused parent profile; earlier measurement
electricity,M_RECENCY,81552,0.0523116090334951,0.0024129300145432,128.0,234.49755859375,reused parent profile; earlier measurement
electricity,M_RECENCY,81553,0.0526390569866634,0.002952012931928,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,C0,81551,0.0560136970016174,0.0099555570050142,128.0,234.4599609375,reused parent profile; earlier measurement
electricity_transfer,C0,81552,0.0488631679909303,0.0106069519533775,128.0,234.4599609375,reused parent profile; earlier measurement
electricity_transfer,C0,81553,0.0481843529851175,0.0009931039530783,128.0,234.4599609375,reused parent profile; earlier measurement
electricity_transfer,C2,81551,0.0495773900183849,0.0019663449493236,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,C2,81552,0.0496651310240849,0.0082596089923754,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,C2,81553,0.0521083370549604,0.007631248969119,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,C3,81551,0.0541960740229114,0.0104941480094566,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,C3,81552,0.052605957025662,0.0023470949963666,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,C3,81553,0.0673080830019898,0.0166792050004005,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,M_RECENCY,81551,0.0529473589849658,0.0012673530727624,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,M_RECENCY,81552,0.0546126520493999,0.0064368640305474,128.0,234.49755859375,reused parent profile; earlier measurement
electricity_transfer,M_RECENCY,81553,0.0535625710035674,0.0132219899678602,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,C0,81551,0.0502165410434827,0.0018128929659724,128.0,234.4599609375,reused parent profile; earlier measurement
ettm1,C0,81552,0.0492251490359194,0.0041869140113703,128.0,234.4599609375,reused parent profile; earlier measurement
ettm1,C0,81553,0.049531994969584,0.0028894110582768,128.0,234.4599609375,reused parent profile; earlier measurement
ettm1,C2,81551,0.0499284219695255,0.001266132981982,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,C2,81552,0.0517607780057005,0.0046163959195837,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,C2,81553,0.0532733729924075,0.0085191330290399,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,C3,81551,0.054175972007215,0.0041632099892012,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,C3,81552,0.0549128359998576,0.0069462609826587,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,C3,81553,0.0522595770307816,0.0023800509516149,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,M_RECENCY,81551,0.0527287470176816,0.0034246780560351,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,M_RECENCY,81552,0.0524230080191046,0.0033909470075741,128.0,234.49755859375,reused parent profile; earlier measurement
ettm1,M_RECENCY,81553,0.0528238450060598,0.0026508310693316,128.0,234.49755859375,reused parent profile; earlier measurement
