dataset,seed,arm,role,channel,mse
electricity,41000,SIDE,selected,column_000,0.35837749187561463
electricity,41000,SIDE,selected,column_001,0.1656927083104032
electricity,41000,SIDE,selected,column_002,0.0006031805716579668
electricity,41000,SIDE,selected,column_003,0.14853256906318799
electricity,41000,SIDE,selected,column_004,0.2724046512914072
electricity,41000,SIDE,selected,column_005,0.12371076877463612
electricity,41000,SIDE,selected,column_006,0.6549237447650982
electricity,41000,SIDE,selected,column_007,0.188863824798896
electricity,41000,SIDE,selected,column_008,0.23733715283437415
electricity,41000,SIDE,selected,column_009,0.6298668246250235
electricity,41000,SIDE,selected,column_010,0.16855544703208503
electricity,41000,SIDE,selected,column_011,0.41995378004948414
electricity,41000,SIDE,selected,column_012,0.12596009490424667
electricity,41000,SIDE,selected,column_013,0.18773943362536305
electricity,41000,SIDE,selected,column_014,0.12816432606811254
electricity,41000,SIDE,selected,column_015,0.27519960525790843
electricity,41000,SIDE,selected,column_016,0.241664871113472
electricity,41000,SIDE,selected,column_017,0.42222217493225767
electricity,41000,SIDE,selected,column_018,0.10734467734465342
electricity,41000,SIDE,selected,column_019,0.6030553329166056
electricity,41000,SIDE,selected,column_020,0.3421337207011451
electricity,41000,SIDE,selected,column_021,0.19803778133473446
electricity,41000,SIDE,selected,column_022,0.16215639900912635
electricity,41000,SIDE,selected,column_023,0.18001110851787855
electricity,41000,SIDE,selected,column_024,0.21388586472742474
electricity,41000,SIDE,selected,column_025,0.4755746599928445
electricity,41000,SIDE,selected,column_026,0.14495943604599576
electricity,41000,SIDE,selected,column_027,0.31796082269625847
electricity,41000,SIDE,selected,column_028,0.35786069631049194
electricity,41000,SIDE,selected,column_029,0.5245123718315038
electricity,41000,SIDE,selected,column_030,0.34442746885526954
electricity,41000,SIDE,selected,column_031,0.20029957569297632
electricity,41000,SIDE,matched_old_epoch,column_000,0.3494154256804177
electricity,41000,SIDE,matched_old_epoch,column_001,0.1813830820040377
electricity,41000,SIDE,matched_old_epoch,column_002,0.0005888379659334987
electricity,41000,SIDE,matched_old_epoch,column_003,0.1895026508498708
electricity,41000,SIDE,matched_old_epoch,column_004,0.2790663179756172
electricity,41000,SIDE,matched_old_epoch,column_005,0.1626320741628889
electricity,41000,SIDE,matched_old_epoch,column_006,0.775037555207931
electricity,41000,SIDE,matched_old_epoch,column_007,0.24855261812373397
electricity,41000,SIDE,matched_old_epoch,column_008,0.262248557756619
electricity,41000,SIDE,matched_old_epoch,column_009,0.6625532539481603
electricity,41000,SIDE,matched_old_epoch,column_010,0.185518205237815
electricity,41000,SIDE,matched_old_epoch,column_011,0.7329428642933928
electricity,41000,SIDE,matched_old_epoch,column_012,0.17960511219279893
electricity,41000,SIDE,matched_old_epoch,column_013,0.22408731440948998
electricity,41000,SIDE,matched_old_epoch,column_014,0.17960402919391277
electricity,41000,SIDE,matched_old_epoch,column_015,0.3027752107315346
electricity,41000,SIDE,matched_old_epoch,column_016,0.2620312782399779
electricity,41000,SIDE,matched_old_epoch,column_017,0.4319040703423813
electricity,41000,SIDE,matched_old_epoch,column_018,0.14736964224566537
electricity,41000,SIDE,matched_old_epoch,column_019,0.7343208379985547
electricity,41000,SIDE,matched_old_epoch,column_020,0.3742991956514948
electricity,41000,SIDE,matched_old_epoch,column_021,0.2078396053394328
electricity,41000,SIDE,matched_old_epoch,column_022,0.19002666812617405
electricity,41000,SIDE,matched_old_epoch,column_023,0.18713062399798852
electricity,41000,SIDE,matched_old_epoch,column_024,0.2330164241472067
electricity,41000,SIDE,matched_old_epoch,column_025,0.749827050337925
electricity,41000,SIDE,matched_old_epoch,column_026,0.18362822365671358
electricity,41000,SIDE,matched_old_epoch,column_027,0.3319433896647912
electricity,41000,SIDE,matched_old_epoch,column_028,0.40841548643492404
electricity,41000,SIDE,matched_old_epoch,column_029,0.7342493129915671
electricity,41000,SIDE,matched_old_epoch,column_030,0.37725011118160956
electricity,41000,SIDE,matched_old_epoch,column_031,0.2947267880282535
electricity,41000,PRIOR,selected,column_000,0.36044094840024493
electricity,41000,PRIOR,selected,column_001,0.17490938365639896
electricity,41000,PRIOR,selected,column_002,0.000590015751937539
electricity,41000,PRIOR,selected,column_003,0.1551237037017048
electricity,41000,PRIOR,selected,column_004,0.2736067678549955
electricity,41000,PRIOR,selected,column_005,0.1267810013329248
electricity,41000,PRIOR,selected,column_006,0.6482282313117301
electricity,41000,PRIOR,selected,column_007,0.19353109141204308
electricity,41000,PRIOR,selected,column_008,0.23773116094308464
electricity,41000,PRIOR,selected,column_009,0.6344883713664617
electricity,41000,PRIOR,selected,column_010,0.17575395671561142
electricity,41000,PRIOR,selected,column_011,0.41244032935428493
electricity,41000,PRIOR,selected,column_012,0.12545342236643114
electricity,41000,PRIOR,selected,column_013,0.2034105028719472
electricity,41000,PRIOR,selected,column_014,0.1328853413623324
electricity,41000,PRIOR,selected,column_015,0.28028879485815816
electricity,41000,PRIOR,selected,column_016,0.24239964435003425
electricity,41000,PRIOR,selected,column_017,0.427591217385311
electricity,41000,PRIOR,selected,column_018,0.10670039734473771
electricity,41000,PRIOR,selected,column_019,0.5921797959570682
electricity,41000,PRIOR,selected,column_020,0.33547858402828096
electricity,41000,PRIOR,selected,column_021,0.1897904237792245
electricity,41000,PRIOR,selected,column_022,0.17328448066701935
electricity,41000,PRIOR,selected,column_023,0.19335403101053747
electricity,41000,PRIOR,selected,column_024,0.21556287096589086
electricity,41000,PRIOR,selected,column_025,0.5309448671749772
electricity,41000,PRIOR,selected,column_026,0.14215293624642944
electricity,41000,PRIOR,selected,column_027,0.3031183759299793
electricity,41000,PRIOR,selected,column_028,0.3625210153621327
electricity,41000,PRIOR,selected,column_029,0.5454851529203992
electricity,41000,PRIOR,selected,column_030,0.3627832778486617
electricity,41000,PRIOR,selected,column_031,0.19003455563942268
electricity,41000,PRIOR,matched_old_epoch,column_000,0.34577302527993664
electricity,41000,PRIOR,matched_old_epoch,column_001,0.17829478944113736
electricity,41000,PRIOR,matched_old_epoch,column_002,0.000586316514297995
electricity,41000,PRIOR,matched_old_epoch,column_003,0.19415888957689564
electricity,41000,PRIOR,matched_old_epoch,column_004,0.27181298026211176
electricity,41000,PRIOR,matched_old_epoch,column_005,0.15893035869859098
electricity,41000,PRIOR,matched_old_epoch,column_006,0.7631091982385145
electricity,41000,PRIOR,matched_old_epoch,column_007,0.24467184092789454
electricity,41000,PRIOR,matched_old_epoch,column_008,0.26095297315029553
electricity,41000,PRIOR,matched_old_epoch,column_009,0.6634990017935397
electricity,41000,PRIOR,matched_old_epoch,column_010,0.18576768828003762
electricity,41000,PRIOR,matched_old_epoch,column_011,0.7266401007061846
electricity,41000,PRIOR,matched_old_epoch,column_012,0.17852707137946167
electricity,41000,PRIOR,matched_old_epoch,column_013,0.22774686510441192
electricity,41000,PRIOR,matched_old_epoch,column_014,0.17250810724195081
electricity,41000,PRIOR,matched_old_epoch,column_015,0.30042554056202736
electricity,41000,PRIOR,matched_old_epoch,column_016,0.26457434461531015
electricity,41000,PRIOR,matched_old_epoch,column_017,0.4333960842209208
electricity,41000,PRIOR,matched_old_epoch,column_018,0.14363204606086122
electricity,41000,PRIOR,matched_old_epoch,column_019,0.7237025598351849
electricity,41000,PRIOR,matched_old_epoch,column_020,0.36378274340615563
electricity,41000,PRIOR,matched_old_epoch,column_021,0.20691765959528308
electricity,41000,PRIOR,matched_old_epoch,column_022,0.19567262916111045
electricity,41000,PRIOR,matched_old_epoch,column_023,0.18879180463257722
electricity,41000,PRIOR,matched_old_epoch,column_024,0.2321726975490973
electricity,41000,PRIOR,matched_old_epoch,column_025,0.761514479127544
electricity,41000,PRIOR,matched_old_epoch,column_026,0.17714651139924004
electricity,41000,PRIOR,matched_old_epoch,column_027,0.33178748125851654
electricity,41000,PRIOR,matched_old_epoch,column_028,0.40639074335712605
electricity,41000,PRIOR,matched_old_epoch,column_029,0.7187636998314798
electricity,41000,PRIOR,matched_old_epoch,column_030,0.3782569792960573
electricity,41000,PRIOR,matched_old_epoch,column_031,0.29170353470477456
electricity,41001,SIDE,selected,column_000,0.3302342954298573
electricity,41001,SIDE,selected,column_001,0.17400600160882734
electricity,41001,SIDE,selected,column_002,0.0005850088001363981
electricity,41001,SIDE,selected,column_003,0.15102373205099484
electricity,41001,SIDE,selected,column_004,0.2764464176071714
electricity,41001,SIDE,selected,column_005,0.1278346844614089
electricity,41001,SIDE,selected,column_006,0.6604168132795646
electricity,41001,SIDE,selected,column_007,0.1955376622033157
electricity,41001,SIDE,selected,column_008,0.2312216506574796
electricity,41001,SIDE,selected,column_009,0.621866135223775
electricity,41001,SIDE,selected,column_010,0.1691903771983474
electricity,41001,SIDE,selected,column_011,0.45982069061701947
electricity,41001,SIDE,selected,column_012,0.11994162974406677
electricity,41001,SIDE,selected,column_013,0.19598692911819826
electricity,41001,SIDE,selected,column_014,0.13082853374268485
electricity,41001,SIDE,selected,column_015,0.28113191444870217
electricity,41001,SIDE,selected,column_016,0.240237808741897
electricity,41001,SIDE,selected,column_017,0.4136508688393109
electricity,41001,SIDE,selected,column_018,0.11329719334264858
electricity,41001,SIDE,selected,column_019,0.6314557995917376
electricity,41001,SIDE,selected,column_020,0.3545434538997434
electricity,41001,SIDE,selected,column_021,0.19562983151344926
electricity,41001,SIDE,selected,column_022,0.16962971864030904
electricity,41001,SIDE,selected,column_023,0.1857790975026824
electricity,41001,SIDE,selected,column_024,0.21154148924153177
electricity,41001,SIDE,selected,column_025,0.5647481364525553
electricity,41001,SIDE,selected,column_026,0.14121330246806602
electricity,41001,SIDE,selected,column_027,0.3186016144530963
electricity,41001,SIDE,selected,column_028,0.3605469940304842
electricity,41001,SIDE,selected,column_029,0.5704022284608328
electricity,41001,SIDE,selected,column_030,0.34921111247381825
electricity,41001,SIDE,selected,column_031,0.20434477555643693
electricity,41001,SIDE,matched_old_epoch,column_000,0.3400191304520149
electricity,41001,SIDE,matched_old_epoch,column_001,0.18481504441780763
electricity,41001,SIDE,matched_old_epoch,column_002,0.0005847518895693792
electricity,41001,SIDE,matched_old_epoch,column_003,0.17452901185341477
electricity,41001,SIDE,matched_old_epoch,column_004,0.27875813334007254
electricity,41001,SIDE,matched_old_epoch,column_005,0.14382279806744472
electricity,41001,SIDE,matched_old_epoch,column_006,0.7273883695035506
electricity,41001,SIDE,matched_old_epoch,column_007,0.2132691297367836
electricity,41001,SIDE,matched_old_epoch,column_008,0.251015217518231
electricity,41001,SIDE,matched_old_epoch,column_009,0.6391202883168968
electricity,41001,SIDE,matched_old_epoch,column_010,0.17919863271869113
electricity,41001,SIDE,matched_old_epoch,column_011,0.5490965702236482
electricity,41001,SIDE,matched_old_epoch,column_012,0.14277297940928976
electricity,41001,SIDE,matched_old_epoch,column_013,0.2294445521673161
electricity,41001,SIDE,matched_old_epoch,column_014,0.14550084525091864
electricity,41001,SIDE,matched_old_epoch,column_015,0.29499668137459295
electricity,41001,SIDE,matched_old_epoch,column_016,0.25626375254157674
electricity,41001,SIDE,matched_old_epoch,column_017,0.41837017276785227
electricity,41001,SIDE,matched_old_epoch,column_018,0.12618365612493637
electricity,41001,SIDE,matched_old_epoch,column_019,0.6051061229472182
electricity,41001,SIDE,matched_old_epoch,column_020,0.4142373149733885
electricity,41001,SIDE,matched_old_epoch,column_021,0.22034058599124295
electricity,41001,SIDE,matched_old_epoch,column_022,0.18742711836091833
electricity,41001,SIDE,matched_old_epoch,column_023,0.18831907649405652
electricity,41001,SIDE,matched_old_epoch,column_024,0.22746050785138233
electricity,41001,SIDE,matched_old_epoch,column_025,0.6911344424072972
electricity,41001,SIDE,matched_old_epoch,column_026,0.17472605234359875
electricity,41001,SIDE,matched_old_epoch,column_027,0.33718068497145265
electricity,41001,SIDE,matched_old_epoch,column_028,0.405782412509505
electricity,41001,SIDE,matched_old_epoch,column_029,0.6290756941282649
electricity,41001,SIDE,matched_old_epoch,column_030,0.36863818141112875
electricity,41001,SIDE,matched_old_epoch,column_031,0.24856597566490052
electricity,41001,PRIOR,selected,column_000,0.3617011313686665
electricity,41001,PRIOR,selected,column_001,0.17362605214649712
electricity,41001,PRIOR,selected,column_002,0.0005918040585986051
electricity,41001,PRIOR,selected,column_003,0.1493593931250152
electricity,41001,PRIOR,selected,column_004,0.25977627152041066
electricity,41001,PRIOR,selected,column_005,0.12416957303755508
electricity,41001,PRIOR,selected,column_006,0.6162322825559128
electricity,41001,PRIOR,selected,column_007,0.20030509584192369
electricity,41001,PRIOR,selected,column_008,0.24503990557536517
electricity,41001,PRIOR,selected,column_009,0.6290902205366484
electricity,41001,PRIOR,selected,column_010,0.16767856904407458
electricity,41001,PRIOR,selected,column_011,0.3953400007182676
electricity,41001,PRIOR,selected,column_012,0.13129071268312917
electricity,41001,PRIOR,selected,column_013,0.18824268862765947
