dataset,seed,arm,role,level_mse,daily_mse,remainder_mse
electricity,41000,SIDE,selected,0.07216569721581706,0.06942328444526481,0.13722328602235995
electricity,41000,SIDE,matched_old_epoch,0.08659772966112723,0.089354037841331,0.16040735181375476
electricity,41000,PRIOR,selected,0.07447486245408418,0.07067883706844892,0.13762894578591686
electricity,41000,PRIOR,matched_old_epoch,0.0862141056580658,0.0879175099133102,0.15998122021639047
electricity,41001,SIDE,selected,0.0738784314056034,0.07173644250293461,0.14035093551021668
electricity,41001,SIDE,matched_old_epoch,0.0867814465504667,0.07894958678035659,0.14655471316070684
electricity,41001,PRIOR,selected,0.0701096161842152,0.0691042024693039,0.13709520736956815
electricity,41001,PRIOR,matched_old_epoch,0.08364669052331099,0.07900645430699783,0.1463973113402743
traffic,41000,SIDE,selected,0.03730124335818468,0.1493874587576205,0.21272348919436349
traffic,41000,SIDE,matched_old_epoch,0.04255246810538898,0.21787093404660393,0.26256227572626495
traffic,41000,PRIOR,selected,0.04038484314646275,0.14908605994036017,0.21156589949698326
traffic,41000,PRIOR,matched_old_epoch,0.042757393704593055,0.22695222932371553,0.26506795295432034
traffic,41001,SIDE,selected,0.04051176241058138,0.15701262618647374,0.21608357101462256
traffic,41001,SIDE,matched_old_epoch,0.04642004529260056,0.22166703060022813,0.25059866705063244
traffic,41001,PRIOR,selected,0.03918182509599029,0.14835189599516188,0.21287989965443652
traffic,41001,PRIOR,matched_old_epoch,0.04402562852485588,0.23473096689253653,0.2515950076016579
