dataset,panel,arm,policy,mse,mae,raw_mae
electricity,E_FIXED,INIT,BASELINE,0.8384714537281232,0.69428919145824,73.35091815004887
electricity,E_FIXED,LAST_VALUE,BASELINE,1.561748413096999,0.9195775656958416,99.08235665730606
electricity,E_FIXED,LH,P_LAST20,0.27471890168796737,0.35119478663739684,35.61258365184413
electricity,E_FIXED,LH,P_LR_FIXED,0.2746258657670528,0.3508494079608256,35.604900382162604
electricity,E_FIXED,LH,P_MAIN,0.2746258657670528,0.3508494079608256,35.604900382162604
electricity,E_FIXED,LH,P_VFIXED,0.27533382288738645,0.3517892212322491,35.68962382554573
electricity,E_FIXED,PRIOR,P_LAST20,0.27991282127073785,0.35817062510378306,36.346565263542224
electricity,E_FIXED,PRIOR,P_LR_FIXED,0.2784510329677646,0.356837406243206,36.247630953339105
electricity,E_FIXED,PRIOR,P_MAIN,0.2784510329677646,0.356837406243206,36.247630953339105
electricity,E_FIXED,PRIOR,P_VFIXED,0.27967404635445975,0.35847425982365627,36.401445401301196
electricity,E_FIXED,SEASONAL_NAIVE,BASELINE,0.5256090952856125,0.4456026747733812,46.8871407117185
electricity,E_FIXED,SIDE,P_LAST20,0.28020934942327946,0.35806796960549736,36.30819702255226
electricity,E_FIXED,SIDE,P_LR_FIXED,0.2791603785475429,0.35728577209646434,36.22542098794914
electricity,E_FIXED,SIDE,P_MAIN,0.2791603785475429,0.35728577209646434,36.22542098794914
electricity,E_FIXED,SIDE,P_VFIXED,0.2791418191388004,0.3578589014802313,36.26968233433923
electricity,E_MIXED,INIT,BASELINE,0.8335936191556069,0.6917129093872468,73.24348840852038
electricity,E_MIXED,LAST_VALUE,BASELINE,1.403344764183717,0.8554291073635334,90.44558383532528
electricity,E_MIXED,LH,P_LAST20,0.2695632455245984,0.34905122597051114,35.4433636379317
electricity,E_MIXED,LH,P_LR_FIXED,0.26865472044556377,0.3483063914091247,35.378257517984295
electricity,E_MIXED,LH,P_MAIN,0.26865472044556377,0.3483063914091247,35.378257517984295
electricity,E_MIXED,LH,P_VFIXED,0.26962068176674114,0.34905951166779386,35.44773410752507
electricity,E_MIXED,PRIOR,P_LAST20,0.27708959219719165,0.3568371733428159,36.22759107301875
electricity,E_MIXED,PRIOR,P_LR_FIXED,0.2761617887038429,0.35597351987751624,36.13654710240011
electricity,E_MIXED,PRIOR,P_MAIN,0.2761617887038429,0.35597351987751624,36.13654710240011
electricity,E_MIXED,PRIOR,P_VFIXED,0.2770389313853822,0.357034453370844,36.29435548392644
electricity,E_MIXED,SEASONAL_NAIVE,BASELINE,0.5121597214147464,0.44070922159680237,46.299569591492315
electricity,E_MIXED,SIDE,P_LAST20,0.27689068476513834,0.3564139731755949,36.220027888223676
electricity,E_MIXED,SIDE,P_LR_FIXED,0.2764745877119996,0.35572553959351766,36.141722151117996
electricity,E_MIXED,SIDE,P_MAIN,0.2764745877119996,0.35572553959351766,36.141722151117996
electricity,E_MIXED,SIDE,P_VFIXED,0.2762380665195454,0.35599119103066346,36.19867649980538
traffic,E_FIXED,INIT,BASELINE,1.281868367879304,0.7857545820337996,0.040470530431286365
