fit,dataset,arm,seed,lr,mode,updates,active_seconds,median_step_seconds,step_peak_allocated,step_peak_reserved,current_run_wall_seconds,current_validation_seconds,current_load_peak,current_validation_peak,current_checkpoint_seconds,current_resume_save_seconds
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,REUSE,1260,61.04811163668637,0.048037204483989626,1121819136,1199570944,3.139638073014794,2.357719861989608,221992448,290763264,0.17945372106623836,0.0
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,NEW,1260,49.51983084800304,0.038572214005398564,446556160,469762048,189.20079188299133,3.3360955699754413,222680576,339703808,0.15372931704041548,27.28224910533754
02_electricity_SIDE_41000_0.0003,electricity,SIDE,41000,0.0003,NEW,1280,51.35204173892271,0.039446593495085835,446556160,471859200,197.33354054100346,4.62370688887313,222680576,339703808,0.15640605104272254,28.551171929691918
03_electricity_LH_41002_0.0003,electricity,LH,41002,0.0003,NEW,1280,59.12648923887173,0.045531003503128886,1121556992,1195376640,200.32276015897514,3.2551607178756967,221992448,299907072,0.14206511701922864,26.902996222517686
04_traffic_LH_41000_0.0003,traffic,LH,41000,0.0003,NEW,1260,58.53370134389843,0.045725399992079474,1121556992,1195376640,196.76729254398379,2.4407470859587193,221992448,299907072,0.1444975270133,26.423739785706857
05_traffic_LH_41000_0.001,traffic,LH,41000,0.001,REUSE,1260,61.109586471488,0.04811924851674121,1118935552,1195376640,4.0716406060091686,2.4110807740944438,221992448,290763264,0.1839178669906687,0.0
06_traffic_SIDE_41000_0.001,traffic,SIDE,41000,0.001,REUSE,1260,48.17083855572855,0.03763365399208851,447096832,490733568,5.044070724019548,3.208074544003466,222680576,330035712,0.18624275791808031,0.0
07_electricity_PRIOR_41002_0.0003,electricity,PRIOR,41002,0.0003,NEW,1280,48.971413359977305,0.03753192501608282,446556160,471859200,190.0834703349974,4.320673112029908,222680576,339703808,0.14566864699008875,26.536359446763527
08_electricity_SIDE_41001_0.0003,electricity,SIDE,41001,0.0003,NEW,1280,48.706341540644644,0.03737745000398718,446556160,471859200,189.48637390998192,4.294980300939642,222680576,339703808,0.1457451099413447,26.401657151407562
09_electricity_SIDE_41001_0.001,electricity,SIDE,41001,0.001,NEW,1280,48.5725928141037,0.037235815994790755,446556160,471859200,189.84212222500355,4.310415994841605,222680576,339703808,0.1470761770324316,26.397835488955025
