dataset,arm,seed,policy,selected_lr,selected_epoch,selected_prefix_updates,two_lr_total_updates,two_lr_new_updates,two_lr_reused_updates
electricity,LH,41000,P_MAIN,0.001,17,1088,2560,1280,1280
electricity,LH,41000,P_VFIXED,0.001,16,1024,2560,1280,1280
electricity,LH,41000,P_LR_FIXED,0.001,17,1088,2560,1280,1280
electricity,LH,41000,P_LAST20,0.001,20,1280,2560,1280,1280
electricity,LH,41001,P_MAIN,0.001,20,1280,2560,2560,0
electricity,LH,41001,P_VFIXED,0.001,20,1280,2560,2560,0
electricity,LH,41001,P_LR_FIXED,0.001,20,1280,2560,2560,0
electricity,LH,41001,P_LAST20,0.001,20,1280,2560,2560,0
electricity,LH,41002,P_MAIN,0.001,16,1024,2560,2560,0
electricity,LH,41002,P_VFIXED,0.001,19,1216,2560,2560,0
electricity,LH,41002,P_LR_FIXED,0.001,16,1024,2560,2560,0
electricity,LH,41002,P_LAST20,0.001,20,1280,2560,2560,0
electricity,SIDE,41000,P_MAIN,0.001,17,1088,2560,1280,1280
electricity,SIDE,41000,P_VFIXED,0.001,18,1152,2560,1280,1280
electricity,SIDE,41000,P_LR_FIXED,0.001,17,1088,2560,1280,1280
electricity,SIDE,41000,P_LAST20,0.001,20,1280,2560,1280,1280
electricity,SIDE,41001,P_MAIN,0.001,20,1280,2560,2560,0
electricity,SIDE,41001,P_VFIXED,0.001,20,1280,2560,2560,0
electricity,SIDE,41001,P_LR_FIXED,0.001,20,1280,2560,2560,0
electricity,SIDE,41001,P_LAST20,0.001,20,1280,2560,2560,0
electricity,SIDE,41002,P_MAIN,0.001,19,1216,2560,2560,0
electricity,SIDE,41002,P_VFIXED,0.001,19,1216,2560,2560,0
electricity,SIDE,41002,P_LR_FIXED,0.001,19,1216,2560,2560,0
electricity,SIDE,41002,P_LAST20,0.001,20,1280,2560,2560,0
electricity,PRIOR,41000,P_MAIN,0.001,15,960,2560,1280,1280
electricity,PRIOR,41000,P_VFIXED,0.001,18,1152,2560,1280,1280
electricity,PRIOR,41000,P_LR_FIXED,0.001,15,960,2560,1280,1280
electricity,PRIOR,41000,P_LAST20,0.001,20,1280,2560,1280,1280
electricity,PRIOR,41001,P_MAIN,0.001,20,1280,2560,2560,0
electricity,PRIOR,41001,P_VFIXED,0.001,20,1280,2560,2560,0
electricity,PRIOR,41001,P_LR_FIXED,0.001,20,1280,2560,2560,0
electricity,PRIOR,41001,P_LAST20,0.001,20,1280,2560,2560,0
electricity,PRIOR,41002,P_MAIN,0.001,16,1024,2560,2560,0
electricity,PRIOR,41002,P_VFIXED,0.001,18,1152,2560,2560,0
electricity,PRIOR,41002,P_LR_FIXED,0.001,16,1024,2560,2560,0
electricity,PRIOR,41002,P_LAST20,0.001,20,1280,2560,2560,0
traffic,LH,41000,P_MAIN,0.001,20,1260,2520,1260,1260
traffic,LH,41000,P_VFIXED,0.001,17,1071,2520,1260,1260
traffic,LH,41000,P_LR_FIXED,0.001,20,1260,2520,1260,1260
traffic,LH,41000,P_LAST20,0.001,20,1260,2520,1260,1260
traffic,LH,41001,P_MAIN,0.001,20,1260,2520,1260,1260
traffic,LH,41001,P_VFIXED,0.001,18,1134,2520,1260,1260
traffic,LH,41001,P_LR_FIXED,0.001,20,1260,2520,1260,1260
traffic,LH,41001,P_LAST20,0.001,20,1260,2520,1260,1260
traffic,LH,41002,P_MAIN,0.001,20,1260,2520,2520,0
traffic,LH,41002,P_VFIXED,0.001,19,1197,2520,2520,0
traffic,LH,41002,P_LR_FIXED,0.001,20,1260,2520,2520,0
traffic,LH,41002,P_LAST20,0.001,20,1260,2520,2520,0
traffic,SIDE,41000,P_MAIN,0.001,17,1071,2520,1260,1260
traffic,SIDE,41000,P_VFIXED,0.001,20,1260,2520,1260,1260
traffic,SIDE,41000,P_LR_FIXED,0.001,17,1071,2520,1260,1260
traffic,SIDE,41000,P_LAST20,0.001,20,1260,2520,1260,1260
traffic,SIDE,41001,P_MAIN,0.001,20,1260,2520,2520,0
traffic,SIDE,41001,P_VFIXED,0.001,16,1008,2520,2520,0
traffic,SIDE,41001,P_LR_FIXED,0.001,20,1260,2520,2520,0
traffic,SIDE,41001,P_LAST20,0.001,20,1260,2520,2520,0
traffic,SIDE,41002,P_MAIN,0.001,18,1134,2520,2520,0
traffic,SIDE,41002,P_VFIXED,0.001,19,1197,2520,2520,0
traffic,SIDE,41002,P_LR_FIXED,0.001,18,1134,2520,2520,0
traffic,SIDE,41002,P_LAST20,0.001,20,1260,2520,2520,0
traffic,PRIOR,41000,P_MAIN,0.001,15,945,2520,1260,1260
traffic,PRIOR,41000,P_VFIXED,0.001,18,1134,2520,1260,1260
traffic,PRIOR,41000,P_LR_FIXED,0.001,15,945,2520,1260,1260
traffic,PRIOR,41000,P_LAST20,0.001,20,1260,2520,1260,1260
traffic,PRIOR,41001,P_MAIN,0.001,20,1260,2520,1260,1260
traffic,PRIOR,41001,P_VFIXED,0.001,16,1008,2520,1260,1260
traffic,PRIOR,41001,P_LR_FIXED,0.001,20,1260,2520,1260,1260
traffic,PRIOR,41001,P_LAST20,0.001,20,1260,2520,1260,1260
traffic,PRIOR,41002,P_MAIN,0.001,20,1260,2520,2520,0
traffic,PRIOR,41002,P_VFIXED,0.001,19,1197,2520,2520,0
traffic,PRIOR,41002,P_LR_FIXED,0.001,20,1260,2520,2520,0
traffic,PRIOR,41002,P_LAST20,0.001,20,1260,2520,2520,0
