dataset,seed,split,method,origins,mse,mae,raw_mae,scalar_mse_abs_difference,gain_percent
electricity,41000,V,UNCHANGED,27,0.4711742656500038,0.48243119857005823,50.73918430005111,0.0,0.0
electricity,41000,V,EXPANDING_BIAS,27,0.46985686803895943,0.4933434369605614,51.723083349922724,5.551115123125783e-17,0.27959880390050096
electricity,41000,V,EXPANDING_DAILY,27,0.3620439541874723,0.40761401345789594,41.923966112728394,0.0,23.16134802311027
electricity,41000,V,LAST_BIAS,27,0.5655898840330292,0.5346721302709385,55.84733918620861,0.0,-20.038364839975987
electricity,41000,E,UNCHANGED,54,0.465861103308871,0.48103583429264624,50.229639000429,0.0,0.0
electricity,41000,E,EXPANDING_BIAS,54,0.46671455270267326,0.4880991103078345,51.0307832970271,0.0,-0.1831982510968357
electricity,41000,E,EXPANDING_DAILY,54,0.3820415997611288,0.4244600588845213,44.08574474781952,0.0,17.992380765940222
electricity,41000,E,LAST_BIAS,54,0.6233744579158319,0.5578239717077658,58.23688209658234,0.0,-33.811226884620986
electricity,41001,V,UNCHANGED,27,0.4779625692796134,0.4870666706339276,50.83173217360294,0.0,0.0
electricity,41001,V,EXPANDING_BIAS,27,0.47981126060861873,0.4968188542628453,51.773270784697175,0.0,-0.3867857961747275
electricity,41001,V,EXPANDING_DAILY,27,0.3668004046855552,0.4093953628461636,42.0172525497111,0.0,23.257504193602887
electricity,41001,V,LAST_BIAS,27,0.5906986889931919,0.5450582835706153,56.62665085000575,0.0,-23.58680929418693
electricity,41001,E,UNCHANGED,54,0.4728988286472915,0.495081530629835,51.55786004965365,5.551115123125783e-17,0.0
electricity,41001,E,EXPANDING_BIAS,54,0.48027327769629646,0.5028168191124224,52.59814278002413,5.551115123125783e-17,-1.5594136847619804
electricity,41001,E,EXPANDING_DAILY,54,0.37124333109990726,0.420895412549284,43.94414781318724,0.0,21.49624642508965
electricity,41001,E,LAST_BIAS,54,0.644537054213685,0.5739838421997571,60.1137829471082,1.1102230246251565e-16,-36.2949145078997
traffic,41001,V,UNCHANGED,18,0.9804992151280939,0.7269275802963451,0.037710808510743314,0.0,0.0
traffic,41001,V,EXPANDING_BIAS,18,1.0023342631954955,0.7266749212443983,0.0376986779816635,0.0,-2.2269317231986756
traffic,41001,V,EXPANDING_DAILY,18,0.5327283785115026,0.439080086150488,0.023378789884250274,1.1102230246251565e-16,45.66763845477366
traffic,41001,V,LAST_BIAS,18,1.130518667947074,0.7739825806237204,0.04033813545664232,0.0,-15.300313402023614
traffic,41001,E,UNCHANGED,36,1.2504652887958343,0.8061045795327129,0.041060269688288985,2.220446049250313e-16,0.0
traffic,41001,E,EXPANDING_BIAS,36,1.214638351229526,0.7842622996733333,0.03997641517276983,0.0,2.8650885304308362
traffic,41001,E,EXPANDING_DAILY,36,0.7326099371547427,0.5707703834220403,0.02959526676669134,0.0,41.413012922555644
traffic,41001,E,LAST_BIAS,36,1.3940344457859992,0.839058990763411,0.04288023495978185,2.220446049250313e-16,-11.481258878318672
traffic,41000,V,UNCHANGED,18,0.9467436671226543,0.7077981087809241,0.036646021241888115,0.0,0.0
traffic,41000,V,EXPANDING_BIAS,18,0.9659925985456395,0.707844433375261,0.03664480717811831,0.0,-2.03317245115423
traffic,41000,V,EXPANDING_DAILY,18,0.5001892727166901,0.42724060664722885,0.022759543788216853,0.0,47.16740231948247
traffic,41000,V,LAST_BIAS,18,1.0692209416709189,0.746185809969196,0.038807203308601115,2.220446049250313e-16,-12.936688018257122
traffic,41000,E,UNCHANGED,36,1.2202585133997836,0.7939525135288578,0.04042788344229952,0.0,0.0
traffic,41000,E,EXPANDING_BIAS,36,1.1887616893391062,0.7731546967652831,0.03939113229307786,0.0,2.5811599521583
traffic,41000,E,EXPANDING_DAILY,36,0.7051663292935908,0.5559598848480747,0.02879300465552245,0.0,42.21172632273513
traffic,41000,E,LAST_BIAS,36,1.3419369396121388,0.8207085154701381,0.04190748441499294,2.220446049250313e-16,-9.971528563512722
