seed,arm,channel_block,total_trainable,total_model,lora,head,frequency_adapter,channel_adapter
41000,LH,0,761952,36099360,172032,589920,0,0
41000,INDIV_REF,4474112,5498720,40836128,172032,589920,262656,4474112
41000,INDIV_BUDGET,295952,1320560,36657968,172032,589920,262656,295952
41000,SHARED_BUDGET,295103,1319711,36657119,172032,589920,262656,295103
41000,FACTOR_BUDGET,295935,1320543,36657951,172032,589920,262656,295935
41000,BASIS_BUDGET,295103,1319711,36657119,172032,589920,262656,295103
41001,LH,0,761952,36099360,172032,589920,0,0
41001,INDIV_REF,4474112,5498720,40836128,172032,589920,262656,4474112
41001,INDIV_BUDGET,295952,1320560,36657968,172032,589920,262656,295952
41001,SHARED_BUDGET,295103,1319711,36657119,172032,589920,262656,295103
41001,FACTOR_BUDGET,295935,1320543,36657951,172032,589920,262656,295935
41001,BASIS_BUDGET,295103,1319711,36657119,172032,589920,262656,295103
