dataset,seed,baseline,selected_control_arm,baseline_mse,basis_mse,gain_percent,CI95_lower,CI95_upper
electricity,41000,INDIV_REF,INDIV_REF,0.930391708335375,0.5373144906656608,42.24857274072169,,
electricity,41001,INDIV_REF,INDIV_REF,0.9285978663262456,0.5464935586186153,41.148523118982176,,
electricity,mean,INDIV_REF,,0.9294947873308104,0.541904024642138,41.69907867925756,39.38877032675822,43.99701828194731
electricity,41000,INDIV_BUDGET,INDIV_BUDGET,0.7810295831800778,0.5373144906656608,31.204335631192713,,
electricity,41001,INDIV_BUDGET,INDIV_BUDGET,0.7349537225110212,0.5464935586186153,25.642453139568914,,
electricity,mean,INDIV_BUDGET,,0.7579916528455495,0.541904024642138,28.50791659673356,27.28964884079139,29.92737767995983
electricity,41000,SHARED_BUDGET,SHARED_BUDGET,0.4897444158000055,0.5373144906656608,-9.713244976555547,,
electricity,41001,SHARED_BUDGET,SHARED_BUDGET,0.48827589370627533,0.5464935586186153,-11.923108566846643,,
electricity,mean,SHARED_BUDGET,,0.4890101547531404,0.541904024642138,-10.816517688819621,-11.743715757064308,-9.619615506871224
electricity,41000,FACTOR_BUDGET,FACTOR_BUDGET,0.7669621637324963,0.5373144906656608,29.942503545316054,,
electricity,41001,FACTOR_BUDGET,FACTOR_BUDGET,0.7072873871900991,0.5464935586186153,22.73387472810496,,
electricity,mean,FACTOR_BUDGET,,0.7371247754612977,0.541904024642138,26.484084827699515,24.20315315395366,28.69473843110335
electricity,41000,LH,LH,0.465861103308871,0.5373144906656608,-15.337916569826925,,
electricity,41001,LH,LH,0.4728988286472915,0.5464935586186153,-15.562468230644301,,
electricity,mean,LH,,0.46937996597808124,0.541904024642138,-15.451034113254737,-16.966966183038846,-13.911328642144708
electricity,41000,V_SELECTED_BUDGET,SHARED_BUDGET,0.4897444158000055,0.5373144906656608,-9.713244976555547,,
electricity,41001,V_SELECTED_BUDGET,SHARED_BUDGET,0.48827589370627533,0.5464935586186153,-11.923108566846643,,
electricity,mean,V_SELECTED_BUDGET,,0.4890101547531404,0.541904024642138,-10.816517688819621,-11.743715757064308,-9.619615506871224
electricity,41000,INIT,BASIS_BUDGET,0.960052305773323,0.5373144906656608,44.03278993920508,,
electricity,41001,INIT,BASIS_BUDGET,1.0026641509159635,0.5464935586186153,45.49585141551364,,
electricity,mean,INIT,,0.9813582283446433,0.541904024642138,44.780202683354204,41.294529866706704,48.110379015898296
electricity,41000,SEASONAL_NAIVE,SEASONAL_NAIVE,0.5256090952856125,0.5373144906656608,-2.2270153779754702,,
electricity,41001,SEASONAL_NAIVE,SEASONAL_NAIVE,0.5256090952856125,0.5464935586186153,-3.973383170177882,,
electricity,mean,SEASONAL_NAIVE,,0.5256090952856125,0.541904024642138,-3.1001992740766764,-10.56113710161936,3.204931891034777
traffic,41000,INDIV_REF,INDIV_REF,1.5599000521420339,1.6265801968297717,-4.274642121857332,,
traffic,41001,INDIV_REF,INDIV_REF,1.6496902139841616,1.5272130146559226,7.424254462445084,,
traffic,mean,INDIV_REF,,1.6047951330630976,1.576896605742847,1.7384479018826657,1.0887609089302588,2.312788848381573
traffic,41000,INDIV_BUDGET,INDIV_BUDGET,1.548861030723936,1.6265801968297717,-5.017826942776768,,
traffic,41001,INDIV_BUDGET,INDIV_BUDGET,1.6275379607019742,1.5272130146559226,6.164215426519476,,
traffic,mean,INDIV_BUDGET,,1.588199495712955,1.576896605742847,0.7116794836302364,-0.512668990323802,1.7884248880150002
traffic,41000,SHARED_BUDGET,SHARED_BUDGET,1.7033355154297236,1.6265801968297717,4.50617731531229,,
traffic,41001,SHARED_BUDGET,SHARED_BUDGET,1.5986546478196701,1.5272130146559226,4.4688596915652425,,
traffic,mean,SHARED_BUDGET,,1.6509950816246968,1.576896605742847,4.488110031735014,3.885336987846825,5.224811287525675
traffic,41000,FACTOR_BUDGET,FACTOR_BUDGET,1.5558304007786299,1.6265801968297717,-4.547397712227146,,
traffic,41001,FACTOR_BUDGET,FACTOR_BUDGET,1.4573890312767832,1.5272130146559226,-4.7910325850310755,,
traffic,mean,FACTOR_BUDGET,,1.5066097160277065,1.576896605742847,-4.665235393573417,-6.231186180231073,-2.8731709672825376
traffic,41000,LH,LH,1.2202585133997836,1.6265801968297717,-33.298000298144046,,
traffic,41001,LH,LH,1.2504652887958343,1.5272130146559226,-22.131580007837663,,
traffic,mean,LH,,1.235361901097809,1.576896605742847,-27.646530489691486,-33.01243310664123,-23.053169388356757
traffic,41000,V_SELECTED_BUDGET,INDIV_BUDGET,1.548861030723936,1.6265801968297717,-5.017826942776768,,
traffic,41001,V_SELECTED_BUDGET,SHARED_BUDGET,1.5986546478196701,1.5272130146559226,4.4688596915652425,,
traffic,mean,V_SELECTED_BUDGET,,1.5737578392718032,1.576896605742847,-0.19944405630387044,-1.220172593347723,0.716977520873215
traffic,41000,INIT,BASIS_BUDGET,1.6265801968297717,1.6265801968297717,0.0,,
traffic,41001,INIT,BASIS_BUDGET,1.5272130146559226,1.5272130146559226,0.0,,
traffic,mean,INIT,,1.576896605742847,1.576896605742847,0.0,0.0,0.0
traffic,41000,SEASONAL_NAIVE,SEASONAL_NAIVE,0.9814488091024985,1.6265801968297717,-65.73255596664525,,
traffic,41001,SEASONAL_NAIVE,SEASONAL_NAIVE,0.9814488091024985,1.5272130146559226,-55.608015465677404,,
traffic,mean,SEASONAL_NAIVE,,0.9814488091024985,1.576896605742847,-60.67028571616132,-75.60633318202038,-48.195096997510454
