dataset,seed,arm,role,mse,mae
electricity,,SEASONAL_NAIVE,seasonal_naive,0.5256090952856125,0.4456026747733812
electricity,41000,SHARED_BUDGET,INIT,1.049033893479543,0.7675147124643922
electricity,41000,SHARED_BUDGET,selected,0.4897444158000055,0.5122768842514661
electricity,41001,SHARED_BUDGET,INIT,0.9303160129841851,0.7168088208305357
electricity,41001,SHARED_BUDGET,selected,0.48827589370627533,0.5055732648900296
electricity,41001,INDIV_BUDGET,INIT,0.9194164802478664,0.7204086371433485
electricity,41001,INDIV_BUDGET,selected,0.7349537225110212,0.6323360637706583
electricity,41000,FACTOR_BUDGET,INIT,1.078124156116202,0.7785777521068868
electricity,41000,FACTOR_BUDGET,selected,0.7669621637324963,0.6526134207356384
electricity,41001,INDIV_REF,INIT,1.0083409008367914,0.7542855910204354
electricity,41001,INDIV_REF,selected,0.9285978663262456,0.7277059925212872
electricity,41000,LH,INIT,0.8033647981763301,0.6780759100751038
electricity,41000,LH,selected,0.465861103308871,0.48103583429264624
electricity,41001,LH,INIT,0.8459558758588919,0.6957407720118516
electricity,41001,LH,selected,0.4728988286472915,0.495081530629835
electricity,41001,BASIS_BUDGET,INIT,1.0026641509159635,0.7490189287648754
electricity,41001,BASIS_BUDGET,selected,0.5464935586186153,0.532266974135755
electricity,41001,FACTOR_BUDGET,INIT,1.0165473787274437,0.7449053358416186
electricity,41001,FACTOR_BUDGET,selected,0.7072873871900991,0.6245255179356624
electricity,41000,BASIS_BUDGET,INIT,0.960052305773323,0.735206382099568
electricity,41000,BASIS_BUDGET,selected,0.5373144906656608,0.541616175253537
electricity,41000,INDIV_REF,INIT,0.9792179643099674,0.7372657825655751
electricity,41000,INDIV_REF,selected,0.930391708335375,0.7204339990150751
electricity,41000,INDIV_BUDGET,INIT,0.9554305716786853,0.7353614292175126
electricity,41000,INDIV_BUDGET,selected,0.7810295831800778,0.6642772380816306
traffic,,SEASONAL_NAIVE,seasonal_naive,0.9814488091024985,0.4887845378201704
traffic,41001,INDIV_BUDGET,INIT,1.6275379607019742,0.9388200911676681
traffic,41001,INDIV_BUDGET,selected,1.6275379607019742,0.9388200911676681
traffic,41001,INDIV_REF,INIT,1.6496902139841616,0.9217929553648101
traffic,41001,INDIV_REF,selected,1.6496902139841616,0.9217929553648101
traffic,41001,SHARED_BUDGET,INIT,1.5986546478196701,0.9037913049587911
traffic,41001,SHARED_BUDGET,selected,1.5986546478196701,0.9037913049587911
traffic,41000,FACTOR_BUDGET,INIT,1.5558304007786299,0.900674452691576
traffic,41000,FACTOR_BUDGET,selected,1.5558304007786299,0.900674452691576
traffic,41000,INDIV_BUDGET,INIT,1.548861030723936,0.8918119739424797
traffic,41000,INDIV_BUDGET,selected,1.548861030723936,0.8918119739424797
traffic,41001,FACTOR_BUDGET,INIT,1.4573890312767832,0.8667253271291708
traffic,41001,FACTOR_BUDGET,selected,1.4573890312767832,0.8667253271291708
traffic,41000,BASIS_BUDGET,INIT,1.6265801968297717,0.9055301808945649
traffic,41000,BASIS_BUDGET,selected,1.6265801968297717,0.9055301808945649
traffic,41001,BASIS_BUDGET,INIT,1.5272130146559226,0.8875569179532327
traffic,41001,BASIS_BUDGET,selected,1.5272130146559226,0.8875569179532327
traffic,41000,SHARED_BUDGET,INIT,1.7033355154297236,0.9516000653979277
traffic,41000,SHARED_BUDGET,selected,1.7033355154297236,0.9516000653979277
traffic,41001,LH,INIT,1.293483537270677,0.7962984182647583
traffic,41001,LH,selected,1.2504652887958343,0.8061045795327129
traffic,41000,INDIV_REF,INIT,1.5599000521420339,0.8946670294325141
traffic,41000,INDIV_REF,selected,1.5599000521420339,0.8946670294325141
traffic,41000,LH,INIT,1.2429594836004547,0.7634705143071829
traffic,41000,LH,selected,1.2202585133997836,0.7939525135288578
