fit,dataset,seed,arm,status,epochs,updates,active_seconds,wall_seconds,peak_allocated,peak_reserved,median_step_seconds,budget_limited,early_stopped
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,COMPLETE,8,512,27.23852640003315,75.42968178300362,1163112960,1203765248,0.05269825349387247,False,True
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,COMPLETE,5,315,21.965145706984913,52.661863575995085,1162078720,1205862400,0.06899813099880703,False,True
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,COMPLETE,5,315,21.861904566088924,52.0083764680021,1232859648,1289748480,0.0690392099932069,False,True
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,COMPLETE,5,315,16.830908278061543,46.38391691099969,1164161536,1243611136,0.052969448996009305,False,True
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,COMPLETE,15,960,51.335273614822654,139.43004724700586,1165472256,1212153856,0.05309896800463321,False,True
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,COMPLETE,6,384,26.770640816888772,63.87799405299302,1165748736,1212153856,0.06904426199616864,False,True
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,COMPLETE,5,315,17.018643490824616,46.88946344400756,1166797312,1214251008,0.053637309989426285,False,True
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,COMPLETE,5,315,21.986018667113967,52.68581843399443,1165748736,1212153856,0.069325314994785,False,True
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,COMPLETE,6,384,20.89602793796803,57.09219623899844,1166797312,1216348160,0.05387829899700591,False,True
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,COMPLETE,5,315,17.033567820835742,46.75817128700146,1159195136,1203765248,0.05366392299765721,False,True
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,COMPLETE,6,384,26.62034816792584,64.00321411699406,1231024640,1277165568,0.06906097599858185,False,True
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,COMPLETE,5,315,17.499239877943182,47.701830493999296,1166274560,1249902592,0.055233552993740886,False,True
12_electricity_41000_LH,electricity,41000,LH,COMPLETE,6,384,18.55057549609046,53.76110093899479,1119984128,1203765248,0.04791383499832591,False,True
13_electricity_41001_LH,electricity,41001,LH,COMPLETE,8,512,25.08174276293721,71.9018865560065,1124702720,1210056704,0.048517855000682175,False,True
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,COMPLETE,5,315,17.570661118763383,47.20407403699937,1169968640,1216348160,0.05545105700730346,False,True
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,COMPLETE,6,384,21.515409865125548,57.42335343400191,1166274560,1218445312,0.05555958750483114,False,True
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,COMPLETE,6,384,20.900652806842118,56.785654984996654,1165748736,1214251008,0.05392732700420311,False,True
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,COMPLETE,5,315,16.83925429302326,46.686258143003215,1168093696,1220542464,0.05318600099417381,False,True
18_traffic_41001_LH,traffic,41001,LH,COMPLETE,6,378,18.568433483029366,53.43816967899329,1122867712,1201668096,0.0487466564954957,False,True
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,COMPLETE,7,448,24.629256448795786,66.43943607099936,1167323136,1216348160,0.054611869498330634,False,True
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,COMPLETE,5,315,20.77061731214053,50.377684311999474,1234956800,1291845632,0.06543713199789636,False,True
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,COMPLETE,9,576,37.67362987215165,91.02937652400578,1232597504,1287651328,0.06490705200121738,False,True
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,COMPLETE,6,384,25.006643861110206,60.704901053002686,1166797312,1245708288,0.06461442550062202,False,True
23_traffic_41000_LH,traffic,41000,LH,COMPLETE,6,378,17.363847374130273,52.43575299400254,1122867712,1199570944,0.045439826004439965,False,True
