arm,buffers_unchanged,frozen_unchanged,id,initial_lora_hash,lr,optimizer_seconds,peak_allocated_bytes,peak_reserved_bytes,seconds,seed,started_at,status,trainable_parameters,updates
C0,True,True,C0_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.01053273896105,780150784,822083584,65.4984184410132,73100,1789602976.2954187,COMPLETE,1179648,512
C0,True,True,C0_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.200056067231344,780150784,822083584,62.705859359004535,73100,1789603042.8909292,COMPLETE,1179648,512
C1,True,True,C1_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.29531977078295,780150784,822083584,65.05071638099616,73100,1789603106.7537427,COMPLETE,1179648,512
C1,True,True,C1_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.44763167607016,780150784,822083584,63.234001242002705,73100,1789603172.9635994,COMPLETE,1179648,512
C2,True,True,C2_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.39935767900897,780150784,822083584,65.31406255799811,73100,1789603237.3291268,COMPLETE,1179648,512
C2,True,True,C2_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.346983037830796,780150784,822083584,63.16597420698963,73100,1789603303.8067026,COMPLETE,1179648,512
C3,True,True,C3_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.110758125956636,784361984,822083584,65.94078954900033,73100,1789603368.1574395,COMPLETE,1179652,512
C3,True,True,C3_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.26501326993457,784361984,822083584,64.07244959298987,73100,1789603435.2567759,COMPLETE,1179652,512
C0,True,True,C0_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,52.82962257726467,780150784,822083584,70.61936479801079,73101,1789604004.3710344,COMPLETE,1179648,512
C1,True,True,C1_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,51.78169468813576,780150784,822083584,68.14904821899836,73101,1789604076.408487,COMPLETE,1179648,512
C2,True,True,C2_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,51.67064766594558,780150784,822083584,68.11160884602577,73101,1789604145.7488308,COMPLETE,1179648,512
C3,True,True,C3_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,52.46397060918389,784361984,822083584,68.98581879297853,73101,1789604214.9964175,COMPLETE,1179652,512
C0,True,True,C0_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,51.5380943918135,780150784,822083584,68.3045971620013,73102,1789604285.160919,COMPLETE,1179648,512
C1,True,True,C1_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,51.71681343304226,780150784,822083584,68.28874062100658,73102,1789604354.7063804,COMPLETE,1179648,512
C2,True,True,C2_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,51.4372889228398,780150784,822083584,68.06320987598156,73102,1789604424.172756,COMPLETE,1179648,512
C3,True,True,C3_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,52.377815663814545,784361984,822083584,68.90737157099647,73102,1789604493.4084408,COMPLETE,1179652,512
