arm,seed,policy,condition,score,revision
C0,73101,selected,PRIMARY,0.6892906687836109,
C0,73101,selected,delta2,0.6921370334475601,
C0,73101,selected,irregular,0.6864443041196618,
C0,73101,selected,delta1,0.6619732841223567,
C0,73101,selected,delta4,0.6975707650121982,
C0,73101,fixed512,PRIMARY,0.6936606621377202,
C0,73101,fixed512,delta2,0.692936015020301,
C0,73101,fixed512,irregular,0.6943853092551393,
C0,73101,fixed512,delta1,0.7115250852048188,
C0,73101,fixed512,delta4,0.7380082146312845,
C1,73101,selected,PRIMARY,0.6693248720478322,
C1,73101,selected,delta2,0.6609460623854615,
C1,73101,selected,irregular,0.677703681710203,
C1,73101,selected,delta1,0.6521035040138639,
C1,73101,selected,delta4,0.6859776035083499,
C1,73101,fixed512,PRIMARY,0.6693248720478322,
C1,73101,fixed512,delta2,0.6609460623854615,
C1,73101,fixed512,irregular,0.677703681710203,
C1,73101,fixed512,delta1,0.6521035040138639,
C1,73101,fixed512,delta4,0.6859776035083499,
C2,73101,selected,PRIMARY,0.6686816306423919,
C2,73101,selected,delta2,0.6660132435931477,
C2,73101,selected,irregular,0.671350017691636,
C2,73101,selected,delta1,0.6670570164523485,
C2,73101,selected,delta4,0.683541218650035,
C2,73101,fixed512,PRIMARY,0.6996792896350551,
C2,73101,fixed512,delta2,0.6974540817361168,
C2,73101,fixed512,irregular,0.7019044975339933,
C2,73101,fixed512,delta1,0.6997397689099789,
C2,73101,fixed512,delta4,0.7081882197163667,
C3,73101,selected,PRIMARY,0.6685674727647326,
C3,73101,selected,delta2,0.665843056946574,
C3,73101,selected,irregular,0.6712918885828913,
C3,73101,selected,delta1,0.6663125578302319,
C3,73101,selected,delta4,0.6835966242709907,
C3,73101,fixed512,PRIMARY,0.6963859763014948,
C3,73101,fixed512,delta2,0.6950367986968982,
C3,73101,fixed512,irregular,0.6977351539060915,
C3,73101,fixed512,delta1,0.6976830401640743,
C3,73101,fixed512,delta4,0.7050439978931167,
C0,73102,selected,PRIMARY,0.68539635582348,
C0,73102,selected,delta2,0.689838082680312,
C0,73102,selected,irregular,0.6809546289666479,
C0,73102,selected,delta1,0.6665093453936518,
C0,73102,selected,delta4,0.7018198405908483,
C0,73102,fixed512,PRIMARY,0.6853619359808347,
C0,73102,fixed512,delta2,0.6850673497103522,
C0,73102,fixed512,irregular,0.6856565222513173,
C0,73102,fixed512,delta1,0.6987869779898913,
C0,73102,fixed512,delta4,0.7151757256411901,
C1,73102,selected,PRIMARY,0.6675268624501648,
C1,73102,selected,delta2,0.6593694879532573,
C1,73102,selected,irregular,0.6756842369470724,
C1,73102,selected,delta1,0.6481670924670274,
C1,73102,selected,delta4,0.6838285020330096,
C1,73102,fixed512,PRIMARY,0.6675268624501648,
C1,73102,fixed512,delta2,0.6593694879532573,
C1,73102,fixed512,irregular,0.6756842369470724,
C1,73102,fixed512,delta1,0.6481670924670274,
C1,73102,fixed512,delta4,0.6838285020330096,
C2,73102,selected,PRIMARY,0.6784061906343006,
C2,73102,selected,delta2,0.6772995369055173,
C2,73102,selected,irregular,0.6795128443630841,
C2,73102,selected,delta1,0.6716659028486265,
C2,73102,selected,delta4,0.6844565610787186,
C2,73102,fixed512,PRIMARY,0.6767075534640289,
C2,73102,fixed512,delta2,0.6732407939985302,
C2,73102,fixed512,irregular,0.6801743129295277,
C2,73102,fixed512,delta1,0.6874118070496129,
C2,73102,fixed512,delta4,0.6906491087782322,
C3,73102,selected,PRIMARY,0.6785050447128411,
C3,73102,selected,delta2,0.6773910687012968,
C3,73102,selected,irregular,0.6796190207243857,
C3,73102,selected,delta1,0.6716067995639561,
C3,73102,selected,delta4,0.6846403483975693,
C3,73102,fixed512,PRIMARY,0.6790195835232506,
C3,73102,fixed512,delta2,0.6755403348772862,
C3,73102,fixed512,irregular,0.6824988321692151,
C3,73102,fixed512,delta1,0.690874448156873,
C3,73102,fixed512,delta4,0.6924521926147876,
