method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
C3,C2,selected,PRIMARY,73101,0.6685674727647326,0.6686816306423919,0.01707208220295629,-0.04145074355583753,0.0788010237060975,2000
C3,C2,selected,PRIMARY,73102,0.6785050447128413,0.6784061906343006,-0.01457151775815663,-0.04829085410704476,0.01716080123845804,2000
C3,C2,selected,PRIMARY,MEAN,0.673536258738787,0.6735439106383463,0.001136065435149032,-0.03888354476695576,0.04034222670497992,2000
C3,C0,selected,PRIMARY,73101,0.6685674727647326,0.6892906687836109,3.006452423829913,-1.2963439229341496,9.585820178307117,2000
C3,C0,selected,PRIMARY,73102,0.6785050447128413,0.6853963558234799,1.0054490444961433,-4.037532688356866,7.189845683356246,2000
C3,C0,selected,PRIMARY,MEAN,0.673536258738787,0.6873435123035454,2.008785027807297,-2.5273996504963216,8.210136798852645,2000
C3,C1,selected,PRIMARY,73101,0.6685674727647326,0.6693248720478322,0.11315869389139703,-2.531049597706002,2.862960814811815,2000
C3,C1,selected,PRIMARY,73102,0.6785050447128413,0.6675268624501649,-1.6446053155645148,-7.653509860132021,3.022574998347067,2000
C3,C1,selected,PRIMARY,MEAN,0.673536258738787,0.6684258672489986,-0.7645412513463856,-4.712657159568904,2.8936202561015616,2000
C3,C2,selected,delta1,73101,0.6663125578302319,0.6670570164523485,0.11160344674521006,0.027230460263250336,0.2305149549607943,2000
C3,C2,selected,delta1,73102,0.6716067995639561,0.6716659028486265,0.008799506483764931,-0.03440344790453808,0.05735363622636034,2000
C3,C2,selected,delta1,MEAN,0.6689596786970939,0.6693614596504875,0.06002451255610051,0.005750045397541021,0.13516079041382878,2000
C3,C0,selected,delta1,73101,0.6663125578302319,0.6619732841223567,-0.6555058658640943,-4.209218911391281,3.721660344661117,2000
C3,C0,selected,delta1,73102,0.6716067995639561,0.6665093453936518,-0.7647986041806554,-6.151219775843013,3.955075588744939,2000
C3,C0,selected,delta1,MEAN,0.6689596786970939,0.6642413147580042,-0.7103388232947756,-4.830577422502478,3.825499818809285,2000
C3,C1,selected,delta1,73101,0.6663125578302319,0.6521035040138639,-2.1789568264712114,-5.702345880748196,1.4697637402419617,2000
C3,C1,selected,delta1,73102,0.6716067995639561,0.6481670924670274,-3.616306253332516,-10.316459163712974,1.3870632561874354,2000
C3,C1,selected,delta1,MEAN,0.6689596786970939,0.6501352982404456,-2.8954558393607424,-7.894985738493571,1.3646495274565087,2000
C3,C2,selected,delta2,73101,0.665843056946574,0.6660132435931477,0.02555304240732467,-0.03574265778058558,0.09601233798136666,2000
C3,C2,selected,delta2,73102,0.6773910687012968,0.6772995369055173,-0.013514226836442609,-0.051838699963992166,0.025078634393224532,2000
C3,C2,selected,delta2,MEAN,0.6716170628239354,0.6716563902493324,0.005855289396179152,-0.033272549484340684,0.04747115303844589,2000
C3,C0,selected,delta2,73101,0.665843056946574,0.6921370334475601,3.7989552979147523,-2.2249266221009742,11.550600934185919,2000
C3,C0,selected,delta2,73102,0.6773910687012968,0.689838082680312,1.8043384805102747,-5.4207356707885594,9.833908608887883,2000
C3,C0,selected,delta2,MEAN,0.6716170628239354,0.690987558063936,2.8033059371248825,-3.513390797704263,10.493712156596702,2000
C3,C1,selected,delta2,73101,0.665843056946574,0.6609460623854615,-0.7409068363972743,-3.612433287110509,1.831581588721459,2000
C3,C1,selected,delta2,73102,0.6773910687012968,0.6593694879532573,-2.733153577363751,-8.702328207855478,1.8833029549414746,2000
C3,C1,selected,delta2,MEAN,0.6716170628239354,0.6601577751693595,-1.7358407468027053,-5.737746466765601,1.703997089571089,2000
C3,C2,selected,delta4,73101,0.6835966242709907,0.683541218650035,-0.008105673724410121,-0.05965599502790632,0.03256422905128187,2000
C3,C2,selected,delta4,73102,0.6846403483975693,0.6844565610787186,-0.026851567988633432,-0.07701594750512333,0.016570640198928288,2000
C3,C2,selected,delta4,MEAN,0.68411848633428,0.6839988898643767,-0.01748489239901261,-0.0646455358497362,0.01659686628264291,2000
C3,C0,selected,delta4,73101,0.6835966242709907,0.6975707650121982,2.003257797216193,-1.6810749575930484,5.1196315050353896,2000
C3,C0,selected,delta4,73102,0.6846403483975693,0.7018198405908483,2.447849319679535,-0.5109627608100384,5.322189587295985,2000
C3,C0,selected,delta4,MEAN,0.68411848633428,0.6996953028015233,2.2262285318873776,-1.0004055571321564,5.181385917499297,2000
C3,C1,selected,delta4,73101,0.6835966242709907,0.6859776035083499,0.3470928533500244,-2.932387233947566,3.447644872054749,2000
C3,C1,selected,delta4,73102,0.6846403483975693,0.6838285020330096,-0.11872075559092095,-4.170043488253323,3.6761750828783466,2000
C3,C1,selected,delta4,MEAN,0.68411848633428,0.6849030527706798,0.11455145852043405,-3.034434518506755,3.3371233880932754,2000
C3,C2,selected,irregular,73101,0.6712918885828913,0.671350017691636,0.008658539839556183,-0.048932736328626,0.0631412824600994,2000
C3,C2,selected,irregular,73102,0.6796190207243857,0.6795128443630841,-0.015625364874615955,-0.051054960752333595,0.016980907779912128,2000
C3,C2,selected,irregular,MEAN,0.6754554546536385,0.6754314310273601,-0.003556782402302657,-0.04490647842387835,0.033488800804879204,2000
