role,origin,phase,horizon_end
TRAIN,336,0,408
TRAIN,504,0,576
TRAIN,648,0,720
TRAIN,817,1,889
TRAIN,985,1,1057
TRAIN,1129,1,1201
TRAIN,1298,2,1370
TRAIN,1466,2,1538
TRAIN,1611,3,1683
TRAIN,1779,3,1851
TRAIN,1947,3,2019
TRAIN,2116,4,2188
TRAIN,2260,4,2332
TRAIN,2428,4,2500
TRAIN,2597,5,2669
TRAIN,2741,5,2813
TRAIN,2910,6,2982
TRAIN,3078,6,3150
TRAIN,3222,6,3294
TRAIN,3391,7,3463
TRAIN,3559,7,3631
TRAIN,3703,7,3775
TRAIN,3872,8,3944
TRAIN,4040,8,4112
TRAIN,4185,9,4257
TRAIN,4353,9,4425
TRAIN,4521,9,4593
TRAIN,4666,10,4738
TRAIN,4834,10,4906
TRAIN,5002,10,5074
TRAIN,5147,11,5219
TRAIN,5315,11,5387
TRAIN,5484,12,5556
TRAIN,5652,12,5724
TRAIN,5796,12,5868
TRAIN,5965,13,6037
TRAIN,6133,13,6205
TRAIN,6277,13,6349
TRAIN,6446,14,6518
TRAIN,6614,14,6686
TRAIN,6759,15,6831
TRAIN,6927,15,6999
TRAIN,7095,15,7167
TRAIN,7240,16,7312
TRAIN,7408,16,7480
TRAIN,7576,16,7648
TRAIN,7721,17,7793
TRAIN,7889,17,7961
TRAIN,8058,18,8130
TRAIN,8202,18,8274
TRAIN,8370,18,8442
TRAIN,8539,19,8611
TRAIN,8683,19,8755
TRAIN,8851,19,8923
TRAIN,9020,20,9092
TRAIN,9188,20,9260
TRAIN,9333,21,9405
TRAIN,9501,21,9573
TRAIN,9669,21,9741
TRAIN,9814,22,9886
TRAIN,9982,22,10054
TRAIN,10150,22,10222
TRAIN,10295,23,10367
TRAIN,10440,0,10512
V_SELECT,10535,23,10607
V_SELECT,10560,0,10632
V_SELECT,10633,1,10705
V_SELECT,10682,2,10754
V_SELECT,10731,3,10803
V_SELECT,10779,3,10851
V_SELECT,10852,4,10924
V_SELECT,10901,5,10973
V_SELECT,10950,6,11022
V_SELECT,10998,6,11070
V_SELECT,11071,7,11143
V_SELECT,11120,8,11192
V_SELECT,11169,9,11241
V_SELECT,11217,9,11289
V_SELECT,11290,10,11362
V_SELECT,11339,11,11411
V_SELECT,11388,12,11460
V_SELECT,11436,12,11508
V_SELECT,11509,13,11581
V_SELECT,11558,14,11630
V_SELECT,11607,15,11679
V_SELECT,11655,15,11727
V_SELECT,11728,16,11800
V_SELECT,11777,17,11849
V_SELECT,11826,18,11898
V_SELECT,11874,18,11946
V_SELECT,11947,19,12019
V_SELECT,11996,20,12068
V_SELECT,12045,21,12117
V_SELECT,12093,21,12165
V_SELECT,12166,22,12238
V_SELECT,12192,0,12264
V_CAL,12287,23,12359
V_CAL,12312,0,12384
V_CAL,12385,1,12457
V_CAL,12434,2,12506
V_CAL,12483,3,12555
V_CAL,12531,3,12603
V_CAL,12604,4,12676
V_CAL,12653,5,12725
V_CAL,12702,6,12774
V_CAL,12750,6,12822
V_CAL,12823,7,12895
V_CAL,12872,8,12944
V_CAL,12921,9,12993
V_CAL,12969,9,13041
V_CAL,13042,10,13114
V_CAL,13091,11,13163
V_CAL,13140,12,13212
V_CAL,13188,12,13260
V_CAL,13261,13,13333
V_CAL,13310,14,13382
V_CAL,13359,15,13431
V_CAL,13407,15,13479
V_CAL,13480,16,13552
V_CAL,13529,17,13601
V_CAL,13578,18,13650
V_CAL,13626,18,13698
V_CAL,13699,19,13771
V_CAL,13748,20,13820
V_CAL,13797,21,13869
V_CAL,13845,21,13917
V_CAL,13918,22,13990
V_CAL,13944,0,14016
E_DISCOVERY,14039,23,14111
E_DISCOVERY,14064,0,14136
E_DISCOVERY,14136,0,14208
E_DISCOVERY,14185,1,14257
E_DISCOVERY,14233,1,14305
E_DISCOVERY,14281,1,14353
E_DISCOVERY,14354,2,14426
E_DISCOVERY,14402,2,14474
E_DISCOVERY,14451,3,14523
E_DISCOVERY,14523,3,14595
