role,origin,phase,horizon_end
TRAIN,336,0,408
TRAIN,337,1,409
TRAIN,338,2,410
TRAIN,339,3,411
TRAIN,340,4,412
TRAIN,341,5,413
TRAIN,342,6,414
TRAIN,343,7,415
TRAIN,344,8,416
TRAIN,345,9,417
TRAIN,346,10,418
TRAIN,347,11,419
TRAIN,348,12,420
TRAIN,349,13,421
TRAIN,350,14,422
TRAIN,351,15,423
TRAIN,352,16,424
TRAIN,353,17,425
TRAIN,354,18,426
TRAIN,355,19,427
TRAIN,356,20,428
TRAIN,357,21,429
TRAIN,358,22,430
TRAIN,359,23,431
TRAIN,5376,0,5448
TRAIN,5377,1,5449
TRAIN,5378,2,5450
TRAIN,5379,3,5451
TRAIN,5380,4,5452
TRAIN,5381,5,5453
TRAIN,5382,6,5454
TRAIN,5383,7,5455
TRAIN,5384,8,5456
TRAIN,5385,9,5457
TRAIN,5386,10,5458
TRAIN,5387,11,5459
TRAIN,5388,12,5460
TRAIN,5389,13,5461
TRAIN,5390,14,5462
TRAIN,5391,15,5463
TRAIN,10431,15,10503
TRAIN,10432,16,10504
TRAIN,10433,17,10505
TRAIN,10434,18,10506
TRAIN,10435,19,10507
TRAIN,10436,20,10508
TRAIN,10437,21,10509
TRAIN,10438,22,10510
TRAIN,10439,23,10511
TRAIN,10440,0,10512
TRAIN,10441,1,10513
TRAIN,10442,2,10514
TRAIN,10443,3,10515
TRAIN,10444,4,10516
TRAIN,10445,5,10517
TRAIN,10446,6,10518
TRAIN,10447,7,10519
TRAIN,10448,8,10520
TRAIN,10449,9,10521
TRAIN,10450,10,10522
TRAIN,10451,11,10523
TRAIN,10452,12,10524
TRAIN,10453,13,10525
TRAIN,10454,14,10526
V_SELECT,10526,14,10598
V_SELECT,10527,15,10599
V_SELECT,10528,16,10600
V_SELECT,10529,17,10601
V_SELECT,10530,18,10602
V_SELECT,10531,19,10603
V_SELECT,10532,20,10604
V_SELECT,10533,21,10605
V_SELECT,10534,22,10606
V_SELECT,10535,23,10607
V_SELECT,10536,0,10608
V_SELECT,10537,1,10609
V_SELECT,10538,2,10610
V_SELECT,10539,3,10611
V_SELECT,10540,4,10612
V_SELECT,10541,5,10613
V_SELECT,10542,6,10614
V_SELECT,10543,7,10615
V_SELECT,10544,8,10616
V_SELECT,10545,9,10617
V_SELECT,10546,10,10618
V_SELECT,10547,11,10619
V_SELECT,10548,12,10620
V_SELECT,10549,13,10621
V_SELECT,12192,0,12264
V_SELECT,12193,1,12265
V_SELECT,12194,2,12266
V_SELECT,12195,3,12267
V_SELECT,12196,4,12268
V_SELECT,12197,5,12269
V_SELECT,12198,6,12270
V_SELECT,12199,7,12271
V_CAL,12280,16,12352
V_CAL,12281,17,12353
V_CAL,12282,18,12354
V_CAL,12283,19,12355
V_CAL,12284,20,12356
V_CAL,12285,21,12357
V_CAL,12286,22,12358
V_CAL,12287,23,12359
V_CAL,12288,0,12360
V_CAL,12289,1,12361
V_CAL,12290,2,12362
V_CAL,12291,3,12363
V_CAL,12292,4,12364
V_CAL,12293,5,12365
V_CAL,12294,6,12366
V_CAL,12295,7,12367
V_CAL,12296,8,12368
V_CAL,12297,9,12369
V_CAL,12298,10,12370
V_CAL,12299,11,12371
V_CAL,12300,12,12372
V_CAL,12301,13,12373
V_CAL,12302,14,12374
V_CAL,12303,15,12375
V_CAL,13944,0,14016
V_CAL,13945,1,14017
V_CAL,13946,2,14018
V_CAL,13947,3,14019
V_CAL,13948,4,14020
V_CAL,13949,5,14021
V_CAL,13950,6,14022
V_CAL,13951,7,14023
E_DISCOVERY,14035,19,14107
E_DISCOVERY,14036,20,14108
E_DISCOVERY,14037,21,14109
E_DISCOVERY,14038,22,14110
E_DISCOVERY,14039,23,14111
E_DISCOVERY,14040,0,14112
E_DISCOVERY,14041,1,14113
E_DISCOVERY,14042,2,14114
E_DISCOVERY,14043,3,14115
E_DISCOVERY,14044,4,14116
E_DISCOVERY,14045,5,14117
E_DISCOVERY,14046,6,14118
E_DISCOVERY,14047,7,14119
E_DISCOVERY,14048,8,14120
E_DISCOVERY,14049,9,14121
E_DISCOVERY,14050,10,14122
E_DISCOVERY,14051,11,14123
E_DISCOVERY,14052,12,14124
E_DISCOVERY,14053,13,14125
E_DISCOVERY,14054,14,14126
E_DISCOVERY,14055,15,14127
E_DISCOVERY,14056,16,14128
E_DISCOVERY,14057,17,14129
E_DISCOVERY,14058,18,14130
E_DISCOVERY,15744,0,15816
E_DISCOVERY,15745,1,15817
E_DISCOVERY,15746,2,15818
E_DISCOVERY,15747,3,15819
E_DISCOVERY,15748,4,15820
E_DISCOVERY,15749,5,15821
E_DISCOVERY,15750,6,15822
E_DISCOVERY,15751,7,15823
E_DISCOVERY,15752,8,15824
E_DISCOVERY,15753,9,15825
E_DISCOVERY,15754,10,15826
E_DISCOVERY,15755,11,15827
E_DISCOVERY,15756,12,15828
E_DISCOVERY,15757,13,15829
E_DISCOVERY,15758,14,15830
E_DISCOVERY,15759,15,15831
E_DISCOVERY,17449,1,17521
E_DISCOVERY,17450,2,17522
E_DISCOVERY,17451,3,17523
E_DISCOVERY,17452,4,17524
E_DISCOVERY,17453,5,17525
E_DISCOVERY,17454,6,17526
E_DISCOVERY,17455,7,17527
E_DISCOVERY,17456,8,17528
E_DISCOVERY,17457,9,17529
E_DISCOVERY,17458,10,17530
E_DISCOVERY,17459,11,17531
E_DISCOVERY,17460,12,17532
E_DISCOVERY,17461,13,17533
E_DISCOVERY,17462,14,17534
E_DISCOVERY,17463,15,17535
E_DISCOVERY,17464,16,17536
E_DISCOVERY,17465,17,17537
E_DISCOVERY,17466,18,17538
E_DISCOVERY,17467,19,17539
E_DISCOVERY,17468,20,17540
E_DISCOVERY,17469,21,17541
E_DISCOVERY,17470,22,17542
E_DISCOVERY,17471,23,17543
E_DISCOVERY,17472,0,17544
