role,origin,phase,horizon_end
TRAIN,336,0,384
TRAIN,576,0,624
TRAIN,816,0,864
TRAIN,1081,1,1129
TRAIN,1321,1,1369
TRAIN,1561,1,1609
TRAIN,1802,2,1850
TRAIN,2042,2,2090
TRAIN,2283,3,2331
TRAIN,2547,3,2595
TRAIN,2787,3,2835
TRAIN,3028,4,3076
TRAIN,3268,4,3316
TRAIN,3508,4,3556
TRAIN,3749,5,3797
TRAIN,4013,5,4061
TRAIN,4254,6,4302
TRAIN,4494,6,4542
TRAIN,4734,6,4782
TRAIN,4975,7,5023
TRAIN,5215,7,5263
TRAIN,5479,7,5527
TRAIN,5720,8,5768
TRAIN,5960,8,6008
TRAIN,6201,9,6249
TRAIN,6441,9,6489
TRAIN,6705,9,6753
TRAIN,6946,10,6994
TRAIN,7186,10,7234
TRAIN,7426,10,7474
TRAIN,7667,11,7715
TRAIN,7907,11,7955
TRAIN,8172,12,8220
TRAIN,8412,12,8460
TRAIN,8652,12,8700
TRAIN,8893,13,8941
TRAIN,9133,13,9181
TRAIN,9373,13,9421
TRAIN,9638,14,9686
TRAIN,9878,14,9926
TRAIN,10119,15,10167
TRAIN,10359,15,10407
TRAIN,10599,15,10647
TRAIN,10864,16,10912
TRAIN,11104,16,11152
TRAIN,11344,16,11392
TRAIN,11585,17,11633
TRAIN,11825,17,11873
TRAIN,12066,18,12114
TRAIN,12330,18,12378
TRAIN,12570,18,12618
TRAIN,12811,19,12859
TRAIN,13051,19,13099
TRAIN,13291,19,13339
TRAIN,13532,20,13580
TRAIN,13796,20,13844
TRAIN,14037,21,14085
TRAIN,14277,21,14325
TRAIN,14517,21,14565
TRAIN,14758,22,14806
TRAIN,14998,22,15046
TRAIN,15262,22,15310
TRAIN,15503,23,15551
TRAIN,15720,0,15768
V_SELECT,15791,23,15839
V_SELECT,15840,0,15888
V_SELECT,15937,1,15985
V_SELECT,16010,2,16058
V_SELECT,16107,3,16155
V_SELECT,16179,3,16227
V_SELECT,16276,4,16324
V_SELECT,16349,5,16397
V_SELECT,16446,6,16494
V_SELECT,16518,6,16566
V_SELECT,16615,7,16663
V_SELECT,16688,8,16736
V_SELECT,16785,9,16833
V_SELECT,16857,9,16905
V_SELECT,16954,10,17002
V_SELECT,17027,11,17075
V_SELECT,17124,12,17172
V_SELECT,17196,12,17244
V_SELECT,17293,13,17341
V_SELECT,17366,14,17414
V_SELECT,17463,15,17511
V_SELECT,17535,15,17583
V_SELECT,17632,16,17680
V_SELECT,17705,17,17753
V_SELECT,17802,18,17850
V_SELECT,17874,18,17922
V_SELECT,17971,19,18019
V_SELECT,18044,20,18092
V_SELECT,18141,21,18189
