track,phase,native_forwards
N01,main_training,8192
N01,discarded_smoke_training,8
N01,smoke_native_and_restore_checks,16
N01,selected_fixed_checkpoint_restore,16
N01,validation_prediction,12672
N01,evaluation_prediction,14336
N02,main_training,8192
N02,discarded_smoke_training,8
N02,smoke_native_and_restore_checks,16
N02,selected_fixed_checkpoint_restore,16
N02,validation_prediction,1408
N02,evaluation_prediction,960
N03,main_training,8192
N03,discarded_smoke_training,8
N03,smoke_native_and_restore_checks,16
N03,selected_fixed_checkpoint_restore,16
N03,validation_prediction,2816
N03,evaluation_prediction,2048
R04,main_training,16384
R04,discarded_smoke_training,16
R04,smoke_native_and_restore_checks,16
R04,selected_fixed_checkpoint_restore,32
R04,frozen_reference_cache,384
R04,validation_prediction,2816
R04,evaluation_prediction,2048
N07,main_training,8192
N07,discarded_smoke_training,8
N07,smoke_native_and_restore_checks,16
N07,selected_fixed_checkpoint_restore,16
N07,validation_prediction,1408
N07,evaluation_prediction,1024
R08,main_training,8192
R08,discarded_smoke_training,8
R08,smoke_native_and_restore_checks,16
R08,selected_fixed_checkpoint_restore,16
R08,frozen_reference_cache,192
R08,validation_prediction,1408
R08,evaluation_prediction,512
R09,main_training,10240
R09,discarded_smoke_training,10
R09,smoke_native_and_restore_checks,20
R09,selected_fixed_checkpoint_restore,20
R09,frozen_reference_cache,192
R09,validation_prediction,1760
R09,evaluation_prediction,1088
R04_R09,fixed_gradient_probes,64
