arm,buffers_unchanged,frozen_unchanged,id,initial_lora_hash,lr,optimizer_seconds,peak_allocated_bytes,peak_reserved_bytes,seconds,seed,started_at,status,trainable_parameters,updates
A0,True,True,A0_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.445210266974755,780150784,817889280,87.8638808040123,73100,1789563099.4551852,COMPLETE,1179648,512
A0,True,True,A0_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.608896710007684,780150784,822083584,78.20353123699897,73100,1789563188.4054732,COMPLETE,1179648,512
A1,True,True,A1_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.724153567658504,780150784,822083584,88.01067439100007,73100,1789563267.5814946,COMPLETE,1179648,512
A1,True,True,A1_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.281924476323184,780150784,822083584,79.15407763599069,73100,1789563356.5593026,COMPLETE,1179648,512
A2,True,True,A2_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.467878070950974,784345600,822083584,88.82529689901276,73100,1789563436.6822588,COMPLETE,1179684,512
A2,True,True,A2_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.41160920463153,784345600,822083584,79.31735977099743,73100,1789563526.4366064,COMPLETE,1179684,512
A3,True,True,A3_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.79011174282641,784358400,822083584,89.26502258199616,73100,1789563606.7294617,COMPLETE,1179688,512
A3,True,True,A3_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.75638206771691,784358400,822083584,79.61784882299253,73100,1789563696.964048,COMPLETE,1179688,512
A0,True,True,A0_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,49.91515366567182,780150784,822083584,88.45626481500221,73101,1789563777.5897415,COMPLETE,1179648,512
A1,True,True,A1_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,49.692172604613006,780150784,822083584,88.01366084101028,73101,1789563867.0167437,COMPLETE,1179648,512
A2,True,True,A2_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,50.640311405732064,784345600,822083584,89.35606384198763,73101,1789563955.999892,COMPLETE,1179684,512
A3,True,True,A3_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,50.81291088851867,784358400,822083584,89.4925707669754,73101,1789564046.328518,COMPLETE,1179688,512
A0,True,True,A0_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,49.79255167962401,780150784,822083584,88.24647166900104,73102,1789564136.8036962,COMPLETE,1179648,512
A1,True,True,A1_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,49.74908446916379,780150784,822083584,88.4249490959919,73102,1789564226.0123017,COMPLETE,1179648,512
A2,True,True,A2_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,50.56576041918015,784345600,822083584,89.05646149400854,73102,1789564315.4080303,COMPLETE,1179684,512
A3,True,True,A3_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,50.86292488273466,784358400,822083584,89.51629986800253,73102,1789564405.4288664,COMPLETE,1179688,512
