arm,seed,policy,condition,score,revision
A0,73101,selected,PRIMARY,0.28019079441537414,
A0,73101,selected,d0_c0,0.3703401978302619,
A0,73101,selected,d0_c1,0.2831314987047982,
A0,73101,selected,d0_c2,0.010932207497266845,
A0,73101,selected,d0_c3,0.35034496502096685,
A0,73101,selected,d6_c0,0.3683397504865323,
A0,73101,selected,d6_c1,0.32553065516903146,
A0,73101,selected,d6_c2,0.012545731557255317,
A0,73101,selected,d6_c3,0.3966485614194533,
A0,73101,selected,d24_c0,0.3864527640350116,
A0,73101,selected,d24_c1,0.3576126087215043,
A0,73101,selected,d24_c2,0.010287144934287937,
A0,73101,selected,d24_c3,0.38410913899991705,
A0,73101,selected,d12_c0,0.36954854208365717,
A0,73101,selected,d12_c1,0.30303182216823993,
A0,73101,selected,d12_c2,0.01004771212296688,
A0,73101,selected,d12_c3,0.39257447866494527,
A0,73101,selected,all24,0.2716272520552814,
A0,73101,fixed512,PRIMARY,0.307619039803956,
A0,73101,fixed512,d0_c0,0.4487151193863161,
A0,73101,fixed512,d0_c1,0.3063310542852116,
A0,73101,fixed512,d0_c2,0.013656377167312156,
A0,73101,fixed512,d0_c3,0.3350389910731299,
A0,73101,fixed512,d6_c0,0.4527968887703931,
A0,73101,fixed512,d6_c1,0.36519694654377083,
A0,73101,fixed512,d6_c2,0.016247624797853535,
A0,73101,fixed512,d6_c3,0.3712828004605954,
A0,73101,fixed512,d24_c0,0.49323768119571554,
A0,73101,fixed512,d24_c1,0.3926475834883562,
A0,73101,fixed512,d24_c2,0.015318815810667132,
A0,73101,fixed512,d24_c3,0.35422397736429617,
A0,73101,fixed512,d12_c0,0.4584466313321784,
A0,73101,fixed512,d12_c1,0.3452387612574644,
A0,73101,fixed512,d12_c2,0.014539069184655714,
A0,73101,fixed512,d12_c3,0.37463556103473444,
A0,73101,fixed512,all24,0.3031273788478691,
A1,73101,selected,PRIMARY,0.37035670795164277,
A1,73101,selected,d0_c0,0.3537617573835502,
A1,73101,selected,d0_c1,0.22807857095940834,
A1,73101,selected,d0_c2,0.004905474538103144,
A1,73101,selected,d0_c3,0.33203718274259714,
A1,73101,selected,d6_c0,0.39053808341472945,
A1,73101,selected,d6_c1,0.24709878135252733,
A1,73101,selected,d6_c2,0.04694422563364235,
A1,73101,selected,d6_c3,0.42366434848695267,
A1,73101,selected,d24_c0,0.7621246085384648,
A1,73101,selected,d24_c1,0.4054469399886704,
A1,73101,selected,d24_c2,0.1354267099784736,
A1,73101,selected,d24_c3,0.5516099662196818,
A1,73101,selected,d12_c0,0.4898998073303328,
A1,73101,selected,d12_c1,0.29328222294471434,
A1,73101,selected,d12_c2,0.09708944143449541,
A1,73101,selected,d12_c3,0.4552061421473535,
A1,73101,selected,all24,0.6442732701233709,
A1,73101,fixed512,PRIMARY,0.3262205486651988,
A1,73101,fixed512,d0_c0,0.4334505922588123,
A1,73101,fixed512,d0_c1,0.27865841758986676,
A1,73101,fixed512,d0_c2,0.010787707194653596,
A1,73101,fixed512,d0_c3,0.3613276526817877,
A1,73101,fixed512,d6_c0,0.4501975991735814,
A1,73101,fixed512,d6_c1,0.2882772743382778,
A1,73101,fixed512,d6_c2,0.01615263736737495,
A1,73101,fixed512,d6_c3,0.4011812672813186,
A1,73101,fixed512,d24_c0,0.6246374428522288,
A1,73101,fixed512,d24_c1,0.30892563702377135,
A1,73101,fixed512,d24_c2,0.04950021994803219,
A1,73101,fixed512,d24_c3,0.47089231133700493,
A1,73101,fixed512,d12_c0,0.4906787885804077,
A1,73101,fixed512,d12_c1,0.29634649970586174,
A1,73101,fixed512,d12_c2,0.021790819879083653,
A1,73101,fixed512,d12_c3,0.42424338905706493,
A1,73101,fixed512,all24,0.42959033812739555,
A2,73101,selected,PRIMARY,0.38481422490832584,
A2,73101,selected,d0_c0,0.3530585452483292,
A2,73101,selected,d0_c1,0.22816628820802345,
A2,73101,selected,d0_c2,0.004761870818985269,
A2,73101,selected,d0_c3,0.3326979190168002,
A2,73101,selected,d6_c0,0.39845130025379527,
A2,73101,selected,d6_c1,0.24965913898247033,
