id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
A0_73100_1e-04,64,8,512,0,0.376953125
A0_73100_3e-05,64,8,512,0,0.330078125
A1_73100_1e-04,64,8,512,0,0.443359375
A1_73100_3e-05,64,8,512,0,0.494140625
A2_73100_1e-04,64,8,512,0,0.447265625
A2_73100_3e-05,64,8,512,0,0.51171875
A3_73100_1e-04,64,8,512,0,0.451171875
A3_73100_3e-05,64,8,512,0,0.51171875
A0_73101_1e-04,64,8,512,0,0.3828125
A1_73101_3e-05,64,8,512,0,0.51171875
A2_73101_3e-05,64,8,512,0,0.525390625
A3_73101_3e-05,64,8,512,0,0.525390625
A0_73102_1e-04,64,8,512,0,0.390625
A1_73102_3e-05,64,8,512,0,0.5
A2_73102_3e-05,64,8,512,0,0.521484375
A3_73102_3e-05,64,8,512,0,0.517578125
