method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
A3,A2,selected,PRIMARY,73101,0.38564441455403464,0.38481422490832584,-0.21573777474223482,-0.2651099195438069,-0.03411132143322656,2000
A3,A2,selected,PRIMARY,73102,0.40823643939493437,0.4076827640686489,-0.13581033467292772,-0.14761621025227395,-0.07355552780462844,2000
A3,A2,selected,PRIMARY,MEAN,0.3969404269744845,0.39624849448848737,-0.17462084919473203,-0.20429565242426606,-0.05402920706168109,2000
A3,A1,selected,PRIMARY,73101,0.38564441455403464,0.37035670795164277,-4.127833052341521,-5.822573875337764,-2.210572997514352,2000
A3,A1,selected,PRIMARY,73102,0.40823643939493437,0.39286723979658833,-3.912059352748176,-5.198146667021298,-1.8072888991839757,2000
A3,A1,selected,PRIMARY,MEAN,0.3969404269744845,0.38161197387411555,-4.01676418712832,-5.496773297375279,-2.006490954593684,2000
A3,A0,selected,PRIMARY,73101,0.38564441455403464,0.28019079441537414,-37.63636145102212,-86.52783451391397,-0.8608071804860813,2000
A3,A0,selected,PRIMARY,73102,0.40823643939493437,0.2671047854492024,-52.83756100003389,-104.9647913043933,-5.960929711057731,2000
A3,A0,selected,PRIMARY,MEAN,0.3969404269744845,0.2736477899322883,-45.055228501097666,-95.68600412207358,-3.373793138526546,2000
A3,A2,selected,all24,73101,0.6680112651186946,0.6669940810468594,-0.15250271340319305,-0.1645058127418371,-0.0840895734010106,2000
A3,A2,selected,all24,73102,0.698655388800596,0.6984679048812035,-0.026842166702617843,-0.03122314719577192,0.005296889522588996,2000
A3,A2,selected,all24,MEAN,0.6833333269596453,0.6827309929640315,-0.088224205700525,-0.0960161631538363,-0.044433280227172266,2000
A3,A1,selected,all24,73101,0.6680112651186946,0.6442732701233709,-3.6844606312439665,-4.205863701108628,-2.2832716497405405,2000
A3,A1,selected,all24,73102,0.698655388800596,0.6757399113274596,-3.391168271845893,-3.8833618054581196,-2.1727343817218325,2000
A3,A1,selected,all24,MEAN,0.6833333269596453,0.6600065907254152,-3.534318681362198,-4.039879702057306,-2.2444329132991814,2000
A3,A0,selected,all24,73101,0.6680112651186946,0.2716272520552814,-145.92939775525227,-318.28043762988216,-41.66077417854399,2000
A3,A0,selected,all24,73102,0.698655388800596,0.26560366885902115,-163.0443290945024,-332.13867502240015,-47.19857826368497,2000
A3,A0,selected,all24,MEAN,0.6833333269596453,0.26861546045715123,-154.39091472869583,-325.2893310305723,-44.417151522238484,2000
A3,A2,selected,d0_c0,73101,0.3526674407802644,0.3530585452483292,0.11077609459634952,-0.15651105229959267,0.23990557004388754,2000
A3,A2,selected,d0_c0,73102,0.3489159174406899,0.3489903755442837,0.021335288538451864,-0.022499741945814732,0.08825603772171421,2000
A3,A2,selected,d0_c0,MEAN,0.35079167911047715,0.3510244603963064,0.06631483332143134,-0.032907810166479444,0.1554900243922568,2000
A3,A1,selected,d0_c0,73101,0.3526674407802644,0.3537617573835502,0.3093371684320674,0.07787763566592208,0.5701499078641373,2000
A3,A1,selected,d0_c0,73102,0.3489159174406899,0.3504009073836706,0.4237974022580654,0.07941117908415252,0.7348367791958663,2000
A3,A1,selected,d0_c0,MEAN,0.35079167911047715,0.3520813323836104,0.3662941356198055,0.13032779279564535,0.6517298734598914,2000
A3,A0,selected,d0_c0,73101,0.3526674407802644,0.3703401978302619,4.772033161276608,-3.0789606076329163,6.344647614009849,2000
A3,A0,selected,d0_c0,73102,0.3489159174406899,0.3796480500918305,8.0949006965022,-4.577947503018884,13.483004291339931,2000
A3,A0,selected,d0_c0,MEAN,0.35079167911047715,0.3749941239610462,6.454086425387072,-3.829596579992406,10.019226916828691,2000
A3,A2,selected,d0_c1,73101,0.2280792574277464,0.22816628820802345,0.03814357544253231,-0.0028185995513755283,0.10537035618773843,2000
A3,A2,selected,d0_c1,73102,0.2267967550905843,0.2266813689942027,-0.05090232906815159,-0.09920322830739518,-0.011161649212182614,2000
A3,A2,selected,d0_c1,MEAN,0.22743800625916535,0.22742382860111307,-0.00623402487746794,-0.016627497880617865,0.004458502616719384,2000
A3,A1,selected,d0_c1,73101,0.2280792574277464,0.22807857095940834,-0.0003009788842392784,-0.253867005549033,0.2113040885961717,2000
A3,A1,selected,d0_c1,73102,0.2267967550905843,0.2252368775752988,-0.6925497867302011,-1.0580383333646668,-0.13753688220805996,2000
A3,A1,selected,d0_c1,MEAN,0.22743800625916535,0.2266577242673536,-0.34425563670240755,-0.6547208007978315,-0.017997237358523297,2000
A3,A0,selected,d0_c1,73101,0.2280792574277464,0.2831314987047982,19.44405392154936,8.51474038120159,30.663911346907618,2000
A3,A0,selected,d0_c1,73102,0.2267967550905843,0.2688255893626483,15.634238679327018,4.820264920600172,24.899273174989627,2000
A3,A0,selected,d0_c1,MEAN,0.22743800625916535,0.27597854403372324,17.588518681592312,6.726989916188587,27.8939497337193,2000
A3,A2,selected,d0_c2,73101,0.004743489440010908,0.004761870818985269,0.3860117099581048,0.05072331959470062,0.9715429377013246,2000
A3,A2,selected,d0_c2,73102,0.004649180503615603,0.00465457455465278,0.11588709072851414,-0.06924002005984767,0.6277709430316922,2000
A3,A2,selected,d0_c2,MEAN,0.004696334971813256,0.004708222686819025,0.2524883761137677,-0.010569122089472955,0.8084063377661538,2000
A3,A1,selected,d0_c2,73101,0.004743489440010908,0.004905474538103144,3.3021290159396544,-0.003000027938300783,9.679494613746428,2000
A3,A1,selected,d0_c2,73102,0.004649180503615603,0.004708168648916376,1.2528893864995503,-1.6963987668100904,8.07901458363516,2000
A3,A1,selected,d0_c2,MEAN,0.004696334971813256,0.00480682159350976,2.298538016174445,-0.7843874600787797,8.925613402933847,2000
A3,A0,selected,d0_c2,73101,0.004743489440010908,0.010932207497266845,56.609957858951866,21.429771083509355,62.85096210698409,2000
A3,A0,selected,d0_c2,73102,0.004649180503615603,0.009261136299949988,49.79902732194202,16.751832104410322,56.51840955679556,2000
A3,A0,selected,d0_c2,MEAN,0.004696334971813256,0.010096671898608417,53.486306983387934,19.27317497915516,59.86258160035612,2000
A3,A2,selected,d0_c3,73101,0.3328774942559224,0.3326979190168002,-0.05397546208070554,-0.0839856185337432,0.026359821652183105,2000
A3,A2,selected,d0_c3,73102,0.3348795841970147,0.3347475517832066,-0.03944238370221496,-0.07689712260072573,0.05229555714610885,2000
A3,A2,selected,d0_c3,MEAN,0.33387853922646854,0.3337227354000034,-0.046686608354201714,-0.08042367990336095,0.0019532867715867513,2000
