id,arm,seed,updates,optimizer_seconds,seconds,trainable_parameters,peak_allocated_bytes,peak_reserved_bytes,status
C0_73100_1e-04,C0,73100,512,50.27668638966861,66.62308949101134,1179648,780150784,817889280,COMPLETE
C0_73100_3e-05,C0,73100,512,50.51057875281549,64.27790149798966,1179648,780150784,819986432,COMPLETE
C1_73100_1e-04,C1,73100,512,50.28143976078718,65.92225365902414,1179648,780150784,822083584,COMPLETE
C1_73100_3e-05,C1,73100,512,50.509421607042896,64.31345566301025,1179648,780150784,819986432,COMPLETE
C2_73100_1e-04,C2,73100,512,50.58944003997021,66.4238169049786,1179648,780150784,822083584,COMPLETE
C2_73100_3e-05,C2,73100,512,50.229533244099,63.779219363990705,1179648,780150784,819986432,COMPLETE
C3_73100_1e-04,C3,73100,512,51.51208284572931,67.45613491800032,1179652,784361984,822083584,COMPLETE
C3_73100_3e-05,C3,73100,512,51.73269078345038,65.61946076402091,1179652,784361984,819986432,COMPLETE
C0_73101_1e-04,C0,73101,512,51.44853931313264,67.32884955199552,1179648,780150784,822083584,COMPLETE
C1_73101_1e-04,C1,73101,512,50.483348023262806,66.35068949501147,1179648,780150784,822083584,COMPLETE
C2_73101_1e-04,C2,73101,512,51.00140521014691,66.85565096201026,1179648,780150784,822083584,COMPLETE
C3_73101_1e-04,C3,73101,512,51.63086147213471,67.7240725059819,1179652,784361984,822083584,COMPLETE
C0_73102_1e-04,C0,73102,512,50.75207129927003,66.34709420398576,1179648,780150784,822083584,COMPLETE
C1_73102_1e-04,C1,73102,512,50.77462626880151,66.61944118200336,1179648,780150784,822083584,COMPLETE
C2_73102_1e-04,C2,73102,512,50.867296656098915,66.81911653501447,1179648,780150784,822083584,COMPLETE
C3_73102_1e-04,C3,73102,512,51.46931673906511,67.48713478300488,1179652,784361984,822083584,COMPLETE
