arm,seed,policy,metric,value,bins
G0,73101,selected,low_predictable_spectral_MSE,0.03306184846016169,34
G0,73101,selected,remaining_spectral_MSE,0.09311947554759929,158
G0,73101,fixed512,low_predictable_spectral_MSE,0.03407554331857153,34
G0,73101,fixed512,remaining_spectral_MSE,0.1352412404526237,158
G1,73101,selected,low_predictable_spectral_MSE,0.03297862537649624,34
G1,73101,selected,remaining_spectral_MSE,0.09339213533183441,158
G1,73101,fixed512,low_predictable_spectral_MSE,0.03410142155897982,34
G1,73101,fixed512,remaining_spectral_MSE,0.14065043159687543,158
G2,73101,selected,low_predictable_spectral_MSE,0.03300494262854331,34
G2,73101,selected,remaining_spectral_MSE,0.09392475184652431,158
G2,73101,fixed512,low_predictable_spectral_MSE,0.03464186929076716,34
G2,73101,fixed512,remaining_spectral_MSE,0.13340918049446607,158
G3,73101,selected,low_predictable_spectral_MSE,0.03310422000864901,34
G3,73101,selected,remaining_spectral_MSE,0.09190688700992622,158
G3,73101,fixed512,low_predictable_spectral_MSE,0.034233594889498765,34
G3,73101,fixed512,remaining_spectral_MSE,0.14115790151276533,158
G0,73102,selected,low_predictable_spectral_MSE,0.033584868812985946,34
G0,73102,selected,remaining_spectral_MSE,0.09500678288351337,158
G0,73102,fixed512,low_predictable_spectral_MSE,0.03498774348519845,34
G0,73102,fixed512,remaining_spectral_MSE,0.1423631543630152,158
G1,73102,selected,low_predictable_spectral_MSE,0.03349018076838014,34
G1,73102,selected,remaining_spectral_MSE,0.09324949973646453,158
G1,73102,fixed512,low_predictable_spectral_MSE,0.033836122181763545,34
G1,73102,fixed512,remaining_spectral_MSE,0.1454162905995462,158
G2,73102,selected,low_predictable_spectral_MSE,0.033484401697113794,34
G2,73102,selected,remaining_spectral_MSE,0.09524533199759755,158
G2,73102,fixed512,low_predictable_spectral_MSE,0.035344452542734266,34
G2,73102,fixed512,remaining_spectral_MSE,0.15011474897140656,158
G3,73102,selected,low_predictable_spectral_MSE,0.0334219205653689,34
G3,73102,selected,remaining_spectral_MSE,0.09425231511125583,158
G3,73102,fixed512,low_predictable_spectral_MSE,0.034346238759657526,34
G3,73102,fixed512,remaining_spectral_MSE,0.15182624666098424,158
SPECTRAL_RIDGE,73101,selected,low_predictable_spectral_MSE,0.06999941319670744,34
SPECTRAL_RIDGE,73101,selected,remaining_spectral_MSE,0.4760936288210639,158
SPECTRAL_RIDGE,73102,selected,low_predictable_spectral_MSE,0.06999941319670744,34
SPECTRAL_RIDGE,73102,selected,remaining_spectral_MSE,0.4760936288210639,158
