arm,seed,policy,metric,value,n_pairs_channels
D0,73101,selected,high_innovation_revision_RMS,0.16668694176929516,28
D0,73101,fixed512,high_innovation_revision_RMS,0.29353176178429574,28
D1,73101,selected,high_innovation_revision_RMS,0.16668694176929516,28
D1,73101,fixed512,high_innovation_revision_RMS,0.26713245112878137,28
D2,73101,selected,high_innovation_revision_RMS,0.16668694176929516,28
D2,73101,fixed512,high_innovation_revision_RMS,0.2752504220340669,28
D3,73101,selected,high_innovation_revision_RMS,0.16668694176929516,28
D3,73101,fixed512,high_innovation_revision_RMS,0.28304088213475287,28
D0,73102,selected,high_innovation_revision_RMS,0.16668694176929516,28
D0,73102,fixed512,high_innovation_revision_RMS,0.33636111362023025,28
D1,73102,selected,high_innovation_revision_RMS,0.16668694176929516,28
D1,73102,fixed512,high_innovation_revision_RMS,0.2908977119335256,28
D2,73102,selected,high_innovation_revision_RMS,0.16668694176929516,28
D2,73102,fixed512,high_innovation_revision_RMS,0.30242186992093484,28
D3,73102,selected,high_innovation_revision_RMS,0.16668694176929516,28
D3,73102,fixed512,high_innovation_revision_RMS,0.30207662340896474,28
BLEND,73101,selected,high_innovation_revision_RMS,0.12501520632697138,28
BLEND,73102,selected,high_innovation_revision_RMS,0.12501520632697138,28
FROZEN,73101,selected,high_innovation_revision_RMS,0.16668694176929516,28
FROZEN,73102,selected,high_innovation_revision_RMS,0.16668694176929516,28
