method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
D3,D2,selected,PRIMARY,73101,0.37003370253366685,0.37003370253366685,0.0,0.0,0.0,2000
D3,D2,selected,PRIMARY,73102,0.37003370253366685,0.37003370253366685,0.0,0.0,0.0,2000
D3,D2,selected,PRIMARY,MEAN,0.37003370253366685,0.37003370253366685,0.0,0.0,0.0,2000
D3,D1,selected,PRIMARY,73101,0.37003370253366685,0.37003370253366685,0.0,0.0,0.0,2000
D3,D1,selected,PRIMARY,73102,0.37003370253366685,0.37003370253366685,0.0,0.0,0.0,2000
D3,D1,selected,PRIMARY,MEAN,0.37003370253366685,0.37003370253366685,0.0,0.0,0.0,2000
D3,BLEND,selected,PRIMARY,73101,0.37003370253366685,0.3706924442463532,0.17770572961789013,-0.18435094543092673,0.5260698561334387,2000
D3,BLEND,selected,PRIMARY,73102,0.37003370253366685,0.3706924442463532,0.17770572961789013,-0.18435094543092673,0.5260698561334387,2000
D3,BLEND,selected,PRIMARY,MEAN,0.37003370253366685,0.3706924442463532,0.17770572961789013,-0.18435094543092673,0.5260698561334387,2000
D3,D2,selected,REVISION,73101,0.12524122405038607,0.12524122405038607,0.0,0.0,0.0,2000
D3,D2,selected,REVISION,73102,0.12524122405038607,0.12524122405038607,0.0,0.0,0.0,2000
D3,D2,selected,REVISION,MEAN,0.12524122405038607,0.12524122405038607,0.0,0.0,0.0,2000
D3,D1,selected,REVISION,73101,0.12524122405038607,0.12524122405038607,0.0,0.0,0.0,2000
D3,D1,selected,REVISION,73102,0.12524122405038607,0.12524122405038607,0.0,0.0,0.0,2000
D3,D1,selected,REVISION,MEAN,0.12524122405038607,0.12524122405038607,0.0,0.0,0.0,2000
D3,BLEND,selected,REVISION,73101,0.12524122405038607,0.09393091803778957,-33.333333333333314,-33.33333333333336,-33.333333333333314,2000
D3,BLEND,selected,REVISION,73102,0.12524122405038607,0.09393091803778957,-33.333333333333314,-33.33333333333336,-33.333333333333314,2000
D3,BLEND,selected,REVISION,MEAN,0.12524122405038607,0.09393091803778957,-33.333333333333314,-33.33333333333336,-33.333333333333314,2000
D3,D2,fixed512,PRIMARY,73101,0.3867143741234418,0.384472438377201,-0.5831200165358094,-1.085573252325256,0.2567084597038452,2000
D3,D2,fixed512,PRIMARY,73102,0.394219619058057,0.39363253705203405,-0.14914468463905728,-0.4601198755096092,0.08237819190961002,2000
D3,D2,fixed512,PRIMARY,MEAN,0.3904669965907494,0.38905248771461753,-0.36357790293053155,-0.6906458904272061,0.16846450921136494,2000
D3,D1,fixed512,PRIMARY,73101,0.3867143741234418,0.38525380366286244,-0.37911902405446446,-1.8154802924757558,1.4766550688496953,2000
D3,D1,fixed512,PRIMARY,73102,0.394219619058057,0.3847119276552199,-2.471379419085223,-3.6618163473976373,-0.1336412550894926,2000
D3,D1,fixed512,PRIMARY,MEAN,0.3904669965907494,0.38498286565904116,-1.4245129902911693,-2.1646757360280517,0.6795904246760154,2000
D3,D2,fixed512,REVISION,73101,0.20912531815167673,0.20571180406846232,-1.659367141653365,-2.935295831426066,0.15651024755513981,2000
D3,D2,fixed512,REVISION,73102,0.22344377081776642,0.22349993152884562,0.025127842632894404,-1.1374943836325462,0.36426072726738423,2000
D3,D2,fixed512,REVISION,MEAN,0.21628454448472156,0.21460586779865398,-0.782213787202938,-1.1919936888943434,-0.43007098493984997,2000
D3,D1,fixed512,REVISION,73101,0.20912531815167673,0.19866699830280224,-5.264246169831506,-10.26742877770341,-2.6679129915406383,2000
D3,D1,fixed512,REVISION,73102,0.22344377081776642,0.20825884185494722,-7.291372998893146,-12.200062312708873,-5.27434327157209,2000
D3,D1,fixed512,REVISION,MEAN,0.21628454448472156,0.20346292007887473,-6.301700772247043,-11.27247295686983,-4.011484083578217,2000
