target,seed,arm,variant,condition,metric,score,n
T0,61730,E0,CALIBRATED,DELAYED,normalized_2pinball,0.10169500709501943,75
T0,61730,E0,CALIBRATED,MEAN,normalized_2pinball,0.09751641203206346,75
T0,61730,E0,CALIBRATED,S0,normalized_2pinball,0.08498062684319557,75
T0,61730,E0,CALIBRATED,S1,normalized_2pinball,0.09448025135201404,75
T0,61730,E0,CALIBRATED,S2,normalized_2pinball,0.09873892850948258,75
T0,61730,E0,CALIBRATED,S3,normalized_2pinball,0.11186584142356168,75
T0,61730,E0,RAW,DELAYED,normalized_2pinball,0.10250704012909574,75
T0,61730,E0,RAW,MEAN,normalized_2pinball,0.09762899706139905,75
T0,61730,E0,RAW,S0,normalized_2pinball,0.08299486785830897,75
T0,61730,E0,RAW,S1,normalized_2pinball,0.09507890036215391,75
T0,61730,E0,RAW,S2,normalized_2pinball,0.09930429781536115,75
T0,61730,E0,RAW,S3,normalized_2pinball,0.11313792220977215,75
T0,61730,E1,CALIBRATED,DELAYED,normalized_2pinball,0.09789571994225132,75
T0,61730,E1,CALIBRATED,MEAN,normalized_2pinball,0.09421517827427126,75
T0,61730,E1,CALIBRATED,S0,normalized_2pinball,0.08317355327033098,75
T0,61730,E1,CALIBRATED,S1,normalized_2pinball,0.0914110171108855,75
T0,61730,E1,CALIBRATED,S2,normalized_2pinball,0.09575154835846741,75
T0,61730,E1,CALIBRATED,S3,normalized_2pinball,0.10652459435740112,75
T0,61730,E1,RAW,DELAYED,normalized_2pinball,0.10044155606338193,75
T0,61730,E1,RAW,MEAN,normalized_2pinball,0.09622951773242887,75
T0,61730,E1,RAW,S0,normalized_2pinball,0.08359340273956965,75
T0,61730,E1,RAW,S1,normalized_2pinball,0.09392404705590093,75
T0,61730,E1,RAW,S2,normalized_2pinball,0.09799201428214431,75
T0,61730,E1,RAW,S3,normalized_2pinball,0.10940860685210055,75
T0,61730,E2,CALIBRATED,DELAYED,normalized_2pinball,0.09789571994225132,75
T0,61730,E2,CALIBRATED,MEAN,normalized_2pinball,0.09421517827427126,75
T0,61730,E2,CALIBRATED,S0,normalized_2pinball,0.08317355327033098,75
T0,61730,E2,CALIBRATED,S1,normalized_2pinball,0.0914110171108855,75
T0,61730,E2,CALIBRATED,S2,normalized_2pinball,0.09575154835846741,75
T0,61730,E2,CALIBRATED,S3,normalized_2pinball,0.10652459435740112,75
T0,61730,E2,RAW,DELAYED,normalized_2pinball,0.10044155606338193,75
T0,61730,E2,RAW,MEAN,normalized_2pinball,0.09622951773242887,75
T0,61730,E2,RAW,S0,normalized_2pinball,0.08359340273956965,75
T0,61730,E2,RAW,S1,normalized_2pinball,0.09392404705590093,75
