scope,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,rule
ALL,E4,E0,0.11804823294595634,0.11898421898923306,0.7866472135783092,-0.9307975249620376,3.0858058172127936,"max delayed case mean per seed/target, then equal average seeds/targets"
ALL,E4,E2,0.11804823294595634,0.11804823294595634,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
ALL,E4,E3,0.11804823294595634,0.11804823294595634,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
ADDITIONAL,E4,E0,0.12234837077248843,0.12180223286233272,-0.4483808689886585,-1.8447240678678034,1.640333542188175,"max delayed case mean per seed/target, then equal average seeds/targets"
ADDITIONAL,E4,E2,0.12234837077248843,0.12234837077248843,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
ADDITIONAL,E4,E3,0.12234837077248843,0.12234837077248843,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
T0,E4,E0,0.1094479572928922,0.11334819124303372,3.440931793767136,-0.38583798147502635,6.638755002253144,"max delayed case mean per seed/target, then equal average seeds/targets"
T0,E4,E2,0.1094479572928922,0.1094479572928922,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
T0,E4,E3,0.1094479572928922,0.1094479572928922,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
T1,E4,E0,0.10338015485150324,0.10770677816561437,4.017039027440162,2.7997191118540172,5.337908773274013,"max delayed case mean per seed/target, then equal average seeds/targets"
T1,E4,E2,0.10338015485150324,0.10338015485150324,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
T1,E4,E3,0.10338015485150324,0.10338015485150324,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
T2,E4,E0,0.14131658669347363,0.13589768755905107,-3.987484431674313,-6.363377720796142,-0.9135404544445535,"max delayed case mean per seed/target, then equal average seeds/targets"
T2,E4,E2,0.14131658669347363,0.14131658669347363,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
T2,E4,E3,0.14131658669347363,0.14131658669347363,0.0,0.0,0.0,"max delayed case mean per seed/target, then equal average seeds/targets"
