target,seed,arm,variant,worst_delayed_mean
T0,61730,E0,CALIBRATED,0.11186584142356168
T0,61730,E0,RAW,0.11313792220977215
T0,61730,E1,CALIBRATED,0.10652459435740112
T0,61730,E1,RAW,0.10940860685210055
T0,61730,E2,CALIBRATED,0.10652459435740112
T0,61730,E2,RAW,0.10940860685210055
T0,61730,E3,CALIBRATED,0.10652459435740112
T0,61730,E3,RAW,0.10940860685210055
T0,61730,E4,CALIBRATED,0.10652459435740112
T0,61730,E4,RAW,0.10940860685210055
T0,61731,E0,CALIBRATED,0.11208770935028674
T0,61731,E0,RAW,0.11355846027629539
T0,61731,E1,CALIBRATED,0.10732074560056974
T0,61731,E1,RAW,0.10948730773368394
T0,61731,E2,CALIBRATED,0.10732074560056974
T0,61731,E2,RAW,0.10948730773368394
T0,61731,E3,CALIBRATED,0.10732074560056974
T0,61731,E3,RAW,0.10948730773368394
T0,61731,E4,CALIBRATED,0.10732074560056974
T0,61731,E4,RAW,0.10948730773368394
T1,61730,E0,CALIBRATED,0.10699749234232475
T1,61730,E0,RAW,0.10758898333403849
T1,61730,E1,CALIBRATED,0.10200443235539047
T1,61730,E1,RAW,0.1033738363506671
T1,61730,E2,CALIBRATED,0.10200443235539047
T1,61730,E2,RAW,0.1033738363506671
T1,61730,E3,CALIBRATED,0.10200443235539047
T1,61730,E3,RAW,0.1033738363506671
T1,61730,E4,CALIBRATED,0.10200443235539047
T1,61730,E4,RAW,0.1033738363506671
T1,61731,E0,CALIBRATED,0.10707409952720812
T1,61731,E0,RAW,0.10782457299719034
T1,61731,E1,CALIBRATED,0.10169629219462349
T1,61731,E1,RAW,0.10338647335233948
T1,61731,E2,CALIBRATED,0.10169629219462349
T1,61731,E2,RAW,0.10338647335233948
T1,61731,E3,CALIBRATED,0.10169629219462349
T1,61731,E3,RAW,0.10338647335233948
T1,61731,E4,CALIBRATED,0.10169629219462349
T1,61731,E4,RAW,0.10338647335233948
T2,61730,E0,CALIBRATED,0.13494854931357986
T2,61730,E0,RAW,0.13461972164032746
T2,61730,E1,CALIBRATED,0.14062253760868862
T2,61730,E1,RAW,0.1403062191208189
T2,61730,E2,CALIBRATED,0.14062253760868862
T2,61730,E2,RAW,0.1403062191208189
T2,61730,E3,CALIBRATED,0.14062253760868862
T2,61730,E3,RAW,0.1403062191208189
T2,61730,E4,CALIBRATED,0.14062253760868862
T2,61730,E4,RAW,0.1403062191208189
T2,61731,E0,CALIBRATED,0.13678033842467044
T2,61731,E0,RAW,0.1371756534777748
T2,61731,E1,CALIBRATED,0.1415401111486521
T2,61731,E1,RAW,0.14232695426612837
T2,61731,E2,CALIBRATED,0.1415401111486521
T2,61731,E2,RAW,0.14232695426612837
T2,61731,E3,CALIBRATED,0.1415401111486521
T2,61731,E3,RAW,0.14232695426612837
T2,61731,E4,CALIBRATED,0.1415401111486521
T2,61731,E4,RAW,0.14232695426612837
