arm,buffers_unchanged,frozen_unchanged,id,initial_lora_hash,lr,optimizer_seconds,peak_allocated_bytes,peak_reserved_bytes,seconds,seed,started_at,status,trainable_parameters,updates
H0,True,True,H0_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.28078097614343,634260480,645922816,63.34500962900347,73100,1789570137.1770892,COMPLETE,1179648,512
H0,True,True,H0_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.41764083955786,633457664,650117120,62.36871544999303,73100,1789570201.5196466,COMPLETE,1179648,512
H1,True,True,H1_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.821030691906344,633459712,650117120,64.09805831298581,73100,1789570264.9129605,COMPLETE,1179652,512
H1,True,True,H1_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,51.20500492170686,633459712,650117120,63.37088028999278,73100,1789570329.9869106,COMPLETE,1179652,512
H2,True,True,H2_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.78423659715918,633461760,650117120,64.01828233897686,73100,1789570394.3243742,COMPLETE,1179656,512
H2,True,True,H2_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.69551007114933,633461760,650117120,62.60571509701549,73100,1789570459.3208752,COMPLETE,1179656,512
H3,True,True,H3_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.733086669351906,633461760,650117120,63.850382230011746,73100,1789570522.903015,COMPLETE,1179656,512
H3,True,True,H3_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.687129383324645,633461760,650117120,62.7688382990018,73100,1789570587.7195556,COMPLETE,1179656,512
H0,True,True,H0_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,49.70620888590929,633457664,650117120,62.67796316399472,73101,1789570651.479935,COMPLETE,1179648,512
H1,True,True,H1_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,50.60642372444272,633459712,650117120,63.840571479988284,73101,1789570715.1557045,COMPLETE,1179652,512
H2,True,True,H2_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,50.64685728389304,633461760,650117120,63.594365525001194,73101,1789570779.9950144,COMPLETE,1179656,512
H3,True,True,H3_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,50.954656062065624,633461760,650117120,64.05154264500015,73101,1789570844.5612624,COMPLETE,1179656,512
H0,True,True,H0_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,49.92965043155709,633457664,650117120,63.022228969988646,73102,1789570909.5941274,COMPLETE,1179648,512
H1,True,True,H1_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,50.72639965216513,633459712,650117120,63.915615166013595,73102,1789570973.5926242,COMPLETE,1179652,512
H2,True,True,H2_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,50.74183262596489,633461760,650117120,64.10990645500715,73102,1789571038.4903934,COMPLETE,1179656,512
H3,True,True,H3_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,50.9080030831974,633461760,650117120,63.88681711800746,73102,1789571103.5865974,COMPLETE,1179656,512
