id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
H0_73100_1e-04,64,8,512,0,0.0234375
H0_73100_3e-05,64,8,512,0,0.03515625
H1_73100_1e-04,64,8,512,0,0.0234375
H1_73100_3e-05,64,8,512,0,0.03515625
H2_73100_1e-04,64,8,512,0,0.0234375
H2_73100_3e-05,64,8,512,0,0.03515625
H3_73100_1e-04,64,8,512,0,0.0234375
H3_73100_3e-05,64,8,512,0,0.03515625
H0_73101_3e-05,64,8,512,0,0.025390625
H1_73101_3e-05,64,8,512,0,0.025390625
H2_73101_3e-05,64,8,512,0,0.0234375
H3_73101_3e-05,64,8,512,0,0.02734375
H0_73102_3e-05,64,8,512,0,0.029296875
H1_73102_3e-05,64,8,512,0,0.029296875
H2_73102_3e-05,64,8,512,0,0.02734375
H3_73102_3e-05,64,8,512,0,0.029296875
