arm,seed,policy,detailed_context_blocks,origins,normalized_RMSE,daily_mean_RMSE_normalized,pattern_RMSE_normalized
I0,73101,selected,1,5,0.5973036641949516,0.13463665132833771,0.579975474200818
I0,73101,selected,2,16,0.6135022460874732,0.2744430317458298,0.5304766673597013
I0,73101,selected,3,16,0.4908758205783107,0.18034832073720142,0.45552345993980087
I0,73101,selected,4,11,0.4520245280611144,0.23407661180555617,0.38285645776727895
I0,73101,selected,5,11,0.5600250659270727,0.3240088638040986,0.4090562168871663
I0,73101,selected,6,5,0.5599709334637847,0.33408003706844663,0.43636149521415873
I0,73101,fixed512,1,5,0.601495127684184,0.15007603165039562,0.5808858069618885
I0,73101,fixed512,2,16,0.6137696342643041,0.27863028725786354,0.5308987676612303
I0,73101,fixed512,3,16,0.5020198824622826,0.19187283517850326,0.4627421586648337
I0,73101,fixed512,4,11,0.45016958016996733,0.21613514208697515,0.3899798155927936
I0,73101,fixed512,5,11,0.5766118601447439,0.318198835750422,0.4444907670511578
I0,73101,fixed512,6,5,0.5599765447406894,0.32130594628857967,0.443124253359374
I1,73101,selected,1,5,0.6205287237484376,0.14710264670480622,0.6001990994200384
I1,73101,selected,2,16,0.6221885381848609,0.273551518671607,0.539068721325881
I1,73101,selected,3,16,0.5088553011059089,0.17261640864677164,0.4781260646868431
I1,73101,selected,4,11,0.4111929587315554,0.1915624561992828,0.361204352959591
I1,73101,selected,5,11,0.5230895543090555,0.29097465460291466,0.40103853169504544
I1,73101,selected,6,5,0.46688808214221195,0.22304848368374885,0.40780455925930725
I1,73101,fixed512,1,5,0.6205287237484376,0.14710264670480622,0.6001990994200384
I1,73101,fixed512,2,16,0.6221885381848609,0.273551518671607,0.539068721325881
I1,73101,fixed512,3,16,0.5088553011059089,0.17261640864677164,0.4781260646868431
I1,73101,fixed512,4,11,0.4111929587315554,0.1915624561992828,0.361204352959591
I1,73101,fixed512,5,11,0.5230895543090555,0.29097465460291466,0.40103853169504544
I1,73101,fixed512,6,5,0.46688808214221195,0.22304848368374885,0.40780455925930725
I2,73101,selected,1,5,0.6759837842330569,0.15562147178624203,0.6554888220090087
I2,73101,selected,2,16,0.8125239649019762,0.2657149666493772,0.753567686505487
I2,73101,selected,3,16,0.6791172043215439,0.17123917956795037,0.6552245683761035
I2,73101,selected,4,11,0.5641626808900082,0.16855241756076544,0.5291672112612038
I2,73101,selected,5,11,0.650748348214859,0.32499082927456874,0.522592008192029
I2,73101,selected,6,5,0.5928646437940661,0.30279047750914156,0.48249782309534944
I2,73101,fixed512,1,5,0.6759837842330569,0.15562147178624203,0.6554888220090087
I2,73101,fixed512,2,16,0.8125239649019762,0.2657149666493772,0.753567686505487
I2,73101,fixed512,3,16,0.6791172043215439,0.17123917956795037,0.6552245683761035
I2,73101,fixed512,4,11,0.5641626808900082,0.16855241756076544,0.5291672112612038
I2,73101,fixed512,5,11,0.650748348214859,0.32499082927456874,0.522592008192029
I2,73101,fixed512,6,5,0.5928646437940661,0.30279047750914156,0.48249782309534944
I3,73101,selected,1,5,0.6755402602563749,0.1519210018129611,0.6555893136417381
I3,73101,selected,2,16,0.7593688420278817,0.25669359942912107,0.6979172942120351
I3,73101,selected,3,16,0.5945577221286622,0.15053288347947152,0.5748718331268153
I3,73101,selected,4,11,0.529974032329412,0.18355617727268062,0.48821949714169677
I3,73101,selected,5,11,0.5268297775236017,0.24453529893833129,0.44413368701877565
I3,73101,selected,6,5,0.4788552743259784,0.1744560521068651,0.4442592504859886
I3,73101,fixed512,1,5,0.6647713161708264,0.16631643360124487,0.6412312026798479
I3,73101,fixed512,2,16,0.756768404655262,0.2704461020592971,0.6894715735706431
I3,73101,fixed512,3,16,0.5891033985563052,0.15405989639365314,0.5674180692925939
I3,73101,fixed512,4,11,0.4749657775165549,0.17352463687687777,0.4357624942830645
I3,73101,fixed512,5,11,0.5832801971535583,0.3200709095862536,0.4497481891469728
I3,73101,fixed512,6,5,0.5446944428030975,0.2768658333330572,0.4485665316333924
I4,73101,selected,1,5,0.6758876528072246,0.15159356179323047,0.6560447953502617
I4,73101,selected,2,16,0.7606265826027165,0.25598697631443973,0.699488991600617
I4,73101,selected,3,16,0.5961205323686158,0.15155118790678213,0.5762358838206769
I4,73101,selected,4,11,0.5357292306908792,0.18096241106475647,0.4947716999798376
I4,73101,selected,5,11,0.5234876473737081,0.24277284944910463,0.44225649607196044
I4,73101,selected,6,5,0.48422722231834264,0.17270471238516605,0.45053607661670364
I4,73101,fixed512,1,5,0.6677508542878952,0.1693950477153257,0.6442052719289693
I4,73101,fixed512,2,16,0.7595661483848486,0.2728648702922308,0.6904243007218045
I4,73101,fixed512,3,16,0.6010878443726781,0.17069028016280752,0.5741880761529259
I4,73101,fixed512,4,11,0.4842432799302452,0.17396933809667048,0.4464662073853056
I4,73101,fixed512,5,11,0.5724958677282918,0.30480572287714197,0.4495096748131929
I4,73101,fixed512,6,5,0.545009617839497,0.2687011581075329,0.4574610435858687
I0,73102,selected,1,5,0.6139283172667449,0.16614287950174889,0.5900212793470683
I0,73102,selected,2,16,0.5896675169183261,0.2759433154753973,0.5050885416378347
I0,73102,selected,3,16,0.48136052032312293,0.2004537018576334,0.436770392562614
I0,73102,selected,4,11,0.4448747243521136,0.2174442070303853,0.38108524412335454
I0,73102,selected,5,11,0.5613133563023021,0.31853607792714456,0.4258997333450972
I0,73102,selected,6,5,0.5846303834030353,0.3641603502096059,0.424880669144916
I0,73102,fixed512,1,5,0.5746949489499278,0.13230526306764923,0.5579360466901769
I0,73102,fixed512,2,16,0.5909659621336766,0.28504016351432704,0.5050138458957807
I0,73102,fixed512,3,16,0.4990618723151995,0.20112405211812892,0.4543120463709077
I0,73102,fixed512,4,11,0.4368490553020944,0.20802568587926618,0.379148983852114
I0,73102,fixed512,5,11,0.5998719113246276,0.3329668234885961,0.45139297867703665
I0,73102,fixed512,6,5,0.6170010962519283,0.39064987875851676,0.44162853266651325
I1,73102,selected,1,5,0.6449609839788363,0.14187849477022557,0.6265754773600045
I1,73102,selected,2,16,0.6377004511283615,0.29532601043086115,0.5510561334727306
