arm,seed,policy,metric,scalar,recorded
I0,73101,selected,daily_mean_RMSE_normalized,0.27910345008624193,0.2791034500862419
I0,73101,selected,daily_sum_RMSE_raw,252.7979571389464,252.7979571389464
I0,73101,selected,pattern_RMSE_normalized,0.47001278187997864,0.4700127818799787
I0,73101,fixed512,daily_mean_RMSE_normalized,0.2739989133796166,0.2739989133796166
I0,73101,fixed512,daily_sum_RMSE_raw,250.71782017330065,250.7178201733006
I0,73101,fixed512,pattern_RMSE_normalized,0.47880205488582017,0.4788020548858201
I1,73101,selected,daily_mean_RMSE_normalized,0.2481937850426139,0.2481937850426138
I1,73101,selected,daily_sum_RMSE_raw,222.15127608641032,222.1512760864103
I1,73101,selected,pattern_RMSE_normalized,0.4744476214937392,0.4744476214937391
I1,73101,fixed512,daily_mean_RMSE_normalized,0.2481937850426139,0.2481937850426138
I1,73101,fixed512,daily_sum_RMSE_raw,222.15127608641032,222.1512760864103
I1,73101,fixed512,pattern_RMSE_normalized,0.4744476214937392,0.4744476214937391
I2,73101,selected,daily_mean_RMSE_normalized,0.25750509750987727,0.2575050975098772
I2,73101,selected,daily_sum_RMSE_raw,229.4950854939808,229.4950854939808
I2,73101,selected,pattern_RMSE_normalized,0.6315084942212462,0.6315084942212463
I2,73101,fixed512,daily_mean_RMSE_normalized,0.25750509750987727,0.2575050975098772
I2,73101,fixed512,daily_sum_RMSE_raw,229.4950854939808,229.4950854939808
I2,73101,fixed512,pattern_RMSE_normalized,0.6315084942212462,0.6315084942212463
I3,73101,selected,daily_mean_RMSE_normalized,0.2219901296982609,0.2219901296982609
I3,73101,selected,daily_sum_RMSE_raw,204.22035490451407,204.22035490451407
I3,73101,selected,pattern_RMSE_normalized,0.5757067683052526,0.5757067683052526
I3,73101,fixed512,daily_mean_RMSE_normalized,0.2547806904589522,0.2547806904589522
I3,73101,fixed512,daily_sum_RMSE_raw,222.6702994026659,222.6702994026659
I3,73101,fixed512,pattern_RMSE_normalized,0.5643882025650918,0.5643882025650919
I4,73101,selected,daily_mean_RMSE_normalized,0.22089942847100502,0.220899428471005
I4,73101,selected,daily_sum_RMSE_raw,202.92579287300285,202.9257928730028
I4,73101,selected,pattern_RMSE_normalized,0.5776020368561532,0.5776020368561532
I4,73101,fixed512,daily_mean_RMSE_normalized,0.25286744236246866,0.2528674423624687
I4,73101,fixed512,daily_sum_RMSE_raw,223.80555217005366,223.8055521700537
I4,73101,fixed512,pattern_RMSE_normalized,0.5683691956978651,0.5683691956978651
I0,73102,selected,daily_mean_RMSE_normalized,0.2825638635290335,0.2825638635290335
I0,73102,selected,daily_sum_RMSE_raw,250.84520279490454,250.8452027949045
I0,73102,selected,pattern_RMSE_normalized,0.4609560305471004,0.4609560305471004
I0,73102,fixed512,daily_mean_RMSE_normalized,0.29023300252469786,0.2902330025246978
I0,73102,fixed512,daily_sum_RMSE_raw,262.4417312043188,262.4417312043188
I0,73102,fixed512,pattern_RMSE_normalized,0.4664648044858772,0.4664648044858771
I1,73102,selected,daily_mean_RMSE_normalized,0.23406327968218607,0.234063279682186
I1,73102,selected,daily_sum_RMSE_raw,224.88041208249683,224.8804120824968
I1,73102,selected,pattern_RMSE_normalized,0.4767151841304865,0.4767151841304865
I1,73102,fixed512,daily_mean_RMSE_normalized,0.2477358664027071,0.2477358664027071
I1,73102,fixed512,daily_sum_RMSE_raw,223.1673919240398,223.1673919240398
I1,73102,fixed512,pattern_RMSE_normalized,0.4766425876383274,0.4766425876383273
I2,73102,selected,daily_mean_RMSE_normalized,0.24098481837587937,0.2409848183758794
I2,73102,selected,daily_sum_RMSE_raw,214.99429113367586,214.99429113367583
I2,73102,selected,pattern_RMSE_normalized,0.619643806646538,0.619643806646538
I2,73102,fixed512,daily_mean_RMSE_normalized,0.24098481837587937,0.2409848183758794
I2,73102,fixed512,daily_sum_RMSE_raw,214.99429113367586,214.99429113367583
I2,73102,fixed512,pattern_RMSE_normalized,0.619643806646538,0.619643806646538
I3,73102,selected,daily_mean_RMSE_normalized,0.22146755785850766,0.2214675578585077
I3,73102,selected,daily_sum_RMSE_raw,204.91633403374024,204.9163340337402
I3,73102,selected,pattern_RMSE_normalized,0.5420691539275861,0.5420691539275861
I3,73102,fixed512,daily_mean_RMSE_normalized,0.2462311617271936,0.2462311617271936
I3,73102,fixed512,daily_sum_RMSE_raw,215.99491238170188,215.99491238170185
I3,73102,fixed512,pattern_RMSE_normalized,0.5606800670454651,0.560680067045465
I4,73102,selected,daily_mean_RMSE_normalized,0.2241616013726354,0.2241616013726354
I4,73102,selected,daily_sum_RMSE_raw,206.38917680243898,206.38917680243895
I4,73102,selected,pattern_RMSE_normalized,0.5368705158808958,0.5368705158808958
I4,73102,fixed512,daily_mean_RMSE_normalized,0.25830769896367456,0.2583076989636746
I4,73102,fixed512,daily_sum_RMSE_raw,225.21915176300354,225.21915176300357
I4,73102,fixed512,pattern_RMSE_normalized,0.559823757163241,0.5598237571632411
FROZEN,73101,selected,daily_mean_RMSE_normalized,0.21750436002883783,0.2175043600288378
FROZEN,73101,selected,daily_sum_RMSE_raw,210.5226949307992,210.5226949307992
FROZEN,73101,selected,pattern_RMSE_normalized,0.6763547394005018,0.676354739400502
FROZEN,73102,selected,daily_mean_RMSE_normalized,0.21750436002883783,0.2175043600288378
FROZEN,73102,selected,daily_sum_RMSE_raw,210.5226949307992,210.5226949307992
FROZEN,73102,selected,pattern_RMSE_normalized,0.6763547394005018,0.676354739400502
