arm,seed,policy,condition,channel,origin,normalized_MSE,raw_MAE
I0,73101,selected,standard,0,21048,0.3958638244031298,10.554893215497335
I0,73101,selected,standard,0,21120,0.1892571937401576,6.358992616335551
I0,73101,selected,standard,0,21192,0.4667249811501038,7.034674564997355
I0,73101,selected,standard,0,21288,2.709671441642534,28.4577912290891
I0,73101,selected,standard,0,21360,0.07889827764895964,2.75751531124115
I0,73101,selected,standard,0,21456,0.026110366782544334,2.5321674942970276
I0,73101,selected,standard,0,21528,0.0679083516363081,3.9918919603029885
I0,73101,selected,standard,0,21624,0.08578723248879178,3.4563347498575845
I0,73101,selected,standard,0,21696,0.35549144928541837,6.818466782569885
I0,73101,selected,standard,0,21792,0.018082709917607707,2.258871058622996
I0,73101,selected,standard,0,21864,0.09755554671674187,5.876103758811951
I0,73101,selected,standard,0,21960,0.04029737308730072,2.6279367407162986
I0,73101,selected,standard,0,22032,0.04107062080629876,3.05041233698527
I0,73101,selected,standard,0,22104,1.9774374972838276,20.460125108559925
I0,73101,selected,standard,0,22200,0.4255184342099338,7.032474597295125
I0,73101,selected,standard,0,22272,0.1448841279848567,4.833941161632538
I0,73101,selected,standard,0,22368,0.15736049115304482,5.0056464076042175
I0,73101,selected,standard,0,22440,0.3609215440964626,6.828157961368561
I0,73101,selected,standard,0,22536,0.2259920805812821,5.037502487500508
I0,73101,selected,standard,0,22608,0.6185384381170292,10.879022061824799
I0,73101,selected,standard,0,22704,3.1123337160317903,28.270095348358154
I0,73101,selected,standard,0,22776,6.255144897816076,51.19189369678497
I0,73101,selected,standard,0,22872,4.231392505174189,40.113101164499916
I0,73101,selected,standard,0,22944,0.1558250780509624,6.526383558909099
I0,73101,selected,standard,0,23040,0.97209662146626,16.12033987045288
I0,73101,selected,standard,0,23112,0.49403171089474024,8.434721151987711
I0,73101,selected,standard,0,23184,0.14318991296993827,6.464992205301921
I0,73101,selected,standard,0,23280,0.1658229648106125,5.342194398244222
I0,73101,selected,standard,0,23352,0.18387644887460375,4.655905564626058
I0,73101,selected,standard,0,23448,0.3074724986376787,8.74129327138265
I0,73101,selected,standard,0,23520,0.9186841289748889,14.351824283599854
I0,73101,selected,standard,0,23616,0.8532233916011686,12.929463386535645
I0,73101,selected,standard,0,23688,1.5013070832505104,21.392280737559002
I0,73101,selected,standard,0,23784,0.05075339952901372,3.9020435015360513
I0,73101,selected,standard,0,23856,0.07118535599901256,4.495555639266968
I0,73101,selected,standard,0,23952,0.0102163140685192,1.7617436250050862
I0,73101,selected,standard,0,24024,0.01752632156062787,2.465658664703369
I0,73101,selected,standard,0,24120,0.01546106683674623,2.014672120412191
I0,73101,selected,standard,0,24192,0.029798963963266895,3.349480559428533
I0,73101,selected,standard,0,24264,0.26736662591658644,5.512808193763097
I0,73101,selected,standard,0,24360,0.017977294263265414,2.5403428276379905
I0,73101,selected,standard,0,24432,0.2387159144326891,4.642279465993245
I0,73101,selected,standard,0,24528,0.018649439657731057,2.4845097859700522
I0,73101,selected,standard,0,24600,0.1370066862106228,3.4440743128458657
I0,73101,selected,standard,0,24696,0.012413292710541294,1.8499147097269695
I0,73101,selected,standard,0,24768,0.015820165199803927,1.898825426896413
I0,73101,selected,standard,0,24864,0.014275901164145385,2.173807680606842
I0,73101,selected,standard,0,24936,0.02057083841582857,2.1635728081067405
I0,73101,selected,standard,0,25032,0.026044911358158812,2.732517719268799
I0,73101,selected,standard,0,25104,1.2901244573688457,7.331046799818675
I0,73101,selected,standard,0,25200,0.02792333225895027,3.252468923727671
I0,73101,selected,standard,0,25272,0.0189492696176585,1.9235804478327434
I0,73101,selected,standard,0,25344,0.013495256633569305,2.02503768603007
I0,73101,selected,standard,0,25440,0.00994031460844107,1.3778633276621501
I0,73101,selected,standard,0,25512,0.024818854586247708,2.939437448978424
I0,73101,selected,standard,0,25608,0.024267687443667477,2.45074200630188
I0,73101,selected,standard,0,25680,0.03418672464403178,2.7193147341410318
I0,73101,selected,standard,0,25776,0.019872333409582596,1.9785135388374329
I0,73101,selected,standard,0,25848,0.010171289588347869,1.848232587178548
I0,73101,selected,standard,0,25944,0.0406641557176434,2.800321102142334
I0,73101,selected,standard,0,26016,0.06958433359723082,4.306854724884033
I0,73101,selected,standard,0,26112,0.0390271340149915,3.5979085763295493
I0,73101,selected,standard,0,26184,0.03421228694908319,3.254545748233795
I0,73101,selected,standard,0,26280,0.02012275647784759,1.870153586069743
I0,73101,selected,standard,1,21048,0.18563969835131142,7.018527348836263
I0,73101,selected,standard,1,21120,0.1930686410541099,6.53384272257487
I0,73101,selected,standard,1,21192,0.21531310023605288,7.095569928487142
I0,73101,selected,standard,1,21288,0.5510692249698258,11.901898384094238
I0,73101,selected,standard,1,21360,0.1465050398412963,6.251545270284017
I0,73101,selected,standard,1,21456,0.24000836890815833,7.161911964416504
I0,73101,selected,standard,1,21528,0.29039268747863894,8.384762128194174
I0,73101,selected,standard,1,21624,0.17582352952733946,6.162013689676921
I0,73101,selected,standard,1,21696,0.30803927882071575,8.853432655334473
I0,73101,selected,standard,1,21792,0.7810842839373958,12.929403305053711
I0,73101,selected,standard,1,21864,0.47567237166040305,10.970309575398764
I0,73101,selected,standard,1,21960,0.07537588513332226,3.724940617879232
I0,73101,selected,standard,1,22032,0.14328471265778844,6.258646011352539
I0,73101,selected,standard,1,22104,0.2873610328511445,8.115734736124674
I0,73101,selected,standard,1,22200,1.0214062034238758,16.7076899210612
I0,73101,selected,standard,1,22272,0.16111358712734553,5.718679745992024
I0,73101,selected,standard,1,22368,0.2551304331824353,7.113738059997559
I0,73101,selected,standard,1,22440,0.17392899130250242,5.679685592651367
I0,73101,selected,standard,1,22536,0.17050793433685354,6.68718687693278
I0,73101,selected,standard,1,22608,0.9793329372857666,10.903464635213217
I0,73101,selected,standard,1,22704,0.38154355088429814,7.992275238037109
I0,73101,selected,standard,1,22776,0.12887671718171426,5.7126007080078125
I0,73101,selected,standard,1,22872,0.17600368788424006,6.839126904805501
I0,73101,selected,standard,1,22944,0.1634420289924449,6.473649660746257
I0,73101,selected,standard,1,23040,0.07197452314866891,4.373600959777832
I0,73101,selected,standard,1,23112,0.225430822416278,7.218332290649414
I0,73101,selected,standard,1,23184,0.6717308363281845,11.630801518758139
I0,73101,selected,standard,1,23280,8.414307257628408,44.51171716054281
I0,73101,selected,standard,1,23352,0.2729352969244129,7.562792460123698
I0,73101,selected,standard,1,23448,1.350930455058358,14.08234723409017
I0,73101,selected,standard,1,23520,0.17558569798543144,6.527057647705078
I0,73101,selected,standard,1,23616,0.19673661450200375,7.155185699462891
I0,73101,selected,standard,1,23688,0.34632439784472213,8.687755266825357
I0,73101,selected,standard,1,23784,0.0324326205977781,3.0103575388590493
I0,73101,selected,standard,1,23856,0.3266978630900791,9.611873626708984
I0,73101,selected,standard,1,23952,0.23011330687535167,8.064660708109537
I0,73101,selected,standard,1,24024,0.5251456203136624,11.756386121114096
I0,73101,selected,standard,1,24120,0.1454819454189125,6.244000752766927
I0,73101,selected,standard,1,24192,0.2864656304163429,6.167281150817871
I0,73101,selected,standard,1,24264,0.06816058770472945,4.548932711283366
I0,73101,selected,standard,1,24360,0.34085124718703413,7.826135635375977
I0,73101,selected,standard,1,24432,0.12710870652358416,6.033305486043294
I0,73101,selected,standard,1,24528,0.4228280350351537,8.208551406860352
I0,73101,selected,standard,1,24600,0.13334559039399171,6.284505208333333
I0,73101,selected,standard,1,24696,0.7816989077926834,9.911402702331543
I0,73101,selected,standard,1,24768,0.07893302346495194,4.537720680236816
I0,73101,selected,standard,1,24864,0.22265133668531076,6.308297475179036
I0,73101,selected,standard,1,24936,0.15478988435510235,6.524392445882161
I0,73101,selected,standard,1,25032,0.1308549645088979,5.436164855957031
I0,73101,selected,standard,1,25104,0.12969751480562416,5.978071212768555
I0,73101,selected,standard,1,25200,0.1403085059372763,5.861394882202148
I0,73101,selected,standard,1,25272,0.2707804165796583,8.086633682250977
I0,73101,selected,standard,1,25344,0.3527378205073688,9.599513053894043
I0,73101,selected,standard,1,25440,0.20750391794733533,6.502659797668457
I0,73101,selected,standard,1,25512,0.34557657026614835,8.978279749552408
I0,73101,selected,standard,1,25608,0.10751259748014091,5.736728032430013
I0,73101,selected,standard,1,25680,0.07027180873814955,4.488023122151692
I0,73101,selected,standard,1,25776,0.1453668882562046,5.338240305582683
I0,73101,selected,standard,1,25848,0.08306215585733978,4.643183708190918
I0,73101,selected,standard,1,25944,0.07679909269088257,3.701995849609375
I0,73101,selected,standard,1,26016,0.3952999965132304,10.560167948404947
I0,73101,selected,standard,1,26112,0.9429327632974784,16.92208766937256
I0,73101,selected,standard,1,26184,0.12454163198873043,5.991679509480794
I0,73101,selected,standard,1,26280,0.10641107152464462,4.779543876647949
I0,73101,selected,standard,2,21048,9.15739275070858e-05,0.2801244854927063
I0,73101,selected,standard,2,21120,0.0005102261899002154,0.5577227274576823
I0,73101,selected,standard,2,21192,0.00033700261142363946,0.631093164285024
I0,73101,selected,standard,2,21288,0.000983740406907369,0.9647550384203593
I0,73101,selected,standard,2,21360,0.0005379264782806298,0.8182836572329203
I0,73101,selected,standard,2,21456,0.001016341737561568,1.0599236488342285
I0,73101,selected,standard,2,21528,0.00015180895881341635,0.5002900759379069
I0,73101,selected,standard,2,21624,0.0009145606126012553,0.9531402985254923
I0,73101,selected,standard,2,21696,0.0002351959661805351,0.5652023553848267
I0,73101,selected,standard,2,21792,0.0008777800724316254,0.9079561233520508
I0,73101,selected,standard,2,21864,0.000351063881947046,0.7418021957079569
I0,73101,selected,standard,2,21960,0.0006824774543330936,0.8867735664049784
I0,73101,selected,standard,2,22032,0.0001608988293805708,0.43910608688990277
I0,73101,selected,standard,2,22104,0.00012027682534446063,0.4049343665440877
I0,73101,selected,standard,2,22200,0.00027164873853132175,0.6512213945388794
I0,73101,selected,standard,2,22272,0.0002052712251325006,0.47836347421010333
I0,73101,selected,standard,2,22368,0.00010558586312291683,0.38100675741831463
I0,73101,selected,standard,2,22440,0.00019458666220487794,0.48629939556121826
I0,73101,selected,standard,2,22536,0.0002200683168708359,0.6026820143063863
I0,73101,selected,standard,2,22608,0.0002009871154106074,0.520499567190806
I0,73101,selected,standard,2,22704,0.0002683098848302769,0.647946814695994
I0,73101,selected,standard,2,22776,0.00011700738585047694,0.35863471031188965
I0,73101,selected,standard,2,22872,0.00026840221700718354,0.5582069754600525
I0,73101,selected,standard,2,22944,0.00014263163161445618,0.41703665256500244
I0,73101,selected,standard,2,23040,0.000361866742386416,0.6760215361913046
I0,73101,selected,standard,2,23112,0.00013804985316788772,0.45016680161158246
I0,73101,selected,standard,2,23184,0.0017118727505340125,1.3197843631108601
I0,73101,selected,standard,2,23280,0.00018012455322382833,0.5371435284614563
I0,73101,selected,standard,2,23352,0.0017950814768683745,1.1633449991544087
I0,73101,selected,standard,2,23448,0.00016289992568702,0.504052738348643
I0,73101,selected,standard,2,23520,0.0016821421462257149,1.1898760795593262
I0,73101,selected,standard,2,23616,9.915067175161349e-05,0.3316854039827983
I0,73101,selected,standard,2,23688,0.0016871348538305246,1.1254067023595173
I0,73101,selected,standard,2,23784,0.0001665850478847587,0.4502977132797241
I0,73101,selected,standard,2,23856,0.0017136559688910337,1.2923719485600789
I0,73101,selected,standard,2,23952,0.0003773172124666804,0.5660168131192526
I0,73101,selected,standard,2,24024,0.001752746050785334,1.093154768149058
I0,73101,selected,standard,2,24120,0.00010856609219205312,0.3665165702501933
I0,73101,selected,standard,2,24192,0.0017606994609228887,1.2771155039469402
I0,73101,selected,standard,2,24264,0.0001974100011339135,0.46592122316360474
