arm,seed,policy,condition,score,revision
I0,73101,selected,PRIMARY,0.554233989396607,
I0,73101,selected,standard,0.5542339893966071,
I0,73101,fixed512,PRIMARY,0.5578503353205986,
I0,73101,fixed512,standard,0.5578503353205986,
I1,73101,selected,PRIMARY,0.5417302428665923,
I1,73101,selected,standard,0.5417302428665924,
I1,73101,fixed512,PRIMARY,0.5417302428665923,
I1,73101,fixed512,standard,0.5417302428665924,
I2,73101,selected,PRIMARY,0.6963127660505339,
I2,73101,selected,standard,0.6963127660505339,
I2,73101,fixed512,PRIMARY,0.6963127660505339,
I2,73101,fixed512,standard,0.6963127660505339,
I3,73101,selected,PRIMARY,0.6239567405639734,
I3,73101,selected,standard,0.6239567405639734,
I3,73101,fixed512,PRIMARY,0.6315305816578514,
I3,73101,fixed512,standard,0.6315305816578514,
I4,73101,selected,PRIMARY,0.6252898533855802,
I4,73101,selected,standard,0.6252898533855802,
I4,73101,fixed512,PRIMARY,0.6334811273042651,
I4,73101,fixed512,standard,0.6334811273042652,
I0,73102,selected,PRIMARY,0.5484638964648998,
I0,73102,selected,standard,0.5484638964648998,
I0,73102,fixed512,PRIMARY,0.5571612574453068,
I0,73102,fixed512,standard,0.5571612574453068,
I1,73102,selected,PRIMARY,0.5346517065506925,
I1,73102,selected,standard,0.5346517065506925,
I1,73102,fixed512,PRIMARY,0.5424951909567718,
I1,73102,fixed512,standard,0.5424951909567718,
I2,73102,selected,PRIMARY,0.6759757401059678,
I2,73102,selected,standard,0.6759757401059678,
I2,73102,fixed512,PRIMARY,0.6759757401059678,
I2,73102,fixed512,standard,0.6759757401059678,
I3,73102,selected,PRIMARY,0.591508635905388,
I3,73102,selected,standard,0.591508635905388,
I3,73102,fixed512,PRIMARY,0.6237491765105712,
I3,73102,fixed512,standard,0.6237491765105709,
I4,73102,selected,PRIMARY,0.5880972264584209,
I4,73102,selected,standard,0.5880972264584209,
I4,73102,fixed512,PRIMARY,0.6292589156730659,
I4,73102,fixed512,standard,0.6292589156730659,
FROZEN,73101,selected,PRIMARY,0.7159413116810966,
FROZEN,73101,selected,standard,0.7159413116810966,
FROZEN,73102,selected,PRIMARY,0.7159413116810966,
FROZEN,73102,selected,standard,0.7159413116810966,
