series,variant,baseline,candidate,baseline_score,candidate_score,relative_gain_percent
10,ordered,SHARED,CONTINUATION,0.12220705718688187,0.12299172179880292,-0.6420779863155796
10,ordered,F0_NATIVE,CONTINUATION,0.12489228429058986,0.12299172179880292,1.5217613342429184
10,ordered,CHRONOS2_DIRECT,CONTINUATION,0.1250580513844879,0.12299172179880292,1.6522963238345088
104,ordered,SHARED,CONTINUATION,0.13622978646929385,0.13674391494836174,-0.3773979923133649
104,ordered,F0_NATIVE,CONTINUATION,0.14314983493134753,0.13674391494836174,4.474975459145983
104,ordered,CHRONOS2_DIRECT,CONTINUATION,0.14163771076229648,0.13674391494836174,3.4551503180870706
116,ordered,SHARED,CONTINUATION,0.1168059821968027,0.11745317113758857,-0.5540717424005258
116,ordered,F0_NATIVE,CONTINUATION,0.12210201199618229,0.11745317113758857,3.807341732205907
116,ordered,CHRONOS2_DIRECT,CONTINUATION,0.1274013576259855,0.11745317113758857,7.8085404062977135
118,ordered,SHARED,CONTINUATION,0.1161444577374752,0.11681599709249599,-0.5781931984552288
118,ordered,F0_NATIVE,CONTINUATION,0.1220417542929819,0.11681599709249599,4.281942053979821
118,ordered,CHRONOS2_DIRECT,CONTINUATION,0.12003709078106735,0.11681599709249599,2.6834153240569893
119,ordered,SHARED,CONTINUATION,0.11547593003745274,0.11585117279551271,-0.32495322439773366
119,ordered,F0_NATIVE,CONTINUATION,0.12101266302961189,0.11585117279551271,4.2652480367580665
119,ordered,CHRONOS2_DIRECT,CONTINUATION,0.12144488674134009,0.11585117279551271,4.605969090935191
36,ordered,SHARED,CONTINUATION,0.11592636885293739,0.11661712455733161,-0.5958572766740482
36,ordered,F0_NATIVE,CONTINUATION,0.12219878161131943,0.11661712455733161,4.567686338920733
36,ordered,CHRONOS2_DIRECT,CONTINUATION,0.11974457316369633,0.11661712455733161,2.61176646568304
44,ordered,SHARED,CONTINUATION,0.12319861412954433,0.12353726739116436,-0.27488398632790534
44,ordered,F0_NATIVE,CONTINUATION,0.12518982582327864,0.12353726739116436,1.32004212103233
44,ordered,CHRONOS2_DIRECT,CONTINUATION,0.12214978593030894,0.12353726739116436,-1.1358852987650996
62,ordered,SHARED,CONTINUATION,0.126351843034279,0.12714513332476357,-0.6278422786989858
62,ordered,F0_NATIVE,CONTINUATION,0.1286660367888461,0.12714513332476357,1.1820551110768225
62,ordered,CHRONOS2_DIRECT,CONTINUATION,0.12790042804915255,0.12714513332476357,0.5905333828114482
10,affine,SHARED,CONTINUATION,0.12220705718688187,0.12299172179880292,-0.6420779863155796
10,affine,F0_NATIVE,CONTINUATION,0.12240106218046123,0.12299172179880292,-0.48256086002820414
10,affine,CHRONOS2_DIRECT,CONTINUATION,0.1250580513844879,0.12299172179880292,1.6522963238345088
104,affine,SHARED,CONTINUATION,0.13622978646929385,0.13674391494836174,-0.3773979923133649
104,affine,F0_NATIVE,CONTINUATION,0.13951018975559895,0.13674391494836174,1.982847856549624
104,affine,CHRONOS2_DIRECT,CONTINUATION,0.14163771076229648,0.13674391494836174,3.4551503180870706
116,affine,SHARED,CONTINUATION,0.1168059821968027,0.11745317113758857,-0.5540717424005258
116,affine,F0_NATIVE,CONTINUATION,0.11951356847908008,0.11745317113758857,1.7239861278614266
116,affine,CHRONOS2_DIRECT,CONTINUATION,0.1274013576259855,0.11745317113758857,7.8085404062977135
118,affine,SHARED,CONTINUATION,0.1161444577374752,0.11681599709249599,-0.5781931984552288
118,affine,F0_NATIVE,CONTINUATION,0.11968735050239958,0.11681599709249599,2.399045010062298
118,affine,CHRONOS2_DIRECT,CONTINUATION,0.12003709078106735,0.11681599709249599,2.6834153240569893
119,affine,SHARED,CONTINUATION,0.11547593003745274,0.11585117279551271,-0.32495322439773366
119,affine,F0_NATIVE,CONTINUATION,0.11865737153203405,0.11585117279551271,2.3649594629388426
119,affine,CHRONOS2_DIRECT,CONTINUATION,0.12144488674134009,0.11585117279551271,4.605969090935191
36,affine,SHARED,CONTINUATION,0.11592636885293739,0.11661712455733161,-0.5958572766740482
36,affine,F0_NATIVE,CONTINUATION,0.11990100015499927,0.11661712455733161,2.7388225231003096
36,affine,CHRONOS2_DIRECT,CONTINUATION,0.11974457316369633,0.11661712455733161,2.61176646568304
44,affine,SHARED,CONTINUATION,0.12319861412954433,0.12353726739116436,-0.27488398632790534
44,affine,F0_NATIVE,CONTINUATION,0.1235936273781831,0.12353726739116436,0.04560104611727352
44,affine,CHRONOS2_DIRECT,CONTINUATION,0.12214978593030894,0.12353726739116436,-1.1358852987650996
62,affine,SHARED,CONTINUATION,0.126351843034279,0.12714513332476357,-0.6278422786989858
62,affine,F0_NATIVE,CONTINUATION,0.12594180491976245,0.12714513332476357,-0.955463839642254
62,affine,CHRONOS2_DIRECT,CONTINUATION,0.12790042804915255,0.12714513332476357,0.5905333828114482
