arm,seed,source,path_index,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80
CYCLE,61710,FIXED120,0,0.14184264473295763,61646.70533767136,133680.66080690248,86171.41769239637,0.7734375,238264.24181874594
CYCLE,61710,FIXED120,3,0.17812297522474474,77496.74730241291,166004.67607890716,107742.0068274604,0.71875,233395.92909034094
CYCLE,61710,SELECTED,0,0.14184264473295763,61646.70533767136,133680.66080690248,86171.41769239637,0.7734375,238264.24181874594
CYCLE,61710,SELECTED,3,0.17812297522474474,77496.74730241291,166004.67607890716,107742.0068274604,0.71875,233395.92909034094
CYCLE,61711,FIXED120,0,0.14339289481330642,62324.00427194827,134771.3581932387,87109.33687167698,0.765625,236380.40932973227
CYCLE,61711,FIXED120,3,0.1783575028162457,77623.39720128458,166075.63652934023,108124.66026136611,0.71875,231905.05619303387
CYCLE,61711,SELECTED,0,0.14339289481330642,62324.00427194827,134771.3581932387,87109.33687167698,0.765625,236380.40932973227
CYCLE,61711,SELECTED,3,0.1783575028162457,77623.39720128458,166075.63652934023,108124.66026136611,0.71875,231905.05619303387
EXODROP,61710,FIXED120,0,0.14872351116264945,64679.55462702716,139704.5349719788,89263.05623881023,0.765625,231574.62545776367
EXODROP,61710,FIXED120,3,0.18783493218505012,81855.838604239,169945.83374654606,112480.10773976643,0.6927083333333334,225240.9372329712
EXODROP,61710,SELECTED,0,0.14947867266943127,64334.834112598684,140815.22822035893,90480.13571675618,0.7994791666666666,256936.74162546793
EXODROP,61710,SELECTED,3,0.1771606306124279,76614.83120770591,165201.8824993667,107445.76884375678,0.7552083333333334,253247.1767578125
EXODROP,61711,FIXED120,0,0.1476590444021311,64162.14290963572,139454.48702168668,89060.32892693413,0.7578125,228421.57442220053
EXODROP,61711,FIXED120,3,0.18498783506771424,80578.05770793007,168707.29298380576,110561.4694281684,0.6979166666666666,222642.75628026327
EXODROP,61711,SELECTED,0,0.14947867266943127,64334.834112598684,140815.22822035893,90480.13571675618,0.7994791666666666,256936.74162546793
EXODROP,61711,SELECTED,3,0.1771606306124279,76614.83120770591,165201.8824993667,107445.76884375678,0.7552083333333334,253247.1767578125
INIT0,-1,INIT0,0,0.14947867266943127,64334.834112598684,140815.22822035893,90480.13571675618,0.7994791666666666,256936.74162546793
INIT0,-1,INIT0,3,0.1771606306124279,76614.83120770591,165201.8824993667,107445.76884375678,0.7552083333333334,253247.1767578125
REVERSE,61710,FIXED120,0,0.1420566081498638,61747.554696526095,133890.83115699023,86260.97440931531,0.7734375,237685.35111999512
REVERSE,61710,FIXED120,3,0.17831993406812324,77598.77176920148,166042.55586287766,107869.65106540255,0.71875,233081.80907471976
REVERSE,61710,SELECTED,0,0.1420566081498638,61747.554696526095,133890.83115699023,86260.97440931531,0.7734375,237685.35111999512
REVERSE,61710,SELECTED,3,0.17831993406812324,77598.77176920148,166042.55586287766,107869.65106540255,0.71875,233081.80907471976
REVERSE,61711,FIXED120,0,0.14323755899537344,62246.74521553222,134591.9548482995,87056.50015597873,0.7682291666666666,239475.8574295044
REVERSE,61711,FIXED120,3,0.17747988354706495,77241.33502074509,165642.808466478,107820.02318912082,0.71875,234894.76089223227
REVERSE,61711,SELECTED,0,0.14947867266943127,64334.834112598684,140815.22822035893,90480.13571675618,0.7994791666666666,256936.74162546793
REVERSE,61711,SELECTED,3,0.1771606306124279,76614.83120770591,165201.8824993667,107445.76884375678,0.7552083333333334,253247.1767578125
SHUFFLE,61710,FIXED120,0,0.14254951208701305,61922.9350179642,134335.66498849957,86686.45600891113,0.7760416666666666,233891.30564371747
SHUFFLE,61710,FIXED120,3,0.17904721599389145,77879.99166414028,166442.2976566739,107814.4525366889,0.7291666666666666,230266.31241989136
SHUFFLE,61710,SELECTED,0,0.14254951208701305,61922.9350179642,134335.66498849957,86686.45600891113,0.7760416666666666,233891.30564371747
SHUFFLE,61710,SELECTED,3,0.17904721599389145,77879.99166414028,166442.2976566739,107814.4525366889,0.7291666666666666,230266.31241989136
SHUFFLE,61711,FIXED120,0,0.14224724560209737,61844.48881273582,133664.66887861653,86501.47211880154,0.78125,236953.5978902181
SHUFFLE,61711,FIXED120,3,0.17752395058155335,77288.02152254943,165354.95322153092,107746.64786868625,0.7239583333333334,232753.59336471558
SHUFFLE,61711,SELECTED,0,0.14947867266943127,64334.834112598684,140815.22822035893,90480.13571675618,0.7994791666666666,256936.74162546793
SHUFFLE,61711,SELECTED,3,0.1771606306124279,76614.83120770591,165201.8824993667,107445.76884375678,0.7552083333333334,253247.1767578125
STD,61710,FIXED120,0,0.14927680483975098,65038.86146487564,138537.4233172462,89250.0582555135,0.7057291666666666,196202.03620656332
STD,61710,FIXED120,3,0.19559973399288358,85313.37955696389,173940.06165307353,114454.00223286946,0.6302083333333334,191467.3899269104
STD,61710,SELECTED,0,0.14947867266943127,64334.834112598684,140815.22822035893,90480.13571675618,0.7994791666666666,256936.74162546793
STD,61710,SELECTED,3,0.1771606306124279,76614.83120770591,165201.8824993667,107445.76884375678,0.7552083333333334,253247.1767578125
STD,61711,FIXED120,0,0.152981939855077,66626.42449052558,140524.2015493135,91206.68193562826,0.6822916666666666,186195.96125539145
STD,61711,FIXED120,3,0.1987317587078222,86688.85173875012,175314.83190317356,115578.13580830891,0.6197916666666666,181685.27590433756
STD,61711,SELECTED,0,0.14947867266943127,64334.834112598684,140815.22822035893,90480.13571675618,0.7994791666666666,256936.74162546793
STD,61711,SELECTED,3,0.1771606306124279,76614.83120770591,165201.8824993667,107445.76884375678,0.7552083333333334,253247.1767578125
