arm,source,path_index,month,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80
CYCLE,FIXED120,0,6,0.1591678217413102,60855.137302561765,134996.3977460443,86974.6566772461,0.8541666666666666,288558.3011372884
CYCLE,FIXED120,0,7,0.10456181590175864,46218.77529756011,101849.62518389012,64542.16073269314,0.8697916666666666,233428.4603068034
CYCLE,FIXED120,0,8,0.17306346178734294,82321.04347622342,167104.5591921331,111163.02759467231,0.6197916666666667,198545.09698486328
CYCLE,FIXED120,0,9,0.13367797966211628,58546.463142893954,132953.4558782148,83881.66412353514,0.734375,228757.4438680013
CYCLE,FIXED120,3,6,0.17151615299856252,64819.780763305185,144813.94258162045,93433.72667439778,0.7708333333333334,276560.1670633952
CYCLE,FIXED120,3,7,0.1572271875755239,68714.34370789402,148737.61761183586,99446.50624593098,0.7291666666666666,223600.07310581207
CYCLE,FIXED120,3,8,0.21378442191323366,101530.60152158707,209359.6706934233,132080.15063476562,0.6510416666666666,200347.66587320963
CYCLE,FIXED120,3,9,0.17043319359466086,75175.5630146087,161249.39432961523,106772.9506225586,0.7239583333333334,230094.06452433267
CYCLE,SELECTED,0,6,0.1591678217413102,60855.137302561765,134996.3977460443,86974.6566772461,0.8541666666666666,288558.3011372884
CYCLE,SELECTED,0,7,0.10456181590175864,46218.77529756011,101849.62518389012,64542.16073269314,0.8697916666666666,233428.4603068034
CYCLE,SELECTED,0,8,0.17306346178734294,82321.04347622342,167104.5591921331,111163.02759467231,0.6197916666666667,198545.09698486328
CYCLE,SELECTED,0,9,0.13367797966211628,58546.463142893954,132953.4558782148,83881.66412353514,0.734375,228757.4438680013
CYCLE,SELECTED,3,6,0.17151615299856252,64819.780763305185,144813.94258162045,93433.72667439778,0.7708333333333334,276560.1670633952
CYCLE,SELECTED,3,7,0.1572271875755239,68714.34370789402,148737.61761183586,99446.50624593098,0.7291666666666666,223600.07310581207
CYCLE,SELECTED,3,8,0.21378442191323366,101530.60152158707,209359.6706934233,132080.15063476562,0.6510416666666666,200347.66587320963
CYCLE,SELECTED,3,9,0.17043319359466086,75175.5630146087,161249.39432961523,106772.9506225586,0.7239583333333334,230094.06452433267
EXODROP,FIXED120,0,6,0.16026535514609916,61040.76448728854,135736.62652955577,87038.55849541558,0.8697916666666667,274982.6413828532
EXODROP,FIXED120,0,7,0.11146543779514789,49239.5519876692,110458.61248160707,68926.31128268772,0.84375,235008.09010823566
EXODROP,FIXED120,0,8,0.1805170766084912,85853.35812843606,171444.92384046965,115239.74680582683,0.609375,194299.67020670575
EXODROP,FIXED120,0,9,0.14051724157982287,61549.72046993195,140677.88113569852,85442.15374755858,0.7239583333333333,215701.9980621338
EXODROP,FIXED120,3,6,0.17291824942883724,65165.8962964836,143996.60504960743,92961.05411444769,0.7708333333333334,260852.08952840167
EXODROP,FIXED120,3,7,0.1600252155654763,69894.1145459832,147480.55919502547,100281.37675306533,0.7395833333333334,224344.77214813232
EXODROP,FIXED120,3,8,0.2266915116878475,107659.75266263448,212986.01101084595,140782.64938693578,0.5625,200829.457417806
EXODROP,FIXED120,3,9,0.18601055782336764,82148.02911923686,172843.07820522483,112058.0740814209,0.7083333333333334,209741.0679321289
EXODROP,SELECTED,0,6,0.18449978169923154,69655.92260570062,159091.79967248885,100821.4330681695,0.8645833333333333,309709.41131591797
EXODROP,SELECTED,0,7,0.1099093584876716,48391.198691847865,103164.77811166036,67022.35453287761,0.875,261649.3896891276
EXODROP,SELECTED,0,8,0.17201340679385474,81702.0980818233,169534.17284899563,111524.85586208767,0.6666666666666666,214415.94767252603
EXODROP,SELECTED,0,9,0.13149214369696727,57590.11707102296,131470.1622482909,82551.89940388997,0.7916666666666666,241972.21782430014
EXODROP,SELECTED,3,6,0.19290710535236544,72683.06104999845,160390.19207259032,107077.94937133789,0.8125,297163.2550048828
EXODROP,SELECTED,3,7,0.1477237951391293,64848.12226690464,138364.24927414278,92411.1743367513,0.7916666666666667,253266.72021484375
EXODROP,SELECTED,3,8,0.19832944837252275,94263.59022542319,199682.07847786788,125844.45933702256,0.6458333333333334,222540.64070638022
EXODROP,SELECTED,3,9,0.1696821735856941,74664.55128849736,162371.0101728659,104449.49232991537,0.7708333333333334,240018.09110514325
INIT0,INIT0,0,6,0.18449978169923154,69655.92260570062,159091.79967248885,100821.4330681695,0.8645833333333333,309709.41131591797
INIT0,INIT0,0,7,0.1099093584876716,48391.198691847865,103164.77811166036,67022.35453287761,0.875,261649.38968912757
INIT0,INIT0,0,8,0.17201340679385474,81702.0980818233,169534.17284899563,111524.85586208767,0.6666666666666666,214415.94767252603
INIT0,INIT0,0,9,0.13149214369696727,57590.11707102296,131470.1622482909,82551.89940388997,0.7916666666666666,241972.21782430014
INIT0,INIT0,3,6,0.19290710535236544,72683.06104999845,160390.19207259032,107077.94937133789,0.8125,297163.2550048828
INIT0,INIT0,3,7,0.1477237951391293,64848.12226690464,138364.24927414278,92411.1743367513,0.7916666666666667,253266.72021484375
INIT0,INIT0,3,8,0.19832944837252275,94263.59022542319,199682.07847786788,125844.45933702256,0.6458333333333334,222540.64070638022
INIT0,INIT0,3,9,0.1696821735856941,74664.55128849736,162371.0101728659,104449.49232991537,0.7708333333333334,240018.09110514325
REVERSE,FIXED120,0,6,0.15911569757755037,60835.193230134675,134941.15925515164,86865.15720621745,0.859375,289704.2613779704
REVERSE,FIXED120,0,7,0.10451107212510934,46182.14612293182,101710.66005525555,64502.86665852865,0.8697916666666666,234583.66955566406
REVERSE,FIXED120,0,8,0.17299991177612745,82293.32521095559,167079.37876698136,111189.74814181858,0.6197916666666667,199800.27630615234
REVERSE,FIXED120,0,9,0.13396165281168732,58677.935260094535,133234.3739331909,84077.17712402344,0.734375,230234.20985921225
