month,method,primary
6,F0,0.24823980018922454
6,PAST,0.29650076251504154
6,LATEST,0.184499796574454
6,MEAN_INPUT,0.18414885817747673
6,MIXTURE,0.1827689451418367
6,F0_CAL,0.26023242439731725
6,PAST_CAL,0.29807322268005865
6,LATEST_CAL,0.18575194488911928
6,MEAN_INPUT_CAL,0.1830057615011657
6,MIXTURE_CAL,0.18443936540563566
6,SEASONAL24,0.46087026332594744
6,SEASONAL168,0.2999344949742495
7,F0,0.17662257384039917
7,PAST,0.17062795390114988
7,LATEST,0.10990936492787039
7,MEAN_INPUT,0.11612215158313782
7,MIXTURE,0.11708019669611315
7,F0_CAL,0.17743513419083676
7,PAST_CAL,0.168457791473658
7,LATEST_CAL,0.1136846213315286
7,MEAN_INPUT_CAL,0.11863629970111009
7,MIXTURE_CAL,0.1220757296884733
7,SEASONAL24,0.35386273651339817
7,SEASONAL168,0.29050749996874475
8,F0,0.17659796882332335
8,PAST,0.17116977664565836
8,LATEST,0.17201340328266443
8,MEAN_INPUT,0.16624836083863398
8,MIXTURE,0.15673824685228654
8,F0_CAL,0.17684401398993388
8,PAST_CAL,0.16886499430928206
8,LATEST_CAL,0.17031481960601616
8,MEAN_INPUT_CAL,0.16643254605015934
8,MIXTURE_CAL,0.15658102368196827
8,SEASONAL24,0.2889135824184647
8,SEASONAL168,0.2531934390235903
9,F0,0.12542466952104758
9,PAST,0.14553118313364394
9,LATEST,0.13149214931414982
9,MEAN_INPUT,0.13974313058842663
9,MIXTURE,0.13467291182494204
9,F0_CAL,0.12924190071634378
9,PAST_CAL,0.14719628569705645
9,LATEST_CAL,0.1320778273712284
9,MEAN_INPUT_CAL,0.13908676070135265
9,MIXTURE_CAL,0.13610111646779502
9,SEASONAL24,0.13644433812140527
9,SEASONAL168,0.26551976545783573
