panel,kind,stage,condition,proposed,baseline,proposed_nmae,baseline_nmae,gain_pct,ci_low,ci_high,bonf4_low,bonf4_high,seed_gains,primary_family
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,C3,DELTA_XY_BUDGET,0.20572031639011443,0.2112015406270308,2.5952576958687468,1.9939165551542366,3.28135710912342,1.8927616221344228,3.4226784750832513,"{""81551"": 2.3908933816955025, ""81552"": 2.7983180424746457}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,C3,DELTA_XY_DEFAULT,0.20572031639011443,0.21864880678528836,5.912902331943492,4.865432143416618,7.1211798331738585,4.625155713109892,7.468621368102394,"{""81551"": 7.206913195824782, ""81552"": 4.585280773410172}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,C3,B0,0.20572031639011443,0.21290391979548912,3.3741057526207596,2.5978911952296935,4.302363340990627,2.377948920722941,4.504448364266257,"{""81551"": 2.804189498968568, ""81552"": 3.936136615682573}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,C3,PLAIN,0.20572031639011443,0.20948298854041514,1.7961707423201023,1.2208667632281802,2.4551732983598207,1.095322125400732,2.6260050101820918,"{""81551"": 1.5870083842544291, ""81552"": 2.003985377028006}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,DELTA_XY_BUDGET,0.20573686104850267,0.2112015406270308,2.587424107941727,2.001168676368896,3.2665851129111445,1.9042472234226482,3.3900204824949407,"{""81551"": 2.3468732361140554, ""81552"": 2.826440120141771}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,DELTA_XY_DEFAULT,0.20573686104850267,0.21864880678528836,5.905335559166868,4.849340899168517,7.128305853036878,4.604833603186735,7.482371160111565,"{""81551"": 7.16506499813514, ""81552"": 4.612885852773408}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,B0,0.20573686104850267,0.21290391979548912,3.3663348020416817,2.588394910433877,4.29862298288289,2.3778275684860866,4.473893928475773,"{""81551"": 2.7603557433242942, ""81552"": 3.9639295033434885}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,PLAIN,0.20573686104850267,0.20948298854041514,1.7882728893710342,1.1939340432450454,2.4800772464377485,1.0065570980206713,2.6322088709856835,"{""81551"": 1.5426256993993026, ""81552"": 2.0323372684644125}",False
electricity,shape,fixed1024,PULSE8_D32,C3,DELTA_XY_BUDGET,2.982972866590118,2.975836802975808,-0.23980023390979266,-0.2880109517022056,-0.19207962766068568,-0.30366744348090596,-0.18078029992187702,"{""81551"": 0.17719380799000595, ""81552"": -0.6612867255048949}",False
electricity,shape,fixed1024,PULSE8_D32,C3,DELTA_XY_DEFAULT,2.982972866590118,2.948430379507685,-1.171555120395995,-1.2487079908060288,-1.0928990916409154,-1.2672375783355962,-1.0793650285550276,"{""81551"": -1.2428350770470997, ""81552"": -1.1002080269371106}",False
electricity,shape,fixed1024,PULSE8_D32,C3,B0,2.982972866590118,2.9724499754568527,-0.3540140698801153,-0.40487918862426864,-0.3044778146677901,-0.41929876676812233,-0.28740493943675866,"{""81551"": 0.23668059723608303, ""81552"": -0.9531607919095464}",False
electricity,shape,fixed1024,PULSE8_D32,C3,PLAIN,2.982972866590118,2.963317921346202,-0.663274942669223,-0.7072913994643881,-0.6218052007565428,-0.7185138902658773,-0.6130350819173682,"{""81551"": -0.7041570507407391, ""81552"": -0.6223298969832092}",False
