fit,source,arm,seed,lr,trainable_parameters,optimizer_seconds,validation_seconds,invocation_wall_seconds,peak_allocated,peak_reserved
ettm1_DELTA_XY_BUDGET_s81551_lr0.0001,ettm1,DELTA_XY_BUDGET,81551,0.0001,8766,35.84749942616327,5.224487479019444,136.90698937798152,384235008,400556032
electricity_DELTA_XY_BUDGET_s81552_lr0.0003,electricity,DELTA_XY_BUDGET,81552,0.0003,8766,35.86941475153435,5.081976307032164,136.99656123900786,384235008,400556032
ettm1_DELTA_XY_BUDGET_s81552_lr0.0001,ettm1,DELTA_XY_BUDGET,81552,0.0001,8766,35.533355539431795,5.064074649009854,136.02277821302414,384235008,400556032
electricity_DELTA_XY_BUDGET_s81551_lr0.0003,electricity,DELTA_XY_BUDGET,81551,0.0003,8766,35.77651910553686,5.116021815920249,137.3693894810276,384235008,400556032
ettm1_DELTA_XY_BUDGET_s81550_lr0.0001,ettm1,DELTA_XY_BUDGET,81550,0.0001,8766,35.697066776046995,5.145351985062007,136.02030433999607,384235008,400556032
ettm1_DELTA_XY_DEFAULT_s81550_lr0.0003,ettm1,DELTA_XY_DEFAULT,81550,0.0003,1116736,35.939027483575046,5.065068844065536,137.20959130499978,397779456,417333248
electricity_DELTA_XY_BUDGET_s81550_lr0.0001,electricity,DELTA_XY_BUDGET,81550,0.0001,8766,36.06934682134306,5.225761440931819,135.5651730140089,384235008,400556032
electricity_DELTA_XY_DEFAULT_s81550_lr0.0003,electricity,DELTA_XY_DEFAULT,81550,0.0003,1116736,36.141846910410095,5.131720495119225,136.72592520102626,397779456,417333248
electricity_DELTA_XY_DEFAULT_s81550_lr0.0001,electricity,DELTA_XY_DEFAULT,81550,0.0001,1116736,36.060763623798266,5.110699407930952,136.85775732895127,397779456,417333248
electricity_DELTA_XY_DEFAULT_s81551_lr0.0001,electricity,DELTA_XY_DEFAULT,81551,0.0001,1116736,36.03284483903553,5.248901753046084,137.23598102800315,397779456,417333248
electricity_DELTA_XY_DEFAULT_s81552_lr0.0001,electricity,DELTA_XY_DEFAULT,81552,0.0001,1116736,35.95148001710186,5.133916268881876,136.9992886800319,397779456,417333248
ettm1_DELTA_XY_BUDGET_s81550_lr0.0003,ettm1,DELTA_XY_BUDGET,81550,0.0003,8766,35.83405709860381,5.130119442008436,135.4298773269984,384235008,400556032
ettm1_DELTA_XY_DEFAULT_s81551_lr0.0001,ettm1,DELTA_XY_DEFAULT,81551,0.0001,1116736,35.73308309033746,5.084711734903976,136.47879321302753,397779456,417333248
ettm1_DELTA_XY_DEFAULT_s81550_lr0.0001,ettm1,DELTA_XY_DEFAULT,81550,0.0001,1116736,36.295346258499194,5.090530424960889,137.4897490599542,397779456,417333248
ettm1_DELTA_XY_DEFAULT_s81552_lr0.0001,ettm1,DELTA_XY_DEFAULT,81552,0.0001,1116736,36.03515676490497,5.0661072779330425,137.5184587870026,397779456,417333248
electricity_DELTA_XY_BUDGET_s81550_lr0.0003,electricity,DELTA_XY_BUDGET,81550,0.0003,8766,35.715621384151746,5.111588932981249,135.0264963589725,384235008,400556032
