scope,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,bootstrap_seed,replicates
T0,SELECTED,RAW,S0,PATH,LATEST,0.08384523288498315,0.08282475864751185,-1.2320883925714357,-4.661009817552428,2.3369722319336725,61916,2000
T0,SELECTED,RAW,S1,PATH,LATEST,0.09393909276998502,0.09510544808161775,1.226381174958329,-1.5381311249706149,3.988022295077673,61916,2000
T0,SELECTED,RAW,S2,PATH,LATEST,0.09804647731265038,0.0993921531087871,1.3539054684365697,-2.095927001537761,4.252267660283112,61916,2000
T0,SELECTED,RAW,S3,PATH,LATEST,0.10944795729289222,0.11334819124303377,3.4409317937671586,-0.1632629844609948,6.444378950873671,61916,2000
T0,SELECTED,RAW,MEAN,PATH,LATEST,0.0963196900651277,0.09766763777023763,1.380137511138508,-1.3558433492299111,3.942691437097354,61916,2000
T0,SELECTED,RAW,WORST,PATH,LATEST,0.10944795729289222,0.11334819124303377,3.4409317937671586,-0.1632629844609948,6.444378950873671,61916,2000
T1,SELECTED,RAW,S0,PATH,LATEST,0.07990963802261487,0.08000596172517112,0.12039565612263585,-1.241447007562202,1.682998030297325,61916,2000
T1,SELECTED,RAW,S1,PATH,LATEST,0.08966397451644778,0.09173691039528825,2.2596530337770564,0.8430525584887922,3.615517285911185,61916,2000
T1,SELECTED,RAW,S2,PATH,LATEST,0.09218395981585224,0.09395849594985316,1.888638292962892,0.15588338891591866,3.197151257371654,61916,2000
T1,SELECTED,RAW,S3,PATH,LATEST,0.10338015485150329,0.10770677816561441,4.01703902744016,2.729799943660081,5.321031424295375,61916,2000
T1,SELECTED,RAW,MEAN,PATH,LATEST,0.09128443180160455,0.09335203655898174,2.21484697451762,1.1715645537923387,3.2361338024326836,61916,2000
T1,SELECTED,RAW,WORST,PATH,LATEST,0.10338015485150329,0.10770677816561441,4.01703902744016,2.7479006103286006,5.321031424295375,61916,2000
T2,SELECTED,RAW,S0,PATH,LATEST,0.13902658658444342,0.13208449527972033,-5.2557957616611715,-8.09320684718117,-2.1571093031538333,61916,2000
T2,SELECTED,RAW,S1,PATH,LATEST,0.1373049642919727,0.13081218708322429,-4.96343448842242,-7.899282908011468,-1.9522998374256062,61916,2000
