arm,seed,policy,selected_step,NRMSE,rawMAE,normalizedMAE,prediction,reused
STATS_SHORT,73101,selected,256,0.5877952797410363,0.014621737256210085,0.2500607368260877,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_STATS_SHORT_318cecf4314f4d0a7ad703d6cbe01e1d7d0600bfdcc79c74fd6caba379f797d1.npz,False
STATS_SHORT,73101,fixed512,512,0.5948415848033124,0.014985077331645879,0.25663533090980567,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_STATS_SHORT_a138437d035265e7cc6aa7d213521cef8950d3241371680d50826f067b55e281.npz,False
POOL,73101,selected,0,0.6049406099341842,0.01432673058381115,0.24461022128331722,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_POOL_297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd.npz,False
POOL,73101,fixed512,512,0.5865009991599847,0.014692910045943183,0.252212991273123,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_POOL_674a2b05cb9f2c5d86f49257f7fdcf0554a2674510d87acd5d5ee1bd8308a19d.npz,False
POOL_KD,73101,selected,256,0.5845585855204292,0.014448971177689965,0.24819254917298875,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_POOL_KD_6fcddef9006d8b0f7437c5338e5f1d4ad6e35bd258f82095a1482d239c75270e.npz,False
POOL_KD,73101,fixed512,512,0.5834476520563233,0.014511466002157006,0.2498976001479778,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_POOL_KD_96fab8ddbe4193961f788be7dd76d3e4a737f91c9c5d35d947fe7fe710bf1e07.npz,False
LEARN,73101,selected,0,0.6049406099341842,0.01432673058381115,0.24461022128331722,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_LEARN_1b7a3fa6010f3c969141240fb2daf6c2af729c54f0a491234f25d3c63cb77152.npz,False
LEARN,73101,fixed512,512,0.5984375010239782,0.014986609796321137,0.2587796423878351,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_LEARN_ee6e19771c35e148d0d344747d3480705ade028e1f5dfb6a9f89c0c7d45f3b5a.npz,False
LEARN_KD,73101,selected,256,0.5837906409788987,0.014426437526499164,0.24775911199690256,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_LEARN_KD_29830c67e4aeb8814b217c681332dfc93dcbd8d75389ade14974c067cb646ff1.npz,False
LEARN_KD,73101,fixed512,512,0.5849408328079853,0.014565520811941193,0.2506584565902476,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_LEARN_KD_546769b4b77be605d0580a0aa4c77ab8c32e464a6d315a00540de95214ceb1e0.npz,False
STATS_SHORT,73102,selected,0,0.6082539107534631,0.014449407959155605,0.24661058920655735,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_STATS_SHORT_4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15.npz,False
STATS_SHORT,73102,fixed512,512,0.6021448990156923,0.015195495159084143,0.2602165750406708,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_STATS_SHORT_525210bfc812f35bdcb18b2090cefe103b18cc9b5e1cdb7c66b4e27a3abb887e.npz,False
POOL,73102,selected,0,0.6049406099341842,0.01432673058381115,0.24461022128331722,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_POOL_4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15.npz,False
POOL,73102,fixed512,512,0.5928590045327047,0.014942000476108658,0.25657048214796563,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_POOL_a2fadd76a97e2eac3ee6a0528feb3b62f72b18ade8615acc51f94c364bd736b1.npz,False
POOL_KD,73102,selected,256,0.5818248692585747,0.014511755075080388,0.249016625794262,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_POOL_KD_4563058bfaa244de37a5eb081264ae816ed400d7f71880e9c5934dc8c7f4c9fe.npz,False
POOL_KD,73102,fixed512,512,0.5899068506548906,0.014820926022905042,0.2543536034889552,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_POOL_KD_ce486a44493724cc0e3e1864ab38c0a9421c27bd30271fd26ba683a13e29b259.npz,False
LEARN,73102,selected,0,0.6049406099341842,0.01432673058381115,0.24461022128331722,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_LEARN_46f3fa54308d5a7a580fad211c1998ca30680a74002fbfe831c4d94e5a673813.npz,False
LEARN,73102,fixed512,512,0.5900791385085222,0.014894818193754567,0.25579237664690485,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_LEARN_7d3f0b4bf1ed99b50c34677ae2a67073a218ef3d3828a373dabc2a25930e44be.npz,False
LEARN_KD,73102,selected,256,0.5817757393734584,0.014515841579718835,0.24907418698662678,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_LEARN_KD_37428a896b2465d644bb32cf0ae0d5d9d0dcc00176bd336982228c86344af118.npz,False
LEARN_KD,73102,fixed512,512,0.5878792049975199,0.01480515780936912,0.25438857905988543,.cache/history_compression_v1_20260917/predictions/E_DISCOVERY_LEARN_KD_ec9db0a877d2087968ac1ebcb7c7125c3493313bb04fb806dd4e4b657ee344e9.npz,False
SHORT,73101,selected,0,0.6088993756964942,0.01439933827213002,0.24583353555996537,.cache/condition_sampling_repair_v1_20260917/N02/predictions/E_DISCOVERY_B0_297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd.npz,True
SHORT,73101,fixed512,512,0.6097723653098519,0.015081309917408364,0.2589447583805838,.cache/condition_sampling_repair_v1_20260917/N02/predictions/E_DISCOVERY_B0_b96fecb5eeec4e05042b76e594b7feb276e459b6e68cc8b0de35cfeabc8a2438.npz,True
LONG,73101,selected,256,0.5670342003705425,0.01346321362491217,0.22924686523976115,.cache/condition_sampling_repair_v1_20260917/N02/predictions/E_DISCOVERY_B1_f66738656142ef9dafb21a6172ac137a772e3ead75e9c820bef13d559360ede3.npz,True
LONG,73101,fixed512,512,0.5708593488001176,0.013675100696418911,0.23264116028971873,.cache/condition_sampling_repair_v1_20260917/N02/predictions/E_DISCOVERY_B1_164d054a964476f2b9a08241e860f074368d107b1e777e866127e4f18e978e52.npz,True
SHORT,73102,selected,0,0.6088993756964942,0.01439933827213002,0.24583353555996537,.cache/condition_sampling_repair_v1_20260917/N02/predictions/E_DISCOVERY_B0_4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15.npz,True
SHORT,73102,fixed512,512,0.6033605813306342,0.015113133576805804,0.25860354020403675,.cache/condition_sampling_repair_v1_20260917/N02/predictions/E_DISCOVERY_B0_536a430d132efb24e69e561334b09e45d5fa0b22240bf82a26fc19ec93f1f3a3.npz,True
LONG,73102,selected,256,0.565769893815912,0.013505256414816057,0.22995908633579254,.cache/condition_sampling_repair_v1_20260917/N02/predictions/E_DISCOVERY_B1_32c4760856e59426561ca06e72f4129b0249117fd2e6218d0ecd283c3c44eb8b.npz,True
LONG,73102,fixed512,512,0.5721499402482774,0.013668438628987983,0.23235163550231666,.cache/condition_sampling_repair_v1_20260917/N02/predictions/E_DISCOVERY_B1_da4f8ccb853e5c88356e5f84aa140f499ab63aabb352be2657fa9bc6c4346bec.npz,True
