id,arm,seed,lr,new_or_reused,updates,optimizer_seconds,selection_included_fit_seconds,peak_training_MiB,teacher_recipe_fit
B0_73100_1e-04,SHORT,73100,0.0001,reused,512,48.24654717094381,60.479010598006425,604.8779296875,False
B0_73100_3e-05,SHORT,73100,3e-05,reused,512,48.52405678876676,59.95027247397229,604.1123046875,False
B1_73100_1e-04,LONG,73100,0.0001,reused,512,49.009117034380324,61.45144445099868,783.71240234375,True
B1_73100_3e-05,LONG,73100,3e-05,reused,512,49.067341405927436,60.49234401798458,783.71240234375,True
B0_73101_1e-04,SHORT,73101,0.0001,reused,512,48.07976926770061,60.36767743201926,604.1123046875,False
B1_73101_3e-05,LONG,73101,3e-05,reused,512,47.91998989958665,60.077446554991184,783.71240234375,False
B0_73102_1e-04,SHORT,73102,0.0001,reused,512,48.58818376707495,61.06288186501479,604.1123046875,False
B1_73102_3e-05,LONG,73102,3e-05,reused,512,49.19887967090472,61.76454039599048,783.71240234375,False
STATS_SHORT_73100_1e-04,STATS_SHORT,73100,0.0001,new,512,58.67090320319403,66.06626696899184,604.0498046875,False
STATS_SHORT_73100_3e-05,STATS_SHORT,73100,3e-05,new,512,56.97047201931127,63.56538921801257,604.1123046875,False
POOL_73100_1e-04,POOL,73100,0.0001,new,512,59.11225623561768,66.62492152600316,662.52099609375,False
POOL_73100_3e-05,POOL,73100,3e-05,new,512,57.216345015971456,63.77371046601911,662.52099609375,False
POOL_KD_73100_1e-04,POOL_KD,73100,0.0001,new,512,58.17483902387903,65.67013355798554,662.52099609375,False
POOL_KD_73100_3e-05,POOL_KD,73100,3e-05,new,512,59.04784507889417,65.64352280797902,662.52099609375,False
LEARN_73100_1e-04,LEARN,73100,0.0001,new,512,58.03093317299499,65.49864739298937,664.86328125,False
LEARN_73100_3e-05,LEARN,73100,3e-05,new,512,58.104614614800084,64.59137228698819,664.86328125,False
LEARN_KD_73100_1e-04,LEARN_KD,73100,0.0001,new,512,57.990989523008466,65.53750208200654,664.86328125,False
LEARN_KD_73100_3e-05,LEARN_KD,73100,3e-05,new,512,57.85460642838734,64.48877769499086,664.86328125,False
STATS_SHORT_73101_1e-04,STATS_SHORT,73101,0.0001,new,512,56.651447064155946,64.31293643501704,604.1123046875,False
POOL_73101_1e-04,POOL,73101,0.0001,new,512,55.15546579149668,62.60456450498896,662.52099609375,False
POOL_KD_73101_1e-04,POOL_KD,73101,0.0001,new,512,55.02786747412756,62.186139370984165,662.52099609375,False
LEARN_73101_1e-04,LEARN,73101,0.0001,new,512,56.55259057227522,63.93281976200524,664.86328125,False
LEARN_KD_73101_1e-04,LEARN_KD,73101,0.0001,new,512,57.53891804628074,65.09841902001062,664.86328125,False
STATS_SHORT_73102_1e-04,STATS_SHORT,73102,0.0001,new,512,56.83062964663259,64.341252386017,604.1123046875,False
POOL_73102_1e-04,POOL,73102,0.0001,new,512,56.095477246912196,63.7795080569922,662.52099609375,False
POOL_KD_73102_1e-04,POOL_KD,73102,0.0001,new,512,55.820279541105265,63.276905462989816,662.52099609375,False
LEARN_73102_1e-04,LEARN,73102,0.0001,new,512,55.49481840408407,62.89162956899963,664.86328125,False
LEARN_KD_73102_1e-04,LEARN_KD,73102,0.0001,new,512,55.042003676935565,62.413845792005304,664.86328125,False
