split,origin_utc,index,eligible,reason
TRAIN,2020-01-01T00:00:00+00:00,0,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T01:00:00+00:00,1,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T02:00:00+00:00,2,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T03:00:00+00:00,3,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T04:00:00+00:00,4,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T05:00:00+00:00,5,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T06:00:00+00:00,6,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T07:00:00+00:00,7,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T08:00:00+00:00,8,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T09:00:00+00:00,9,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T10:00:00+00:00,10,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T11:00:00+00:00,11,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T12:00:00+00:00,12,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T13:00:00+00:00,13,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T14:00:00+00:00,14,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T15:00:00+00:00,15,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T16:00:00+00:00,16,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T17:00:00+00:00,17,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T18:00:00+00:00,18,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T19:00:00+00:00,19,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T20:00:00+00:00,20,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T21:00:00+00:00,21,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T22:00:00+00:00,22,False,INSUFFICIENT_PAST
TRAIN,2020-01-01T23:00:00+00:00,23,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T00:00:00+00:00,24,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T01:00:00+00:00,25,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T02:00:00+00:00,26,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T03:00:00+00:00,27,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T04:00:00+00:00,28,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T05:00:00+00:00,29,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T06:00:00+00:00,30,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T07:00:00+00:00,31,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T08:00:00+00:00,32,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T09:00:00+00:00,33,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T10:00:00+00:00,34,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T11:00:00+00:00,35,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T12:00:00+00:00,36,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T13:00:00+00:00,37,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T14:00:00+00:00,38,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T15:00:00+00:00,39,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T16:00:00+00:00,40,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T17:00:00+00:00,41,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T18:00:00+00:00,42,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T19:00:00+00:00,43,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T20:00:00+00:00,44,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T21:00:00+00:00,45,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T22:00:00+00:00,46,False,INSUFFICIENT_PAST
TRAIN,2020-01-02T23:00:00+00:00,47,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T00:00:00+00:00,48,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T01:00:00+00:00,49,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T02:00:00+00:00,50,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T03:00:00+00:00,51,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T04:00:00+00:00,52,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T05:00:00+00:00,53,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T06:00:00+00:00,54,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T07:00:00+00:00,55,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T08:00:00+00:00,56,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T09:00:00+00:00,57,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T10:00:00+00:00,58,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T11:00:00+00:00,59,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T12:00:00+00:00,60,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T13:00:00+00:00,61,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T14:00:00+00:00,62,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T15:00:00+00:00,63,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T16:00:00+00:00,64,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T17:00:00+00:00,65,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T18:00:00+00:00,66,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T19:00:00+00:00,67,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T20:00:00+00:00,68,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T21:00:00+00:00,69,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T22:00:00+00:00,70,False,INSUFFICIENT_PAST
TRAIN,2020-01-03T23:00:00+00:00,71,False,INSUFFICIENT_PAST
TRAIN,2020-01-04T00:00:00+00:00,72,False,INSUFFICIENT_PAST
TRAIN,2020-01-04T01:00:00+00:00,73,False,INSUFFICIENT_PAST
TRAIN,2020-01-04T02:00:00+00:00,74,False,INSUFFICIENT_PAST
TRAIN,2020-01-04T03:00:00+00:00,75,False,INSUFFICIENT_PAST
TRAIN,2020-01-04T04:00:00+00:00,76,False,INSUFFICIENT_PAST
TRAIN,2020-01-04T05:00:00+00:00,77,False,INSUFFICIENT_PAST
