source,seed,arm,round,batch,wall_ms,cuda_stream_ms
electricity,81551,B0,0,1,10.437612014357,10.343552112579346
electricity,81551,B0,0,32,10.914739512372762,10.89296007156372
electricity,81551,B0,1,1,10.652099008439109,10.626208305358887
electricity,81551,B0,1,32,10.634642007062212,10.607840061187744
electricity,81551,B0,2,1,10.509563493542373,10.479935646057129
electricity,81551,B0,2,32,10.816919995704666,10.792735576629639
electricity,81551,B0,3,1,9.705640986794606,9.684639930725098
electricity,81551,B0,3,32,10.348332492867485,10.327023983001709
electricity,81551,B0,4,1,10.140568017959595,10.121424198150635
electricity,81551,B0,4,32,11.089679988799617,11.069119930267334
electricity,81551,B0,5,1,10.10832196334377,10.086143970489502
electricity,81551,B0,5,32,11.026335007045418,10.994448184967041
electricity,81551,MAG_ONLY,0,1,11.050813016481698,11.024367809295654
electricity,81551,MAG_ONLY,0,32,11.35558501118794,11.328256130218506
electricity,81551,MAG_ONLY,1,1,10.733461967902258,10.715232372283936
electricity,81551,MAG_ONLY,1,32,10.967293521389365,10.940367698669434
electricity,81551,MAG_ONLY,2,1,11.156360007589683,11.134191989898682
electricity,81551,MAG_ONLY,2,32,11.310121015412733,11.291215896606445
electricity,81551,MAG_ONLY,3,1,10.46821748604998,10.4475679397583
electricity,81551,MAG_ONLY,3,32,11.228683491935953,11.202176094055176
electricity,81551,MAG_ONLY,4,1,10.740353493019938,10.720752239227295
electricity,81551,MAG_ONLY,4,32,11.577479483094066,11.551968097686768
electricity,81551,MAG_ONLY,5,1,11.842735984828323,11.821951866149902
electricity,81551,MAG_ONLY,5,32,12.008801510091871,11.982768058776855
electricity,81551,PETSA_XY_OFFLINE,0,1,10.475999006303027,10.439311981201172
electricity,81551,PETSA_XY_OFFLINE,0,32,11.175167019246146,11.140736103057861
electricity,81551,PETSA_XY_OFFLINE,1,1,10.715555516071618,10.691824436187744
electricity,81551,PETSA_XY_OFFLINE,1,32,11.4152800233569,11.396480083465576
electricity,81551,PETSA_XY_OFFLINE,2,1,10.404817498056218,10.385807991027832
electricity,81551,PETSA_XY_OFFLINE,2,32,11.79327053250745,11.773344039916992
electricity,81551,PETSA_XY_OFFLINE,3,1,10.599415487376973,10.578847885131836
electricity,81551,PETSA_XY_OFFLINE,3,32,10.858176479814574,10.83945608139038
electricity,81551,PETSA_XY_OFFLINE,4,1,10.896012507146224,10.858752250671387
electricity,81551,PETSA_XY_OFFLINE,4,32,11.474766011815518,11.451727867126465
electricity,81551,PETSA_XY_OFFLINE,5,1,10.205707483692095,10.18620777130127
electricity,81551,PETSA_XY_OFFLINE,5,32,10.894396487856284,10.874032020568848
electricity,81551,PLAIN,0,1,10.369629511842504,10.352799892425537
electricity,81551,PLAIN,0,32,11.367350991349667,11.343376159667969
electricity,81551,PLAIN,1,1,10.195878508966416,10.17192029953003
electricity,81551,PLAIN,1,32,10.971580020850524,10.942911624908447
electricity,81551,PLAIN,2,1,10.298671521013603,10.268751621246338
electricity,81551,PLAIN,2,32,10.83193247905001,10.765183925628662
electricity,81551,PLAIN,3,1,10.2954515023157,10.276639938354492
electricity,81551,PLAIN,3,32,10.943650006083772,10.91980791091919
electricity,81551,PLAIN,4,1,11.186582501977682,11.160672187805176
electricity,81551,PLAIN,4,32,10.98914848989807,10.965199947357178
electricity,81551,PLAIN,5,1,10.930548480246216,10.90395212173462
electricity,81551,PLAIN,5,32,10.921693028649315,10.902143955230713
electricity,81551,TOKEN_GATE,0,1,10.673927987227216,10.643824100494385
electricity,81551,TOKEN_GATE,0,32,11.403487529605627,11.374191761016846
electricity,81551,TOKEN_GATE,1,1,10.963835520669818,10.935232162475586
electricity,81551,TOKEN_GATE,1,32,10.949188494123518,10.928976058959961
electricity,81551,TOKEN_GATE,2,1,10.88243001140654,10.854655742645264
electricity,81551,TOKEN_GATE,2,32,10.903434973442927,10.876607894897461
electricity,81551,TOKEN_GATE,3,1,10.811308486154303,10.789008140563965
electricity,81551,TOKEN_GATE,3,32,10.975295474054292,10.95472002029419
electricity,81551,TOKEN_GATE,4,1,11.699831491569057,11.672208309173584
electricity,81551,TOKEN_GATE,4,32,10.92125751893036,10.899087905883789
electricity,81551,TOKEN_GATE,5,1,10.788137529743835,10.76364803314209
electricity,81551,TOKEN_GATE,5,32,11.096569505752996,11.070240020751953
electricity,81551,TOKEN_GATE_ENTROPY,0,1,10.774927504826337,10.753344058990479
electricity,81551,TOKEN_GATE_ENTROPY,0,32,11.344847473083064,11.316015720367432
electricity,81551,TOKEN_GATE_ENTROPY,1,1,10.145984997507185,10.124271869659424
electricity,81551,TOKEN_GATE_ENTROPY,1,32,10.64567599678412,10.599423885345459
electricity,81551,TOKEN_GATE_ENTROPY,2,1,10.982450505252928,10.955391883850098
electricity,81551,TOKEN_GATE_ENTROPY,2,32,11.752867983886972,11.730591773986816
electricity,81551,TOKEN_GATE_ENTROPY,3,1,11.545966495759785,11.527103900909424
electricity,81551,TOKEN_GATE_ENTROPY,3,32,11.144707998028025,11.12278413772583
electricity,81551,TOKEN_GATE_ENTROPY,4,1,10.61199200921692,10.590511798858643
electricity,81551,TOKEN_GATE_ENTROPY,4,32,10.987304500304163,10.960000038146973
